Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
VS-S720-10G-3C,,Switch,Uplink-Ports,2× 10G-X2 + 2× 1G-SFP,6,Wertliste,Attribut
VS-S720-10G-3C,,Switch,Switching-Kapazität,720 Gbit/s zentral (40 Gbit/s je Steckplatz),8,Wertliste,Attribut
VS-S720-10G-3C,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
VS-S720-10G-3C,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
VS-S720-10G-3CXL,,Switch,Uplink-Ports,2× 10G-X2 + 2× 1G-SFP,6,Wertliste,Attribut
VS-S720-10G-3CXL,,Switch,Switching-Kapazität,720 Gbit/s zentral (40 Gbit/s je Steckplatz),8,Wertliste,Attribut
VS-S720-10G-3CXL,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
VS-S720-10G-3CXL,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
VS-S2T-10G,,Switch,Uplink-Ports,2× 10G-X2 + 3× 1G-SFP,6,Wertliste,Attribut
VS-S2T-10G,,Switch,Switching-Kapazität,"2,08 Tbit/s Crossbar-Fabric (80 Gbit/s je Steckplatz)",8,Wertliste,Attribut
VS-S2T-10G,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
VS-S2T-10G,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
VS-S2T-10G,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
VS-S2T-10G-XL,,Switch,Uplink-Ports,2× 10G-X2 + 3× 1G-SFP,6,Wertliste,Attribut
VS-S2T-10G-XL,,Switch,Switching-Kapazität,"2,08 Tbit/s Crossbar-Fabric (80 Gbit/s je Steckplatz)",8,Wertliste,Attribut
VS-S2T-10G-XL,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
VS-S2T-10G-XL,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
VS-S2T-10G-XL,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
