Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
VS-S720-10G-3C;Cisco VS-S720-10G-3C Supervisor-Engine für Catalyst 6500-E;"<p>Die Cisco VS-S720-10G-3C ist die zentrale Steuer-, Routing- und Forwarding-Engine (Supervisor-Engine) für die modularen Catalyst 6500-E-Chassis, 720 Gbit/s zentral (40 Gbit/s je Steckplatz). Routing, Switching und Management des Chassis übernimmt die VS-S720-10G-3C selbst.</p><p>Class-B-Modul ohne eigenes Gehäuse; das Chassis ist separat erhältlich. Abgekündigt (End-of-Sale (letzte Bestellung 31.07.2015)). Hexwaren führt die VS-S720-10G-3C ausschließlich als ungebrauchte Original-Hardware.</p>";"<p>Die Cisco VS-S720-10G-3C ist die zentrale Steuer-, Routing- und Forwarding-Engine – Supervisor-Engine für die modularen Catalyst 6500-E-Chassis. Als Class-B-Modul ohne eigenes Gehäuse wird die VS-S720-10G-3C in einen freien Steckplatz eines kompatiblen Chassis eingesetzt und über dessen Backplane betrieben; das Chassis selbst ist separat erhältlich.</p><p>Die VS-S720-10G-3C liefert 720 Gbit/s zentral (40 Gbit/s je Steckplatz) und stellt die Uplink-Ports 2× 10G-X2 + 2× 1G-SFP bereit. Routing, Switching und das Management des gesamten Chassis übernimmt die VS-S720-10G-3C als zentrale Supervisor-Engine. Beim VS-S720-10G-3C gilt: Betriebstemperatur: 0–40 °C zertifiziert (0–55 °C getestet, NEBS).</p><p>Kompatibel ist die VS-S720-10G-3C mit den Chassis Catalyst 6500-E; sie dient Erweiterung, Redundanz und Ersatz in Bestandsanlagen. Die VS-S720-10G-3C ist ein abgekündigtes Modell (End-of-Sale (letzte Bestellung 31.07.2015)); als ungebrauchte Original-Hardware bleibt die VS-S720-10G-3C für Ersatz und Erweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/vs-s720-10g-3c;5,22;7,72;VS-S720-10G-3C;Cisco;standard;Stk;Cisco VS-S720-10G-3C Supervisor-Engine | Hexwaren;Original Cisco VS-S720-10G-3C: Supervisor-Engine für Catalyst 6500-E-Chassis, 720 Gbit/s zentral (40 Gbit/s je Steckplatz). Class-B-Modul, Chassis separat. Ungebrauchte Original-Hardware.;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 6500 Modules;TRUE;Y;Y
VS-S720-10G-3CXL;Cisco VS-S720-10G-3CXL Supervisor-Engine für Catalyst 6500-E;"<p>Die Cisco VS-S720-10G-3CXL ist die zentrale Steuer-, Routing- und Forwarding-Engine (Supervisor-Engine) für die modularen Catalyst 6500-E-Chassis, 720 Gbit/s zentral (40 Gbit/s je Steckplatz). Routing, Switching und Management des Chassis übernimmt die VS-S720-10G-3CXL selbst.</p><p>Class-B-Modul ohne eigenes Gehäuse; das Chassis ist separat erhältlich. Abgekündigt (End-of-Sale (letzte Bestellung 31.07.2015)). Hexwaren führt die VS-S720-10G-3CXL ausschließlich als ungebrauchte Original-Hardware.</p>";"<p>Die Cisco VS-S720-10G-3CXL ist die zentrale Steuer-, Routing- und Forwarding-Engine – Supervisor-Engine für die modularen Catalyst 6500-E-Chassis. Als Class-B-Modul ohne eigenes Gehäuse wird die VS-S720-10G-3CXL in einen freien Steckplatz eines kompatiblen Chassis eingesetzt und über dessen Backplane betrieben; das Chassis selbst ist separat erhältlich.</p><p>Die VS-S720-10G-3CXL liefert 720 Gbit/s zentral (40 Gbit/s je Steckplatz) und stellt die Uplink-Ports 2× 10G-X2 + 2× 1G-SFP bereit. Routing, Switching und das Management des gesamten Chassis übernimmt die VS-S720-10G-3CXL als zentrale Supervisor-Engine. Beim VS-S720-10G-3CXL gilt: Betriebstemperatur: 0–40 °C zertifiziert (0–55 °C getestet, NEBS).</p><p>Kompatibel ist die VS-S720-10G-3CXL mit den Chassis Catalyst 6500-E; sie dient Erweiterung, Redundanz und Ersatz in Bestandsanlagen. Die VS-S720-10G-3CXL ist ein abgekündigtes Modell (End-of-Sale (letzte Bestellung 31.07.2015)); als ungebrauchte Original-Hardware bleibt die VS-S720-10G-3CXL für Ersatz und Erweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/vs-s720-10g-3cxl;5,22;7,72;VS-S720-10G-3CXL;Cisco;standard;Stk;Cisco VS-S720-10G-3CXL Supervisor-Engine | Hexwaren;Original Cisco VS-S720-10G-3CXL: Supervisor-Engine für Catalyst 6500-E-Chassis, 720 Gbit/s zentral (40 Gbit/s je Steckplatz). Class-B-Modul, Chassis separat. Ungebrauchte Original-Hardware.;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 6500 Modules;TRUE;Y;Y
VS-S2T-10G;Cisco VS-S2T-10G Supervisor-Engine für Catalyst 6500-E / Catalyst 6807-XL;"<p>Die Cisco VS-S2T-10G ist die zentrale Steuer-, Routing- und Forwarding-Engine (Supervisor-Engine) für die modularen Catalyst 6500-E / Catalyst 6807-XL-Chassis, 2,08 Tbit/s Crossbar-Fabric (80 Gbit/s je Steckplatz). Routing, Switching und Management des Chassis übernimmt die VS-S2T-10G selbst.</p><p>Class-B-Modul ohne eigenes Gehäuse; das Chassis ist separat erhältlich. Abgekündigt (End-of-Sale (EoL-Bulletin C51-735926)). Hexwaren führt die VS-S2T-10G ausschließlich als ungebrauchte Original-Hardware.</p>";"<p>Die Cisco VS-S2T-10G ist die zentrale Steuer-, Routing- und Forwarding-Engine – Supervisor-Engine für die modularen Catalyst 6500-E / Catalyst 6807-XL-Chassis. Als Class-B-Modul ohne eigenes Gehäuse wird die VS-S2T-10G in einen freien Steckplatz eines kompatiblen Chassis eingesetzt und über dessen Backplane betrieben; das Chassis selbst ist separat erhältlich.</p><p>Die VS-S2T-10G liefert 2,08 Tbit/s Crossbar-Fabric (80 Gbit/s je Steckplatz) und stellt die Uplink-Ports 2× 10G-X2 + 3× 1G-SFP bereit. Routing, Switching und das Management des gesamten Chassis übernimmt die VS-S2T-10G als zentrale Supervisor-Engine. Beim VS-S2T-10G gilt: Betriebstemperatur: 0–40 °C zertifiziert (0–55 °C getestet, NEBS).</p><p>Kompatibel ist die VS-S2T-10G mit den Chassis Catalyst 6500-E / Catalyst 6807-XL; sie dient Erweiterung, Redundanz und Ersatz in Bestandsanlagen. Die VS-S2T-10G ist ein abgekündigtes Modell (End-of-Sale (EoL-Bulletin C51-735926)); als ungebrauchte Original-Hardware bleibt die VS-S2T-10G für Ersatz und Erweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/vs-s2t-10g;5,44;7,94;VS-S2T-10G;Cisco;standard;Stk;Cisco VS-S2T-10G Supervisor-Engine | Hexwaren;Original Cisco VS-S2T-10G: Supervisor-Engine für Catalyst 6500-E / Catalyst 6807-XL-Chassis, 2,08 Tbit/s Crossbar-Fabric (80 Gbit/s je Steckplatz). Class-B-Modul, Chassis separat. Ungebrauchte ….;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 6500 Modules;TRUE;Y;Y
VS-S2T-10G-XL;Cisco VS-S2T-10G-XL Supervisor-Engine für Catalyst 6500-E / Catalyst 6807-XL;"<p>Die Cisco VS-S2T-10G-XL ist die zentrale Steuer-, Routing- und Forwarding-Engine (Supervisor-Engine) für die modularen Catalyst 6500-E / Catalyst 6807-XL-Chassis, 2,08 Tbit/s Crossbar-Fabric (80 Gbit/s je Steckplatz). Routing, Switching und Management des Chassis übernimmt die VS-S2T-10G-XL selbst.</p><p>Class-B-Modul ohne eigenes Gehäuse; das Chassis ist separat erhältlich. Abgekündigt (End-of-Sale (EoL-Bulletin C51-735926)). Hexwaren führt die VS-S2T-10G-XL ausschließlich als ungebrauchte Original-Hardware.</p>";"<p>Die Cisco VS-S2T-10G-XL ist die zentrale Steuer-, Routing- und Forwarding-Engine – Supervisor-Engine für die modularen Catalyst 6500-E / Catalyst 6807-XL-Chassis. Als Class-B-Modul ohne eigenes Gehäuse wird die VS-S2T-10G-XL in einen freien Steckplatz eines kompatiblen Chassis eingesetzt und über dessen Backplane betrieben; das Chassis selbst ist separat erhältlich.</p><p>Die VS-S2T-10G-XL liefert 2,08 Tbit/s Crossbar-Fabric (80 Gbit/s je Steckplatz) und stellt die Uplink-Ports 2× 10G-X2 + 3× 1G-SFP bereit. Routing, Switching und das Management des gesamten Chassis übernimmt die VS-S2T-10G-XL als zentrale Supervisor-Engine. Beim VS-S2T-10G-XL gilt: Betriebstemperatur: 0–40 °C zertifiziert (0–55 °C getestet, NEBS).</p><p>Kompatibel ist die VS-S2T-10G-XL mit den Chassis Catalyst 6500-E / Catalyst 6807-XL; sie dient Erweiterung, Redundanz und Ersatz in Bestandsanlagen. Die VS-S2T-10G-XL ist ein abgekündigtes Modell (End-of-Sale (EoL-Bulletin C51-735926)); als ungebrauchte Original-Hardware bleibt die VS-S2T-10G-XL für Ersatz und Erweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/vs-s2t-10g-xl;5,44;7,94;VS-S2T-10G-XL;Cisco;standard;Stk;Cisco VS-S2T-10G-XL Supervisor-Engine | Hexwaren;Original Cisco VS-S2T-10G-XL: Supervisor-Engine für Catalyst 6500-E / Catalyst 6807-XL-Chassis, 2,08 Tbit/s Crossbar-Fabric (80 Gbit/s je Steckplatz). Class-B-Modul, Chassis separat. Ungebrauchte ….;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 6500 Modules;TRUE;Y;Y
C6800-SUP6T;Cisco C6800-SUP6T Supervisor-Engine für Catalyst 6807-XL / Catalyst 6500-E;"<p>Die Cisco C6800-SUP6T ist die zentrale Steuer-, Routing- und Forwarding-Engine (Supervisor-Engine) für die modularen Catalyst 6807-XL / Catalyst 6500-E-Chassis, 6 Tbit/s Crossbar-Fabric. Routing, Switching und Management des Chassis übernimmt die C6800-SUP6T selbst.</p><p>Class-B-Modul ohne eigenes Gehäuse; das Chassis ist separat erhältlich. Aktuell lieferbares Modul. Hexwaren führt die C6800-SUP6T ausschließlich als ungebrauchte Original-Hardware.</p>";"<p>Die Cisco C6800-SUP6T ist die zentrale Steuer-, Routing- und Forwarding-Engine – Supervisor-Engine für die modularen Catalyst 6807-XL / Catalyst 6500-E-Chassis. Als Class-B-Modul ohne eigenes Gehäuse wird die C6800-SUP6T in einen freien Steckplatz eines kompatiblen Chassis eingesetzt und über dessen Backplane betrieben; das Chassis selbst ist separat erhältlich.</p><p>Die C6800-SUP6T liefert 6 Tbit/s Crossbar-Fabric und stellt die Uplink-Ports 8× 1/10G-SFP+ + 2× 40G-QSFP bereit. Routing, Switching und das Management des gesamten Chassis übernimmt die C6800-SUP6T als zentrale Supervisor-Engine. Beim C6800-SUP6T gilt: Betriebstemperatur: 0–40 °C zertifiziert (0–55 °C getestet, NEBS).</p><p>Kompatibel ist die C6800-SUP6T mit den Chassis Catalyst 6807-XL / Catalyst 6500-E; sie dient Erweiterung, Redundanz und Ersatz in Bestandsanlagen. Die C6800-SUP6T ist als ungebrauchte Original-Hardware verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c6800-sup6t;5,28;7,78;C6800-SUP6T;Cisco;standard;Stk;Cisco C6800-SUP6T Supervisor-Engine | Hexwaren;Original Cisco C6800-SUP6T: Supervisor-Engine für Catalyst 6807-XL / Catalyst 6500-E-Chassis, 6 Tbit/s Crossbar-Fabric. Class-B-Modul, Chassis separat. Ungebrauchte Original-Hardware.;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 6500 Modules;TRUE;Y;Y
C6800-SUP6T-XL;Cisco C6800-SUP6T-XL Supervisor-Engine für Catalyst 6807-XL / Catalyst 6500-E;"<p>Die Cisco C6800-SUP6T-XL ist die zentrale Steuer-, Routing- und Forwarding-Engine (Supervisor-Engine) für die modularen Catalyst 6807-XL / Catalyst 6500-E-Chassis, 6 Tbit/s Crossbar-Fabric. Routing, Switching und Management des Chassis übernimmt die C6800-SUP6T-XL selbst.</p><p>Class-B-Modul ohne eigenes Gehäuse; das Chassis ist separat erhältlich. Aktuell lieferbares Modul. Hexwaren führt die C6800-SUP6T-XL ausschließlich als ungebrauchte Original-Hardware.</p>";"<p>Die Cisco C6800-SUP6T-XL ist die zentrale Steuer-, Routing- und Forwarding-Engine – Supervisor-Engine für die modularen Catalyst 6807-XL / Catalyst 6500-E-Chassis. Als Class-B-Modul ohne eigenes Gehäuse wird die C6800-SUP6T-XL in einen freien Steckplatz eines kompatiblen Chassis eingesetzt und über dessen Backplane betrieben; das Chassis selbst ist separat erhältlich.</p><p>Die C6800-SUP6T-XL liefert 6 Tbit/s Crossbar-Fabric und stellt die Uplink-Ports 8× 1/10G-SFP+ + 2× 40G-QSFP bereit. Routing, Switching und das Management des gesamten Chassis übernimmt die C6800-SUP6T-XL als zentrale Supervisor-Engine. Beim C6800-SUP6T-XL gilt: Betriebstemperatur: 0–40 °C zertifiziert (0–55 °C getestet, NEBS).</p><p>Kompatibel ist die C6800-SUP6T-XL mit den Chassis Catalyst 6807-XL / Catalyst 6500-E; sie dient Erweiterung, Redundanz und Ersatz in Bestandsanlagen. Die C6800-SUP6T-XL ist als ungebrauchte Original-Hardware verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c6800-sup6t-xl;5,32;7,82;C6800-SUP6T-XL;Cisco;standard;Stk;Cisco C6800-SUP6T-XL Supervisor-Engine | Hexwaren;Original Cisco C6800-SUP6T-XL: Supervisor-Engine für Catalyst 6807-XL / Catalyst 6500-E-Chassis, 6 Tbit/s Crossbar-Fabric. Class-B-Modul, Chassis separat. Ungebrauchte Original-Hardware.;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 6500 Modules;TRUE;Y;Y
WS-X6748-GE-TX;Cisco WS-X6748-GE-TX Linecard für Catalyst 6500-E;"<p>Die Cisco WS-X6748-GE-TX ist ein I/O-Modul mit Zugangsports (Linecard) für die modularen Catalyst 6500-E-Chassis: 48 Zugangsports (48× 10/100/1000-RJ45), 40 Gbit/s zur Fabric (dual 20 Gbit/s). Forwarding und Routing erbringt die im Chassis eingesetzte Supervisor-Engine.</p><p>Class-B-Modul ohne eigenes Gehäuse; das Chassis ist separat erhältlich. Abgekündigt (End-of-Sale (letzte Bestellung 31.07.2015)). Hexwaren führt die WS-X6748-GE-TX ausschließlich als ungebrauchte Original-Hardware.</p>";"<p>Die Cisco WS-X6748-GE-TX ist ein I/O-Modul mit Zugangsports – Linecard für die modularen Catalyst 6500-E-Chassis. Als Class-B-Modul ohne eigenes Gehäuse wird die WS-X6748-GE-TX in einen freien Steckplatz eines kompatiblen Chassis eingesetzt und über dessen Backplane betrieben; das Chassis selbst ist separat erhältlich.</p><p>Die WS-X6748-GE-TX stellt 48 Zugangsports bereit (48× 10/100/1000-RJ45) und bindet diese mit 40 Gbit/s zur Fabric (dual 20 Gbit/s) an die Switch-Fabric des Chassis an. Layer-2-/Layer-3-Forwarding, Routing und Services erbringt die im Chassis eingesetzte Supervisor-Engine, während die WS-X6748-GE-TX die Portanbindung beisteuert; die WS-X6748-GE-TX selbst trägt kein eigenes Betriebssystem. Beim WS-X6748-GE-TX gilt: Betriebstemperatur: 0–40 °C zertifiziert (0–55 °C getestet, NEBS).</p><p>Kompatibel ist die WS-X6748-GE-TX mit den Chassis Catalyst 6500-E; sie dient Erweiterung, Redundanz und Ersatz in Bestandsanlagen. Die WS-X6748-GE-TX ist ein abgekündigtes Modell (End-of-Sale (letzte Bestellung 31.07.2015)); als ungebrauchte Original-Hardware bleibt die WS-X6748-GE-TX für Ersatz und Erweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-x6748-ge-tx;4,63;7,13;WS-X6748-GE-TX;Cisco;standard;Stk;Cisco WS-X6748-GE-TX Linecard Catalyst 6500-E | Hexwaren;Original Cisco WS-X6748-GE-TX: Linecard für Catalyst 6500-E-Chassis, 48 Ports (48× 10/100/1000-RJ45), 40 Gbit/s zur Fabric (dual 20 Gbit/s). Class-B-Modul, Chassis separat. Ungebrauchte ….;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 6500 Modules;TRUE;Y;Y
WS-X6748-SFP;Cisco WS-X6748-SFP Linecard für Catalyst 6500-E;"<p>Die Cisco WS-X6748-SFP ist ein I/O-Modul mit Zugangsports (Linecard) für die modularen Catalyst 6500-E-Chassis: 48 Zugangsports (48× 1G-SFP), 40 Gbit/s zur Fabric (dual 20 Gbit/s). Forwarding und Routing erbringt die im Chassis eingesetzte Supervisor-Engine.</p><p>Class-B-Modul ohne eigenes Gehäuse; das Chassis ist separat erhältlich. Abgekündigt (End-of-Sale (letzte Bestellung 31.07.2015)). Hexwaren führt die WS-X6748-SFP ausschließlich als ungebrauchte Original-Hardware.</p>";"<p>Die Cisco WS-X6748-SFP ist ein I/O-Modul mit Zugangsports – Linecard für die modularen Catalyst 6500-E-Chassis. Als Class-B-Modul ohne eigenes Gehäuse wird die WS-X6748-SFP in einen freien Steckplatz eines kompatiblen Chassis eingesetzt und über dessen Backplane betrieben; das Chassis selbst ist separat erhältlich.</p><p>Die WS-X6748-SFP stellt 48 Zugangsports bereit (48× 1G-SFP) und bindet diese mit 40 Gbit/s zur Fabric (dual 20 Gbit/s) an die Switch-Fabric des Chassis an. Layer-2-/Layer-3-Forwarding, Routing und Services erbringt die im Chassis eingesetzte Supervisor-Engine, während die WS-X6748-SFP die Portanbindung beisteuert; die WS-X6748-SFP selbst trägt kein eigenes Betriebssystem. Beim WS-X6748-SFP gilt: Betriebstemperatur: 0–40 °C zertifiziert (0–55 °C getestet, NEBS).</p><p>Kompatibel ist die WS-X6748-SFP mit den Chassis Catalyst 6500-E; sie dient Erweiterung, Redundanz und Ersatz in Bestandsanlagen. Die WS-X6748-SFP ist ein abgekündigtes Modell (End-of-Sale (letzte Bestellung 31.07.2015)); als ungebrauchte Original-Hardware bleibt die WS-X6748-SFP für Ersatz und Erweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-x6748-sfp;4,10;6,60;WS-X6748-SFP;Cisco;standard;Stk;Cisco WS-X6748-SFP Linecard Catalyst 6500-E | Hexwaren;Original Cisco WS-X6748-SFP: Linecard für Catalyst 6500-E-Chassis, 48 Ports (48× 1G-SFP), 40 Gbit/s zur Fabric (dual 20 Gbit/s). Class-B-Modul, Chassis separat. Ungebrauchte Original-Hardware.;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 6500 Modules;TRUE;Y;Y
WS-X6848-TX-2T;Cisco WS-X6848-TX-2T Linecard für Catalyst 6500-E / Catalyst 6807-XL;"<p>Die Cisco WS-X6848-TX-2T ist ein I/O-Modul mit Zugangsports (Linecard) für die modularen Catalyst 6500-E / Catalyst 6807-XL-Chassis: 48 Zugangsports (48× 10/100/1000-RJ45), 40 Gbit/s zur Fabric (dual 20 Gbit/s). Forwarding und Routing erbringt die im Chassis eingesetzte Supervisor-Engine.</p><p>Class-B-Modul ohne eigenes Gehäuse; das Chassis ist separat erhältlich. Abgekündigt (End-of-Sale (EoL-Bulletin C51-735926)). Hexwaren führt die WS-X6848-TX-2T ausschließlich als ungebrauchte Original-Hardware.</p>";"<p>Die Cisco WS-X6848-TX-2T ist ein I/O-Modul mit Zugangsports – Linecard für die modularen Catalyst 6500-E / Catalyst 6807-XL-Chassis. Als Class-B-Modul ohne eigenes Gehäuse wird die WS-X6848-TX-2T in einen freien Steckplatz eines kompatiblen Chassis eingesetzt und über dessen Backplane betrieben; das Chassis selbst ist separat erhältlich.</p><p>Die WS-X6848-TX-2T stellt 48 Zugangsports bereit (48× 10/100/1000-RJ45) und bindet diese mit 40 Gbit/s zur Fabric (dual 20 Gbit/s) an die Switch-Fabric des Chassis an. Layer-2-/Layer-3-Forwarding, Routing und Services erbringt die im Chassis eingesetzte Supervisor-Engine, während die WS-X6848-TX-2T die Portanbindung beisteuert; die WS-X6848-TX-2T selbst trägt kein eigenes Betriebssystem. Beim WS-X6848-TX-2T gilt: Betriebstemperatur: 0–40 °C zertifiziert (0–55 °C getestet, NEBS).</p><p>Kompatibel ist die WS-X6848-TX-2T mit den Chassis Catalyst 6500-E / Catalyst 6807-XL; sie dient Erweiterung, Redundanz und Ersatz in Bestandsanlagen. Die WS-X6848-TX-2T ist ein abgekündigtes Modell (End-of-Sale (EoL-Bulletin C51-735926)); als ungebrauchte Original-Hardware bleibt die WS-X6848-TX-2T für Ersatz und Erweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-x6848-tx-2t;4,63;7,13;WS-X6848-TX-2T;Cisco;standard;Stk;Cisco WS-X6848-TX-2T Linecard Catalyst 6500-E | Hexwaren;Original Cisco WS-X6848-TX-2T: Linecard für Catalyst 6500-E / Catalyst 6807-XL-Chassis, 48 Ports (48× 10/100/1000-RJ45), 40 Gbit/s zur Fabric (dual 20 Gbit/s). Class-B-Modul, Chassis separat. ….;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 6500 Modules;TRUE;Y;Y
WS-X6848-TX-2TXL;Cisco WS-X6848-TX-2TXL Linecard für Catalyst 6500-E / Catalyst 6807-XL;"<p>Die Cisco WS-X6848-TX-2TXL ist ein I/O-Modul mit Zugangsports (Linecard) für die modularen Catalyst 6500-E / Catalyst 6807-XL-Chassis: 48 Zugangsports (48× 10/100/1000-RJ45), 40 Gbit/s zur Fabric (dual 20 Gbit/s). Forwarding und Routing erbringt die im Chassis eingesetzte Supervisor-Engine.</p><p>Class-B-Modul ohne eigenes Gehäuse; das Chassis ist separat erhältlich. Abgekündigt (End-of-Sale (EoL-Bulletin C51-735926)). Hexwaren führt die WS-X6848-TX-2TXL ausschließlich als ungebrauchte Original-Hardware.</p>";"<p>Die Cisco WS-X6848-TX-2TXL ist ein I/O-Modul mit Zugangsports – Linecard für die modularen Catalyst 6500-E / Catalyst 6807-XL-Chassis. Als Class-B-Modul ohne eigenes Gehäuse wird die WS-X6848-TX-2TXL in einen freien Steckplatz eines kompatiblen Chassis eingesetzt und über dessen Backplane betrieben; das Chassis selbst ist separat erhältlich.</p><p>Die WS-X6848-TX-2TXL stellt 48 Zugangsports bereit (48× 10/100/1000-RJ45) und bindet diese mit 40 Gbit/s zur Fabric (dual 20 Gbit/s) an die Switch-Fabric des Chassis an. Layer-2-/Layer-3-Forwarding, Routing und Services erbringt die im Chassis eingesetzte Supervisor-Engine, während die WS-X6848-TX-2TXL die Portanbindung beisteuert; die WS-X6848-TX-2TXL selbst trägt kein eigenes Betriebssystem. Beim WS-X6848-TX-2TXL gilt: Betriebstemperatur: 0–40 °C zertifiziert (0–55 °C getestet, NEBS). Als -XL-Tabellen-Variante trägt die WS-X6848-TX-2TXL die DFC4XL-Tochterkarte mit vergrößerten FIB-/ACL-/NetFlow-Tabellen.</p><p>Kompatibel ist die WS-X6848-TX-2TXL mit den Chassis Catalyst 6500-E / Catalyst 6807-XL; sie dient Erweiterung, Redundanz und Ersatz in Bestandsanlagen. Die WS-X6848-TX-2TXL ist ein abgekündigtes Modell (End-of-Sale (EoL-Bulletin C51-735926)); als ungebrauchte Original-Hardware bleibt die WS-X6848-TX-2TXL für Ersatz und Erweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-x6848-tx-2txl;4,63;7,13;WS-X6848-TX-2TXL;Cisco;standard;Stk;Cisco WS-X6848-TX-2TXL Linecard Catalyst 6500-E | Hexwaren;Original Cisco WS-X6848-TX-2TXL: Linecard für Catalyst 6500-E / Catalyst 6807-XL-Chassis, 48 Ports (48× 10/100/1000-RJ45), 40 Gbit/s zur Fabric (dual 20 Gbit/s). Class-B-Modul, Chassis separat. ….;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 6500 Modules;TRUE;Y;Y
