Artikelnummer;Überverkauf Plattform Hexwaren
VS-S720-10G-3C;TRUE
VS-S720-10G-3CXL;TRUE
VS-S2T-10G;TRUE
VS-S2T-10G-XL;TRUE
C6800-SUP6T;TRUE
C6800-SUP6T-XL;TRUE
WS-X6748-GE-TX;TRUE
WS-X6748-SFP;TRUE
WS-X6848-TX-2T;TRUE
WS-X6848-TX-2TXL;TRUE
WS-X6848-SFP-2T;TRUE
WS-X6848-SFP-2TXL;TRUE
WS-X6816-10G-2T;TRUE
WS-X6816-10G-2TXL;TRUE
WS-X6908-10G-2T;TRUE
WS-X6908-10G-2TXL;TRUE
WS-X6904-40G-2T;TRUE
WS-X6904-40G-2TXL;TRUE
WS-X6824-SFP-2T;TRUE
C6800-32P10G;TRUE
C6800-32P10G-XL;TRUE
C6800-16P10G;TRUE
C6800-16P10G-XL;TRUE
C6800-8P10G;TRUE
C6800-8P10G-XL;TRUE
C6800-48P-TX;TRUE
C6800-48P-TX-XL;TRUE
C6800-48P-SFP;TRUE
C6800-48P-SFP-XL;TRUE
