Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
VS-S720-10G-3C,,condition,Funktionsattribut,Wertliste,Deutsch,new
VS-S720-10G-3CXL,,condition,Funktionsattribut,Wertliste,Deutsch,new
VS-S2T-10G,,condition,Funktionsattribut,Wertliste,Deutsch,new
VS-S2T-10G-XL,,condition,Funktionsattribut,Wertliste,Deutsch,new
C6800-SUP6T,,condition,Funktionsattribut,Wertliste,Deutsch,new
C6800-SUP6T-XL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-X6748-GE-TX,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-X6748-SFP,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-X6848-TX-2T,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-X6848-TX-2TXL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-X6848-SFP-2T,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-X6848-SFP-2TXL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-X6816-10G-2T,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-X6816-10G-2TXL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-X6908-10G-2T,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-X6908-10G-2TXL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-X6904-40G-2T,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-X6904-40G-2TXL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-X6824-SFP-2T,,condition,Funktionsattribut,Wertliste,Deutsch,new
C6800-32P10G,,condition,Funktionsattribut,Wertliste,Deutsch,new
C6800-32P10G-XL,,condition,Funktionsattribut,Wertliste,Deutsch,new
C6800-16P10G,,condition,Funktionsattribut,Wertliste,Deutsch,new
C6800-16P10G-XL,,condition,Funktionsattribut,Wertliste,Deutsch,new
C6800-8P10G,,condition,Funktionsattribut,Wertliste,Deutsch,new
C6800-8P10G-XL,,condition,Funktionsattribut,Wertliste,Deutsch,new
C6800-48P-TX,,condition,Funktionsattribut,Wertliste,Deutsch,new
C6800-48P-TX-XL,,condition,Funktionsattribut,Wertliste,Deutsch,new
C6800-48P-SFP,,condition,Funktionsattribut,Wertliste,Deutsch,new
C6800-48P-SFP-XL,,condition,Funktionsattribut,Wertliste,Deutsch,new
