Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
VS-S720-10G-3C,Uplink-Ports,2× 10G-X2 + 2× 1G-SFP,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-696623.html,datasheet,2026-06-28T17:22:13Z
VS-S720-10G-3C,Switching-Kapazität,720 Gbit/s zentral (40 Gbit/s je Steckplatz),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-696623.html,datasheet,2026-06-28T17:22:13Z
VS-S720-10G-3C,Modultyp,Supervisor-Engine,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-696623.html,datasheet,2026-06-28T17:22:13Z
VS-S720-10G-3C,Kompatible Serie,Catalyst 6500-E,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-696623.html,datasheet,2026-06-28T17:22:13Z
VS-S720-10G-3C,VS-S720-10G-3C,EoL,"Cisco VS-S720-10G-3C – End-of-Sale (letzte Bestellung 31.07.2015). In scope (Hexwaren führt ungebrauchte Original-Hardware), nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-696623.html,2026-06-28T17:22:13Z
VS-S720-10G-3C,VS-S720-10G-3C,Gewicht,"5,22 kg: per-PID-Gewicht verbatim aus dem zugehörigen Cisco-Install-Guide (gegroundet, kein ZU_VERIFIZIEREN). Versandgewicht 7,72 kg (+2,5 kg Verpackung).",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-696623.html,2026-06-28T17:22:13Z
VS-S720-10G-3C,VS-S720-10G-3C,PID,"Ordering-PID VS-S720-10G-3C verbatim (Class-B-Modul, Hersteller=Cisco). NICHT gebankt: Lizenzen, Care Packs, Optik/Transceiver (eigene Lane), Kabel, Netzteile, Lüfter, Memory/Flash; -RF/++/=.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-696623.html,2026-06-28T17:22:13Z
VS-S720-10G-3C,VS-S720-10G-3C,Prosa-Fakt (WATCH),"Betriebstemperatur: 0–40 °C zertifiziert (0–55 °C getestet, NEBS). — als Prosa in der Beschreibung geführt (kein Merkmal; die Module-Merkmal-Liste lässt Betriebstemperatur/Port-Geschwindigkeit bewusst aus).",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-696623.html,2026-06-28T17:22:13Z
VS-S720-10G-3CXL,Uplink-Ports,2× 10G-X2 + 2× 1G-SFP,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-696623.html,datasheet,2026-06-28T17:22:13Z
VS-S720-10G-3CXL,Switching-Kapazität,720 Gbit/s zentral (40 Gbit/s je Steckplatz),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-696623.html,datasheet,2026-06-28T17:22:13Z
VS-S720-10G-3CXL,Modultyp,Supervisor-Engine,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-696623.html,datasheet,2026-06-28T17:22:13Z
VS-S720-10G-3CXL,Kompatible Serie,Catalyst 6500-E,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-696623.html,datasheet,2026-06-28T17:22:13Z
VS-S720-10G-3CXL,VS-S720-10G-3CXL,EoL,"Cisco VS-S720-10G-3CXL – End-of-Sale (letzte Bestellung 31.07.2015). In scope (Hexwaren führt ungebrauchte Original-Hardware), nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-696623.html,2026-06-28T17:22:13Z
VS-S720-10G-3CXL,VS-S720-10G-3CXL,Gewicht,"5,22 kg: per-PID-Gewicht verbatim aus dem zugehörigen Cisco-Install-Guide (gegroundet, kein ZU_VERIFIZIEREN). Versandgewicht 7,72 kg (+2,5 kg Verpackung).",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-696623.html,2026-06-28T17:22:13Z
VS-S720-10G-3CXL,VS-S720-10G-3CXL,PID,"Ordering-PID VS-S720-10G-3CXL verbatim (Class-B-Modul, Hersteller=Cisco). NICHT gebankt: Lizenzen, Care Packs, Optik/Transceiver (eigene Lane), Kabel, Netzteile, Lüfter, Memory/Flash; -RF/++/=.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-696623.html,2026-06-28T17:22:13Z
VS-S720-10G-3CXL,VS-S720-10G-3CXL,Prosa-Fakt (WATCH),"Betriebstemperatur: 0–40 °C zertifiziert (0–55 °C getestet, NEBS). — als Prosa in der Beschreibung geführt (kein Merkmal; die Module-Merkmal-Liste lässt Betriebstemperatur/Port-Geschwindigkeit bewusst aus).",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-696623.html,2026-06-28T17:22:13Z
VS-S2T-10G,Uplink-Ports,2× 10G-X2 + 3× 1G-SFP,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/catalyst-6500-series-supervisor-engine-2t/data_sheet_c78-648214.html,datasheet,2026-06-28T17:22:13Z
VS-S2T-10G,Switching-Kapazität,"2,08 Tbit/s Crossbar-Fabric (80 Gbit/s je Steckplatz)",https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/catalyst-6500-series-supervisor-engine-2t/data_sheet_c78-648214.html,datasheet,2026-06-28T17:22:13Z
VS-S2T-10G,Modultyp,Supervisor-Engine,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/catalyst-6500-series-supervisor-engine-2t/data_sheet_c78-648214.html,datasheet,2026-06-28T17:22:13Z
VS-S2T-10G,Kompatible Serie,Catalyst 6500-E,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/catalyst-6500-series-supervisor-engine-2t/data_sheet_c78-648214.html,datasheet,2026-06-28T17:22:13Z
VS-S2T-10G,Kompatible Serie,Catalyst 6807-XL,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/catalyst-6500-series-supervisor-engine-2t/data_sheet_c78-648214.html,datasheet,2026-06-28T17:22:13Z
VS-S2T-10G,VS-S2T-10G,EoL,"Cisco VS-S2T-10G – End-of-Sale (EoL-Bulletin C51-735926). In scope (Hexwaren führt ungebrauchte Original-Hardware), nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/catalyst-6500-series-supervisor-engine-2t/data_sheet_c78-648214.html,2026-06-28T17:22:13Z
VS-S2T-10G,VS-S2T-10G,Gewicht,"5,44 kg: per-PID-Gewicht verbatim aus dem zugehörigen Cisco-Install-Guide (gegroundet, kein ZU_VERIFIZIEREN). Versandgewicht 7,94 kg (+2,5 kg Verpackung).",https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/catalyst-6500-series-supervisor-engine-2t/data_sheet_c78-648214.html,2026-06-28T17:22:13Z
VS-S2T-10G,VS-S2T-10G,PID,"Ordering-PID VS-S2T-10G verbatim (Class-B-Modul, Hersteller=Cisco). NICHT gebankt: Lizenzen, Care Packs, Optik/Transceiver (eigene Lane), Kabel, Netzteile, Lüfter, Memory/Flash; -RF/++/=.",https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/catalyst-6500-series-supervisor-engine-2t/data_sheet_c78-648214.html,2026-06-28T17:22:13Z
VS-S2T-10G,VS-S2T-10G,Prosa-Fakt (WATCH),"Betriebstemperatur: 0–40 °C zertifiziert (0–55 °C getestet, NEBS). — als Prosa in der Beschreibung geführt (kein Merkmal; die Module-Merkmal-Liste lässt Betriebstemperatur/Port-Geschwindigkeit bewusst aus).",https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/catalyst-6500-series-supervisor-engine-2t/data_sheet_c78-648214.html,2026-06-28T17:22:13Z
VS-S2T-10G-XL,Uplink-Ports,2× 10G-X2 + 3× 1G-SFP,https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/catalyst-6500-series-supervisor-engine-2t/data_sheet_c78-648214.html,datasheet,2026-06-28T17:22:13Z
VS-S2T-10G-XL,Switching-Kapazität,"2,08 Tbit/s Crossbar-Fabric (80 Gbit/s je Steckplatz)",https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/catalyst-6500-series-supervisor-engine-2t/data_sheet_c78-648214.html,datasheet,2026-06-28T17:22:13Z
