Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
C6880-X-LE-16P10G,Portanzahl,16,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,datasheet,2026-06-28T17:22:14Z
C6880-X-LE-16P10G,Port-Konfiguration,16× 10G/1G-SFP+,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,datasheet,2026-06-28T17:22:14Z
C6880-X-LE-16P10G,Switching-Kapazität,220 Gbit/s je Steckplatz (80 Gbit/s Forwarding),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,datasheet,2026-06-28T17:22:14Z
C6880-X-LE-16P10G,Modultyp,Port-Card,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,datasheet,2026-06-28T17:22:14Z
C6880-X-LE-16P10G,Kompatible Serie,Catalyst 6800-X,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,datasheet,2026-06-28T17:22:14Z
C6880-X-LE-16P10G,C6880-X-LE-16P10G,EoL,"Cisco C6880-X-LE-16P10G – End-of-Sale 30.10.2020 (Last Day of Support 31.10.2025). In scope (Hexwaren führt ungebrauchte Original-Hardware), nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,2026-06-28T17:22:14Z
C6880-X-LE-16P10G,C6880-X-LE-16P10G,Gewicht,"ZU_VERIFIZIEREN: Cisco veröffentlicht das Gewicht nur auf Chassis-Ebene (kein per-Port-Card-Wert im Datenblatt c78-728228); ~2,72 kg ist eine Ableitung, NICHT verbatim. Versandgewicht entsprechend geschätzt. Per Catalyst-6880-X Installation Note zu bestätigen.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,2026-06-28T17:22:14Z
C6880-X-LE-16P10G,C6880-X-LE-16P10G,PID,"Ordering-PID C6880-X-LE-16P10G verbatim (Class-B-Modul, Hersteller=Cisco). NICHT gebankt: Lizenzen, Care Packs, Optik/Transceiver (eigene Lane), Kabel, Netzteile, Lüfter, Memory/Flash; -RF/++/=.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,2026-06-28T17:22:14Z
C6880-X-LE-16P10G,C6880-X-LE-16P10G,Prosa-Fakt (WATCH),Betriebstemperatur: 0–40 °C (zertifiziert). Standard-Tabellen (DFC4). — als Prosa in der Beschreibung geführt (kein Merkmal; die Module-Merkmal-Liste lässt Betriebstemperatur/Port-Geschwindigkeit bewusst aus).,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,2026-06-28T17:22:14Z
C6880-X-16P10G,Portanzahl,16,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,datasheet,2026-06-28T17:22:14Z
C6880-X-16P10G,Port-Konfiguration,16× 10G/1G-SFP+,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,datasheet,2026-06-28T17:22:14Z
C6880-X-16P10G,Switching-Kapazität,220 Gbit/s je Steckplatz (80 Gbit/s Forwarding),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,datasheet,2026-06-28T17:22:14Z
C6880-X-16P10G,Modultyp,Port-Card,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,datasheet,2026-06-28T17:22:14Z
C6880-X-16P10G,Kompatible Serie,Catalyst 6800-X,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,datasheet,2026-06-28T17:22:14Z
C6880-X-16P10G,C6880-X-16P10G,EoL,"Cisco C6880-X-16P10G – End-of-Sale 30.10.2020 (Last Day of Support 31.10.2025). In scope (Hexwaren führt ungebrauchte Original-Hardware), nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,2026-06-28T17:22:14Z
C6880-X-16P10G,C6880-X-16P10G,Gewicht,"ZU_VERIFIZIEREN: Cisco veröffentlicht das Gewicht nur auf Chassis-Ebene (kein per-Port-Card-Wert im Datenblatt c78-728228); ~2,72 kg ist eine Ableitung, NICHT verbatim. Versandgewicht entsprechend geschätzt. Per Catalyst-6880-X Installation Note zu bestätigen.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,2026-06-28T17:22:14Z
C6880-X-16P10G,C6880-X-16P10G,PID,"Ordering-PID C6880-X-16P10G verbatim (Class-B-Modul, Hersteller=Cisco). NICHT gebankt: Lizenzen, Care Packs, Optik/Transceiver (eigene Lane), Kabel, Netzteile, Lüfter, Memory/Flash; -RF/++/=.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,2026-06-28T17:22:14Z
C6880-X-16P10G,C6880-X-16P10G,Prosa-Fakt (WATCH),Betriebstemperatur: 0–40 °C (zertifiziert). XL-Tabellen (DFC4XL). — als Prosa in der Beschreibung geführt (kein Merkmal; die Module-Merkmal-Liste lässt Betriebstemperatur/Port-Geschwindigkeit bewusst aus).,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6880-x-switch/data_sheet_c78-728228.html,2026-06-28T17:22:14Z
