Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
C9404R,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
C9404R,,Switch,Switching-Kapazität,Bis zu 9 Tbit/s,8,Wertliste,Attribut
C9404R,,Switch,Bauform,"Modularer Campus-Switch-Chassis (2 Linecard-Slots, 6 HE)",10,Wertliste,Attribut
C9404R,,Switch,Stromversorgung,"Bis zu 4× Hot-Swap-Netzteil (3200 W / 2100 W AC oder 3200 W DC), N+1/N+N-redundant",11,Wertliste,Attribut
C9404R,,Switch,Kühlung,"Aktiv (dual-serviceable Lüfter-Tray, N+1-redundante Lüfter, Airflow side-to-side)",12,Wertliste,Attribut
C9404R,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
C9404R,,Switch,Anwendung,Campus-Netzwerk,15,Wertliste,Attribut
C9404R,,Switch,Steckplätze,4 (2 Supervisor + 2 Linecard),16,Wertliste,Attribut
C9404R,,Switch,Unterstützte Supervisor-Engines,"Cisco Catalyst 9400 Supervisor Engine C9400-SUP-1, C9400-SUP-1XL, C9400-SUP-1XL-Y, C9400X-SUP-2 und C9400X-SUP-2XL",17,Wertliste,Attribut
C9404R,,Switch,Redundanz,"Supervisor (1+1), Netzteil (N+1 und N+N) und Lüfter (N+1)",18,Wertliste,Attribut
C9407R,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
C9407R,,Switch,Switching-Kapazität,Bis zu 9 Tbit/s,8,Wertliste,Attribut
C9407R,,Switch,Bauform,"Modularer Campus-Switch-Chassis (5 Linecard-Slots, 10 HE)",10,Wertliste,Attribut
C9407R,,Switch,Stromversorgung,"Bis zu 8× Hot-Swap-Netzteil (3200 W / 2100 W AC oder 3200 W DC), N+1/N+N-redundant",11,Wertliste,Attribut
C9407R,,Switch,Kühlung,"Aktiv (dual-serviceable Lüfter-Tray, N+1-redundante Lüfter, Airflow side-to-side)",12,Wertliste,Attribut
C9407R,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
C9407R,,Switch,Anwendung,Campus-Netzwerk,15,Wertliste,Attribut
C9407R,,Switch,Steckplätze,7 (2 Supervisor + 5 Linecard),16,Wertliste,Attribut
C9407R,,Switch,Unterstützte Supervisor-Engines,"Cisco Catalyst 9400 Supervisor Engine C9400-SUP-1, C9400-SUP-1XL, C9400-SUP-1XL-Y, C9400X-SUP-2 und C9400X-SUP-2XL",17,Wertliste,Attribut
C9407R,,Switch,Redundanz,"Supervisor (1+1), Netzteil (N+1 und N+N) und Lüfter (N+1)",18,Wertliste,Attribut
C9410R,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
C9410R,,Switch,Switching-Kapazität,Bis zu 9 Tbit/s,8,Wertliste,Attribut
C9410R,,Switch,Bauform,"Modularer Campus-Switch-Chassis (8 Linecard-Slots, 13 HE)",10,Wertliste,Attribut
C9410R,,Switch,Stromversorgung,"Bis zu 8× Hot-Swap-Netzteil (3200 W / 2100 W AC oder 3200 W DC), N+1/N+N-redundant",11,Wertliste,Attribut
C9410R,,Switch,Kühlung,"Aktiv (dual-serviceable Lüfter-Tray, N+1-redundante Lüfter, Airflow side-to-side)",12,Wertliste,Attribut
C9410R,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
C9410R,,Switch,Anwendung,Campus-Netzwerk,15,Wertliste,Attribut
C9410R,,Switch,Steckplätze,10 (2 Supervisor + 8 Linecard),16,Wertliste,Attribut
C9410R,,Switch,Unterstützte Supervisor-Engines,"Cisco Catalyst 9400 Supervisor Engine C9400-SUP-1, C9400-SUP-1XL, C9400-SUP-1XL-Y, C9400X-SUP-2 und C9400X-SUP-2XL",17,Wertliste,Attribut
C9410R,,Switch,Redundanz,"Supervisor (1+1), Netzteil (N+1 und N+N) und Lüfter (N+1)",18,Wertliste,Attribut
