Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
C9404R,Switch-Typ,Modular-Chassis,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9400-series-switches/nb-06-cat9400-ser-data-sheet-cte-en.html,datasheet,2026-06-30T05:38:41Z
C9404R,Switching-Kapazität,Bis zu 9 Tbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9400-series-switches/nb-06-cat9400-ser-data-sheet-cte-en.html,datasheet,2026-06-30T05:38:41Z
C9404R,Bauform,"Modularer Campus-Switch-Chassis (2 Linecard-Slots, 6 HE)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9400-series-switches/nb-06-cat9400-ser-data-sheet-cte-en.html,datasheet,2026-06-30T05:38:41Z
C9404R,Stromversorgung,"Bis zu 4× Hot-Swap-Netzteil (3200 W / 2100 W AC oder 3200 W DC), N+1/N+N-redundant",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9400-series-switches/nb-06-cat9400-ser-data-sheet-cte-en.html,datasheet,2026-06-30T05:38:41Z
C9404R,Kühlung,"Aktiv (dual-serviceable Lüfter-Tray, N+1-redundante Lüfter, Airflow side-to-side)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9400-series-switches/nb-06-cat9400-ser-data-sheet-cte-en.html,datasheet,2026-06-30T05:38:41Z
C9404R,Betriebstemperatur,-5 bis 45 °C,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9400-series-switches/nb-06-cat9400-ser-data-sheet-cte-en.html,datasheet,2026-06-30T05:38:41Z
C9404R,Anwendung,Campus-Netzwerk,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9400-series-switches/nb-06-cat9400-ser-data-sheet-cte-en.html,datasheet,2026-06-30T05:38:41Z
C9404R,Steckplätze,4 (2 Supervisor + 2 Linecard),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9400-series-switches/nb-06-cat9400-ser-data-sheet-cte-en.html,operator-provided,2026-06-30T05:38:41Z
C9404R,Unterstützte Supervisor-Engines,"Cisco Catalyst 9400 Supervisor Engine C9400-SUP-1, C9400-SUP-1XL, C9400-SUP-1XL-Y, C9400X-SUP-2 und C9400X-SUP-2XL",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9400-series-switches/nb-06-cat9400-ser-data-sheet-cte-en.html,operator-provided,2026-06-30T05:38:41Z
C9404R,Redundanz,"Supervisor (1+1), Netzteil (N+1 und N+N) und Lüfter (N+1)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9400-series-switches/nb-06-cat9400-ser-data-sheet-cte-en.html,operator-provided,2026-06-30T05:38:41Z
C9404R,C9404R,Versandgewicht,"24,00 (geschätzt: Chassis + Transportverpackung; Spedition, Übermaß — Cisco veröffentlicht kein Packgewicht)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9400-series-switches/nb-06-cat9400-ser-data-sheet-cte-en.html,2026-06-30T05:38:41Z
C9404R,C9404R,Artikelgewicht,"17,20 = Chassis inkl. Lüfter-Tray, ohne Netzteile (Cisco HIG/Datenblatt)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9400-series-switches/nb-06-cat9400-ser-data-sheet-cte-en.html,2026-06-30T05:38:41Z
