Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
IE-2000-4TS-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-4TS-B,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-4T-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-4T-B,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-4TS-G-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-4TS-G-B,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-4T-G-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-4T-G-B,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-4S-TS-G-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-4S-TS-G-B,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-8TC-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-8TC-B,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-8TC-G-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-8TC-G-B,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-8TC-G-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-8TC-G-N,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-16TC-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-16TC-B,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-16TC-G-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-16TC-G-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-16TC-G-X,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-16TC-G-N,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-16PTC-G-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-16PTC-G-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-2000-16PTC-G-NX,,condition,Funktionsattribut,Wertliste,Deutsch,new
