Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
IE-3100-4T2S-E,"810,00","Genuine-New-Sealed Industrial-Premium (Catalyst IE3100 Rugged, NOT EoS): genuine-new Anker (USD->EUR ~0,92) — 4T2S-E $877 (~€810), 8T2C-E $1.421 (~€1.300), 8P2C-E $2.885 (~€2.600); refurb ignoriert. Rugged DIN-rail > commercial; PoE/4PPoE-Modelle teurer, -CC + IE3105 (L2NAT) Aufpreis. Flagship 6P2U2C (2×90W-4PPoE) ~€2.900 (über der ~€2.500-Schätzung). Monoton Ports×PoE.",direkt,4startech 4T2S-E $877
IE-3100-8T2C-E,"1300,00","Genuine-New-Sealed Industrial-Premium (Catalyst IE3100 Rugged, NOT EoS): genuine-new Anker (USD->EUR ~0,92) — 4T2S-E $877 (~€810), 8T2C-E $1.421 (~€1.300), 8P2C-E $2.885 (~€2.600); refurb ignoriert. Rugged DIN-rail > commercial; PoE/4PPoE-Modelle teurer, -CC + IE3105 (L2NAT) Aufpreis. Flagship 6P2U2C (2×90W-4PPoE) ~€2.900 (über der ~€2.500-Schätzung). Monoton Ports×PoE.",direkt,router-switch 8T2C-E $1421
IE-3100-8T4S-E,"1450,00","Genuine-New-Sealed Industrial-Premium (Catalyst IE3100 Rugged, NOT EoS): genuine-new Anker (USD->EUR ~0,92) — 4T2S-E $877 (~€810), 8T2C-E $1.421 (~€1.300), 8P2C-E $2.885 (~€2.600); refurb ignoriert. Rugged DIN-rail > commercial; PoE/4PPoE-Modelle teurer, -CC + IE3105 (L2NAT) Aufpreis. Flagship 6P2U2C (2×90W-4PPoE) ~€2.900 (über der ~€2.500-Schätzung). Monoton Ports×PoE.",geschätzt-aus-Vergleich,IE-3100-8T2C-E
IE-3100-18T2C-E,"1900,00","Genuine-New-Sealed Industrial-Premium (Catalyst IE3100 Rugged, NOT EoS): genuine-new Anker (USD->EUR ~0,92) — 4T2S-E $877 (~€810), 8T2C-E $1.421 (~€1.300), 8P2C-E $2.885 (~€2.600); refurb ignoriert. Rugged DIN-rail > commercial; PoE/4PPoE-Modelle teurer, -CC + IE3105 (L2NAT) Aufpreis. Flagship 6P2U2C (2×90W-4PPoE) ~€2.900 (über der ~€2.500-Schätzung). Monoton Ports×PoE.",geschätzt-aus-Vergleich,IE-3100-8T2C-E
IE-3100-18T2C-CC-E,"2150,00","Genuine-New-Sealed Industrial-Premium (Catalyst IE3100 Rugged, NOT EoS): genuine-new Anker (USD->EUR ~0,92) — 4T2S-E $877 (~€810), 8T2C-E $1.421 (~€1.300), 8P2C-E $2.885 (~€2.600); refurb ignoriert. Rugged DIN-rail > commercial; PoE/4PPoE-Modelle teurer, -CC + IE3105 (L2NAT) Aufpreis. Flagship 6P2U2C (2×90W-4PPoE) ~€2.900 (über der ~€2.500-Schätzung). Monoton Ports×PoE.",geschätzt-aus-Vergleich,IE-3100-18T2C-E +CC
IE-3100-4P2S-E,"1500,00","Genuine-New-Sealed Industrial-Premium (Catalyst IE3100 Rugged, NOT EoS): genuine-new Anker (USD->EUR ~0,92) — 4T2S-E $877 (~€810), 8T2C-E $1.421 (~€1.300), 8P2C-E $2.885 (~€2.600); refurb ignoriert. Rugged DIN-rail > commercial; PoE/4PPoE-Modelle teurer, -CC + IE3105 (L2NAT) Aufpreis. Flagship 6P2U2C (2×90W-4PPoE) ~€2.900 (über der ~€2.500-Schätzung). Monoton Ports×PoE.",geschätzt-aus-Vergleich,IE-3100-8P2C-E
IE-3100-8P2C-E,"2600,00","Genuine-New-Sealed Industrial-Premium (Catalyst IE3100 Rugged, NOT EoS): genuine-new Anker (USD->EUR ~0,92) — 4T2S-E $877 (~€810), 8T2C-E $1.421 (~€1.300), 8P2C-E $2.885 (~€2.600); refurb ignoriert. Rugged DIN-rail > commercial; PoE/4PPoE-Modelle teurer, -CC + IE3105 (L2NAT) Aufpreis. Flagship 6P2U2C (2×90W-4PPoE) ~€2.900 (über der ~€2.500-Schätzung). Monoton Ports×PoE.",direkt,ITBargain 8P2C-E $2885
IE-3100-3P1U2S-E,"1700,00","Genuine-New-Sealed Industrial-Premium (Catalyst IE3100 Rugged, NOT EoS): genuine-new Anker (USD->EUR ~0,92) — 4T2S-E $877 (~€810), 8T2C-E $1.421 (~€1.300), 8P2C-E $2.885 (~€2.600); refurb ignoriert. Rugged DIN-rail > commercial; PoE/4PPoE-Modelle teurer, -CC + IE3105 (L2NAT) Aufpreis. Flagship 6P2U2C (2×90W-4PPoE) ~€2.900 (über der ~€2.500-Schätzung). Monoton Ports×PoE.",geschätzt-aus-Vergleich,IE-3100-4P2S-E +4PPoE
IE-3100-6P2U2C-E,"2900,00","Genuine-New-Sealed Industrial-Premium (Catalyst IE3100 Rugged, NOT EoS): genuine-new Anker (USD->EUR ~0,92) — 4T2S-E $877 (~€810), 8T2C-E $1.421 (~€1.300), 8P2C-E $2.885 (~€2.600); refurb ignoriert. Rugged DIN-rail > commercial; PoE/4PPoE-Modelle teurer, -CC + IE3105 (L2NAT) Aufpreis. Flagship 6P2U2C (2×90W-4PPoE) ~€2.900 (über der ~€2.500-Schätzung). Monoton Ports×PoE.",geschätzt-aus-Vergleich,IE-3100-8P2C-E +4PPoE
IE-3105-8T2C-E,"1650,00","Genuine-New-Sealed Industrial-Premium (Catalyst IE3100 Rugged, NOT EoS): genuine-new Anker (USD->EUR ~0,92) — 4T2S-E $877 (~€810), 8T2C-E $1.421 (~€1.300), 8P2C-E $2.885 (~€2.600); refurb ignoriert. Rugged DIN-rail > commercial; PoE/4PPoE-Modelle teurer, -CC + IE3105 (L2NAT) Aufpreis. Flagship 6P2U2C (2×90W-4PPoE) ~€2.900 (über der ~€2.500-Schätzung). Monoton Ports×PoE.",geschätzt-aus-Vergleich,IE-3100-8T2C-E +L2NAT
IE-3105-18T2C-E,"2300,00","Genuine-New-Sealed Industrial-Premium (Catalyst IE3100 Rugged, NOT EoS): genuine-new Anker (USD->EUR ~0,92) — 4T2S-E $877 (~€810), 8T2C-E $1.421 (~€1.300), 8P2C-E $2.885 (~€2.600); refurb ignoriert. Rugged DIN-rail > commercial; PoE/4PPoE-Modelle teurer, -CC + IE3105 (L2NAT) Aufpreis. Flagship 6P2U2C (2×90W-4PPoE) ~€2.900 (über der ~€2.500-Schätzung). Monoton Ports×PoE.",geschätzt-aus-Vergleich,IE-3100-18T2C-E +L2NAT
