Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
IE-3400H-8FT-E,"1400,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): Cisco-IE-Heavy-Duty-IP67-Industrie-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
IE-3400H-8FT-A,"1800,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): Cisco-IE-Heavy-Duty-IP67-Industrie-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
IE-3400H-16FT-E,"1900,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): Cisco-IE-Heavy-Duty-IP67-Industrie-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
IE-3400H-16FT-A,"2300,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): Cisco-IE-Heavy-Duty-IP67-Industrie-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
IE-3400H-24FT-E,"2400,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): Cisco-IE-Heavy-Duty-IP67-Industrie-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
IE-3400H-24FT-A,"2800,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): Cisco-IE-Heavy-Duty-IP67-Industrie-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
IE-3400H-8T-E,"1600,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): Cisco-IE-Heavy-Duty-IP67-Industrie-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
IE-3400H-8T-A,"2000,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): Cisco-IE-Heavy-Duty-IP67-Industrie-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
IE-3400H-16T-E,"2200,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): Cisco-IE-Heavy-Duty-IP67-Industrie-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
IE-3400H-16T-A,"2600,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): Cisco-IE-Heavy-Duty-IP67-Industrie-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
IE-3400H-24T-E,"2800,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): Cisco-IE-Heavy-Duty-IP67-Industrie-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
IE-3400H-24T-A,"3200,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): Cisco-IE-Heavy-Duty-IP67-Industrie-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
