Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
IE-3500-8T3S-E,"1100,00","Genuine-New-Sealed ONLY (Catalyst IE3500 Rugged, NEUSTE Generation/lieferbar, IOS XE): refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Newest product -> echte Neuware; kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€1.100 (IE-3500-8T3S-E) -> ~€3.200 (IE-3500-8U3X-A). Monoton 4-achsig Lizenz(E<A)×PoE(Daten<PoE+<4PPoE-bt-T4)×Uplink(1G<10G)×Ring-Tier(IE3500<IE3505 bei gleicher Konfig). Über IE3400/IE3300 positioniert. Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,"8T3S-E IE3500 Essentials, Daten, 1G-Up (Floor)"
IE-3500-8T3S-A,"1400,00","Genuine-New-Sealed ONLY (Catalyst IE3500 Rugged, NEUSTE Generation/lieferbar, IOS XE): refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Newest product -> echte Neuware; kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€1.100 (IE-3500-8T3S-E) -> ~€3.200 (IE-3500-8U3X-A). Monoton 4-achsig Lizenz(E<A)×PoE(Daten<PoE+<4PPoE-bt-T4)×Uplink(1G<10G)×Ring-Tier(IE3500<IE3505 bei gleicher Konfig). Über IE3400/IE3300 positioniert. Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,"8T3S-A IE3500 Advantage, Daten, 1G-Up"
IE-3500-8P3S-E,"1400,00","Genuine-New-Sealed ONLY (Catalyst IE3500 Rugged, NEUSTE Generation/lieferbar, IOS XE): refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Newest product -> echte Neuware; kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€1.100 (IE-3500-8T3S-E) -> ~€3.200 (IE-3500-8U3X-A). Monoton 4-achsig Lizenz(E<A)×PoE(Daten<PoE+<4PPoE-bt-T4)×Uplink(1G<10G)×Ring-Tier(IE3500<IE3505 bei gleicher Konfig). Über IE3400/IE3300 positioniert. Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,"8P3S-E IE3500 Essentials, PoE+ 240W, 1G-Up"
IE-3500-8P3S-A,"1700,00","Genuine-New-Sealed ONLY (Catalyst IE3500 Rugged, NEUSTE Generation/lieferbar, IOS XE): refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Newest product -> echte Neuware; kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€1.100 (IE-3500-8T3S-E) -> ~€3.200 (IE-3500-8U3X-A). Monoton 4-achsig Lizenz(E<A)×PoE(Daten<PoE+<4PPoE-bt-T4)×Uplink(1G<10G)×Ring-Tier(IE3500<IE3505 bei gleicher Konfig). Über IE3400/IE3300 positioniert. Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,"8P3S-A IE3500 Advantage, PoE+ 240W, 1G-Up"
IE-3505-8T3S-E,"1300,00","Genuine-New-Sealed ONLY (Catalyst IE3500 Rugged, NEUSTE Generation/lieferbar, IOS XE): refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Newest product -> echte Neuware; kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€1.100 (IE-3500-8T3S-E) -> ~€3.200 (IE-3500-8U3X-A). Monoton 4-achsig Lizenz(E<A)×PoE(Daten<PoE+<4PPoE-bt-T4)×Uplink(1G<10G)×Ring-Tier(IE3500<IE3505 bei gleicher Konfig). Über IE3400/IE3300 positioniert. Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,"8T3S-E IE3505 (+lossless DLR/HSR/PRP) Essentials, Daten, 1G-Up"
IE-3505-8T3S-A,"1600,00","Genuine-New-Sealed ONLY (Catalyst IE3500 Rugged, NEUSTE Generation/lieferbar, IOS XE): refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Newest product -> echte Neuware; kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€1.100 (IE-3500-8T3S-E) -> ~€3.200 (IE-3500-8U3X-A). Monoton 4-achsig Lizenz(E<A)×PoE(Daten<PoE+<4PPoE-bt-T4)×Uplink(1G<10G)×Ring-Tier(IE3500<IE3505 bei gleicher Konfig). Über IE3400/IE3300 positioniert. Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,"8T3S-A IE3505 (+lossless) Advantage, Daten, 1G-Up"
IE-3505-8P3S-E,"1600,00","Genuine-New-Sealed ONLY (Catalyst IE3500 Rugged, NEUSTE Generation/lieferbar, IOS XE): refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Newest product -> echte Neuware; kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€1.100 (IE-3500-8T3S-E) -> ~€3.200 (IE-3500-8U3X-A). Monoton 4-achsig Lizenz(E<A)×PoE(Daten<PoE+<4PPoE-bt-T4)×Uplink(1G<10G)×Ring-Tier(IE3500<IE3505 bei gleicher Konfig). Über IE3400/IE3300 positioniert. Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,"8P3S-E IE3505 (+lossless) Essentials, PoE+ 240W, 1G-Up"
IE-3505-8P3S-A,"1900,00","Genuine-New-Sealed ONLY (Catalyst IE3500 Rugged, NEUSTE Generation/lieferbar, IOS XE): refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Newest product -> echte Neuware; kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€1.100 (IE-3500-8T3S-E) -> ~€3.200 (IE-3500-8U3X-A). Monoton 4-achsig Lizenz(E<A)×PoE(Daten<PoE+<4PPoE-bt-T4)×Uplink(1G<10G)×Ring-Tier(IE3500<IE3505 bei gleicher Konfig). Über IE3400/IE3300 positioniert. Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,"8P3S-A IE3505 (+lossless) Advantage, PoE+ 240W, 1G-Up"
IE-3500-8T3X-E,"1600,00","Genuine-New-Sealed ONLY (Catalyst IE3500 Rugged, NEUSTE Generation/lieferbar, IOS XE): refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Newest product -> echte Neuware; kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€1.100 (IE-3500-8T3S-E) -> ~€3.200 (IE-3500-8U3X-A). Monoton 4-achsig Lizenz(E<A)×PoE(Daten<PoE+<4PPoE-bt-T4)×Uplink(1G<10G)×Ring-Tier(IE3500<IE3505 bei gleicher Konfig). Über IE3400/IE3300 positioniert. Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,"8T3X-E IE3500 Essentials, Daten, 10G-Up"
IE-3500-8T3X-A,"1900,00","Genuine-New-Sealed ONLY (Catalyst IE3500 Rugged, NEUSTE Generation/lieferbar, IOS XE): refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Newest product -> echte Neuware; kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€1.100 (IE-3500-8T3S-E) -> ~€3.200 (IE-3500-8U3X-A). Monoton 4-achsig Lizenz(E<A)×PoE(Daten<PoE+<4PPoE-bt-T4)×Uplink(1G<10G)×Ring-Tier(IE3500<IE3505 bei gleicher Konfig). Über IE3400/IE3300 positioniert. Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,"8T3X-A IE3500 Advantage, Daten, 10G-Up"
