Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
IE-3500H-8T-E;Cisco IE-3500H-8T-E Industrial-Ethernet-IE3500H lüfterloser IP67 Layer-3-Industrie-Switch (Cisco IOS XE, M12) – 8× GE-M12;<p>Der Cisco IE-3500H-8T-E ist ein lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-IE3500H-Heavy-Duty-Serie für die Wandmontage ohne Schaltschrank mit 8× GE-M12 (M12). Der IE-3500H-8T-E läuft unter Cisco IOS XE mit Network-Essentials-Lizenz und ist für −40 bis +75 °C ausgelegt.</p><p>Der IE-3500H-8T-E bietet MACsec-256, TSN-Frame-Preemption, Ring-Redundanz (REP und MRP), PTP IEEE-1588v2, Cyber Vision, IOx und ThousandEyes – aktuelles Modell.</p>;"<p>Der Cisco IE-3500H-8T-E ist ein gehärteter, lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-Industrial-Ethernet-IE3500H-Heavy-Duty-Familie für die Wandmontage ohne Schaltschrank in rauen, staub- und wasserbelasteten OT-Umgebungen – 8× GE-M12 mit M12-Steckverbindern.</p><p>Mit 8 Ports erreicht der IE-3500H-8T-E eine nicht-blockierende Line-Rate-Weiterleitung über alle Ports und Paketgrößen. PoE wird nicht unterstützt. Der IE-3500H-8T-E läuft unter Cisco IOS XE (Secure Boot, Trust Anchor, SUDI) und trägt die Network-Essentials-Lizenz für Layer-3-Routing (OSPF, OSPFv3, RIP und PBR); MACsec-256, TSN-Frame-Preemption (802.1Qbu) und PTP IEEE-1588v2 sind integriert.</p><p>Robust ausgelegt arbeitet der IE-3500H-8T-E lüfterlos von −40 bis +75 °C (IP66/IP67 nach IEC 60529, Type 4X, M12 D-/X-kodiert) bei Wandmontage ohne Schaltschrank. Für ausfallsichere Topologien bietet der IE-3500H-8T-E Ring-Redundanz nach REP und MRP. Mit Cisco Cyber Vision, IOx und ThousandEyes ist der IE-3500H-8T-E als aktuelles Modell für Machine-Vision- und KI-Edge-Netze als ungebrauchte Original-Hardware verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ie-3500h-8t-e;3,83;4,63;IE-3500H-8T-E;Cisco;standard;Stk;Cisco IE-3500H-8T-E IP67-Industrie-Switch | Hexwaren;Original Cisco IE-3500H-8T-E (Industrial-Ethernet-IE3500H): lüfterloser IP67/IP66 Layer-3-Industrie-Switch, M12, 8× GE-M12, -40/+75 °C. Cisco IOS XE, MACsec-256, Wandmontage ohne Schaltschrank.;Netzwerk & Infrastruktur;Switches;Industrie-Switch;TRUE;Y;Y
IE-3500H-8T-A;Cisco IE-3500H-8T-A Industrial-Ethernet-IE3500H lüfterloser IP67 Layer-3-Industrie-Switch (Cisco IOS XE, M12) – 8× GE-M12;<p>Der Cisco IE-3500H-8T-A ist ein lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-IE3500H-Heavy-Duty-Serie für die Wandmontage ohne Schaltschrank mit 8× GE-M12 (M12). Der IE-3500H-8T-A läuft unter Cisco IOS XE mit Network-Advantage-Lizenz und ist für −40 bis +75 °C ausgelegt.</p><p>Der IE-3500H-8T-A bietet MACsec-256, TSN-Frame-Preemption, Ring-Redundanz (REP und MRP), PTP IEEE-1588v2, Cyber Vision, IOx und ThousandEyes – aktuelles Modell.</p>;"<p>Der Cisco IE-3500H-8T-A ist ein gehärteter, lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-Industrial-Ethernet-IE3500H-Heavy-Duty-Familie für die Wandmontage ohne Schaltschrank in rauen, staub- und wasserbelasteten OT-Umgebungen – 8× GE-M12 mit M12-Steckverbindern.</p><p>Mit 8 Ports erreicht der IE-3500H-8T-A eine nicht-blockierende Line-Rate-Weiterleitung über alle Ports und Paketgrößen. PoE wird nicht unterstützt. Der IE-3500H-8T-A läuft unter Cisco IOS XE (Secure Boot, Trust Anchor, SUDI) und trägt die Network-Advantage-Lizenz für Layer-3-Routing (OSPF, BGP, IS-IS und EIGRP sowie SD-Access Fabric Edge, BGP-EVPN und TrustSec); MACsec-256, TSN-Frame-Preemption (802.1Qbu) und PTP IEEE-1588v2 sind integriert.</p><p>Robust ausgelegt arbeitet der IE-3500H-8T-A lüfterlos von −40 bis +75 °C (IP66/IP67 nach IEC 60529, Type 4X, M12 D-/X-kodiert) bei Wandmontage ohne Schaltschrank. Für ausfallsichere Topologien bietet der IE-3500H-8T-A Ring-Redundanz nach REP und MRP. Mit Cisco Cyber Vision, IOx und ThousandEyes ist der IE-3500H-8T-A als aktuelles Modell für Machine-Vision- und KI-Edge-Netze als ungebrauchte Original-Hardware verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ie-3500h-8t-a;3,83;4,63;IE-3500H-8T-A;Cisco;standard;Stk;Cisco IE-3500H-8T-A IP67-Industrie-Switch | Hexwaren;Original Cisco IE-3500H-8T-A (Industrial-Ethernet-IE3500H): lüfterloser IP67/IP66 Layer-3-Industrie-Switch, M12, 8× GE-M12, -40/+75 °C. Cisco IOS XE, MACsec-256, Wandmontage ohne Schaltschrank.;Netzwerk & Infrastruktur;Switches;Industrie-Switch;TRUE;Y;Y
IE-3500H-16T-E;Cisco IE-3500H-16T-E Industrial-Ethernet-IE3500H lüfterloser IP67 Layer-3-Industrie-Switch (Cisco IOS XE, M12) – 16× GE-M12;<p>Der Cisco IE-3500H-16T-E ist ein lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-IE3500H-Heavy-Duty-Serie für die Wandmontage ohne Schaltschrank mit 16× GE-M12 (M12). Der IE-3500H-16T-E läuft unter Cisco IOS XE mit Network-Essentials-Lizenz und ist für −40 bis +75 °C ausgelegt.</p><p>Der IE-3500H-16T-E bietet MACsec-256, TSN-Frame-Preemption, Ring-Redundanz (REP und MRP), PTP IEEE-1588v2, Cyber Vision, IOx und ThousandEyes – aktuelles Modell.</p>;"<p>Der Cisco IE-3500H-16T-E ist ein gehärteter, lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-Industrial-Ethernet-IE3500H-Heavy-Duty-Familie für die Wandmontage ohne Schaltschrank in rauen, staub- und wasserbelasteten OT-Umgebungen – 16× GE-M12 mit M12-Steckverbindern.</p><p>Mit 16 Ports erreicht der IE-3500H-16T-E eine nicht-blockierende Line-Rate-Weiterleitung über alle Ports und Paketgrößen. PoE wird nicht unterstützt. Der IE-3500H-16T-E läuft unter Cisco IOS XE (Secure Boot, Trust Anchor, SUDI) und trägt die Network-Essentials-Lizenz für Layer-3-Routing (OSPF, OSPFv3, RIP und PBR); MACsec-256, TSN-Frame-Preemption (802.1Qbu) und PTP IEEE-1588v2 sind integriert.</p><p>Robust ausgelegt arbeitet der IE-3500H-16T-E lüfterlos von −40 bis +75 °C (IP66/IP67 nach IEC 60529, Type 4X, M12 D-/X-kodiert) bei Wandmontage ohne Schaltschrank. Für ausfallsichere Topologien bietet der IE-3500H-16T-E Ring-Redundanz nach REP und MRP. Mit Cisco Cyber Vision, IOx und ThousandEyes ist der IE-3500H-16T-E als aktuelles Modell für Machine-Vision- und KI-Edge-Netze als ungebrauchte Original-Hardware verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ie-3500h-16t-e;5,10;5,90;IE-3500H-16T-E;Cisco;standard;Stk;Cisco IE-3500H-16T-E IP67-Industrie-Switch | Hexwaren;Original Cisco IE-3500H-16T-E (Industrial-Ethernet-IE3500H): lüfterloser IP67/IP66 Layer-3-Industrie-Switch, M12, 16× GE-M12, -40/+75 °C. Cisco IOS XE, MACsec-256, Wandmontage ohne Schaltschrank.;Netzwerk & Infrastruktur;Switches;Industrie-Switch;TRUE;Y;Y
IE-3500H-16T-A;Cisco IE-3500H-16T-A Industrial-Ethernet-IE3500H lüfterloser IP67 Layer-3-Industrie-Switch (Cisco IOS XE, M12) – 16× GE-M12;<p>Der Cisco IE-3500H-16T-A ist ein lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-IE3500H-Heavy-Duty-Serie für die Wandmontage ohne Schaltschrank mit 16× GE-M12 (M12). Der IE-3500H-16T-A läuft unter Cisco IOS XE mit Network-Advantage-Lizenz und ist für −40 bis +75 °C ausgelegt.</p><p>Der IE-3500H-16T-A bietet MACsec-256, TSN-Frame-Preemption, Ring-Redundanz (REP und MRP), PTP IEEE-1588v2, Cyber Vision, IOx und ThousandEyes – aktuelles Modell.</p>;"<p>Der Cisco IE-3500H-16T-A ist ein gehärteter, lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-Industrial-Ethernet-IE3500H-Heavy-Duty-Familie für die Wandmontage ohne Schaltschrank in rauen, staub- und wasserbelasteten OT-Umgebungen – 16× GE-M12 mit M12-Steckverbindern.</p><p>Mit 16 Ports erreicht der IE-3500H-16T-A eine nicht-blockierende Line-Rate-Weiterleitung über alle Ports und Paketgrößen. PoE wird nicht unterstützt. Der IE-3500H-16T-A läuft unter Cisco IOS XE (Secure Boot, Trust Anchor, SUDI) und trägt die Network-Advantage-Lizenz für Layer-3-Routing (OSPF, BGP, IS-IS und EIGRP sowie SD-Access Fabric Edge, BGP-EVPN und TrustSec); MACsec-256, TSN-Frame-Preemption (802.1Qbu) und PTP IEEE-1588v2 sind integriert.</p><p>Robust ausgelegt arbeitet der IE-3500H-16T-A lüfterlos von −40 bis +75 °C (IP66/IP67 nach IEC 60529, Type 4X, M12 D-/X-kodiert) bei Wandmontage ohne Schaltschrank. Für ausfallsichere Topologien bietet der IE-3500H-16T-A Ring-Redundanz nach REP und MRP. Mit Cisco Cyber Vision, IOx und ThousandEyes ist der IE-3500H-16T-A als aktuelles Modell für Machine-Vision- und KI-Edge-Netze als ungebrauchte Original-Hardware verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ie-3500h-16t-a;5,10;5,90;IE-3500H-16T-A;Cisco;standard;Stk;Cisco IE-3500H-16T-A IP67-Industrie-Switch | Hexwaren;Original Cisco IE-3500H-16T-A (Industrial-Ethernet-IE3500H): lüfterloser IP67/IP66 Layer-3-Industrie-Switch, M12, 16× GE-M12, -40/+75 °C. Cisco IOS XE, MACsec-256, Wandmontage ohne Schaltschrank.;Netzwerk & Infrastruktur;Switches;Industrie-Switch;TRUE;Y;Y
IE-3500H-24T-E;Cisco IE-3500H-24T-E Industrial-Ethernet-IE3500H lüfterloser IP67 Layer-3-Industrie-Switch (Cisco IOS XE, M12) – 24× GE-M12;<p>Der Cisco IE-3500H-24T-E ist ein lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-IE3500H-Heavy-Duty-Serie für die Wandmontage ohne Schaltschrank mit 24× GE-M12 (M12). Der IE-3500H-24T-E läuft unter Cisco IOS XE mit Network-Essentials-Lizenz und ist für −40 bis +75 °C ausgelegt.</p><p>Der IE-3500H-24T-E bietet MACsec-256, TSN-Frame-Preemption, Ring-Redundanz (REP und MRP), PTP IEEE-1588v2, Cyber Vision, IOx und ThousandEyes – aktuelles Modell.</p>;"<p>Der Cisco IE-3500H-24T-E ist ein gehärteter, lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-Industrial-Ethernet-IE3500H-Heavy-Duty-Familie für die Wandmontage ohne Schaltschrank in rauen, staub- und wasserbelasteten OT-Umgebungen – 24× GE-M12 mit M12-Steckverbindern.</p><p>Mit 24 Ports erreicht der IE-3500H-24T-E eine nicht-blockierende Line-Rate-Weiterleitung über alle Ports und Paketgrößen. PoE wird nicht unterstützt. Der IE-3500H-24T-E läuft unter Cisco IOS XE (Secure Boot, Trust Anchor, SUDI) und trägt die Network-Essentials-Lizenz für Layer-3-Routing (OSPF, OSPFv3, RIP und PBR); MACsec-256, TSN-Frame-Preemption (802.1Qbu) und PTP IEEE-1588v2 sind integriert.</p><p>Robust ausgelegt arbeitet der IE-3500H-24T-E lüfterlos von −40 bis +75 °C (IP66/IP67 nach IEC 60529, Type 4X, M12 D-/X-kodiert) bei Wandmontage ohne Schaltschrank. Für ausfallsichere Topologien bietet der IE-3500H-24T-E Ring-Redundanz nach REP und MRP. Mit Cisco Cyber Vision, IOx und ThousandEyes ist der IE-3500H-24T-E als aktuelles Modell für Machine-Vision- und KI-Edge-Netze als ungebrauchte Original-Hardware verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ie-3500h-24t-e;6,30;7,10;IE-3500H-24T-E;Cisco;standard;Stk;Cisco IE-3500H-24T-E IP67-Industrie-Switch | Hexwaren;Original Cisco IE-3500H-24T-E (Industrial-Ethernet-IE3500H): lüfterloser IP67/IP66 Layer-3-Industrie-Switch, M12, 24× GE-M12, -40/+75 °C. Cisco IOS XE, MACsec-256, Wandmontage ohne Schaltschrank.;Netzwerk & Infrastruktur;Switches;Industrie-Switch;TRUE;Y;Y
IE-3500H-24T-A;Cisco IE-3500H-24T-A Industrial-Ethernet-IE3500H lüfterloser IP67 Layer-3-Industrie-Switch (Cisco IOS XE, M12) – 24× GE-M12;<p>Der Cisco IE-3500H-24T-A ist ein lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-IE3500H-Heavy-Duty-Serie für die Wandmontage ohne Schaltschrank mit 24× GE-M12 (M12). Der IE-3500H-24T-A läuft unter Cisco IOS XE mit Network-Advantage-Lizenz und ist für −40 bis +75 °C ausgelegt.</p><p>Der IE-3500H-24T-A bietet MACsec-256, TSN-Frame-Preemption, Ring-Redundanz (REP und MRP), PTP IEEE-1588v2, Cyber Vision, IOx und ThousandEyes – aktuelles Modell.</p>;"<p>Der Cisco IE-3500H-24T-A ist ein gehärteter, lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-Industrial-Ethernet-IE3500H-Heavy-Duty-Familie für die Wandmontage ohne Schaltschrank in rauen, staub- und wasserbelasteten OT-Umgebungen – 24× GE-M12 mit M12-Steckverbindern.</p><p>Mit 24 Ports erreicht der IE-3500H-24T-A eine nicht-blockierende Line-Rate-Weiterleitung über alle Ports und Paketgrößen. PoE wird nicht unterstützt. Der IE-3500H-24T-A läuft unter Cisco IOS XE (Secure Boot, Trust Anchor, SUDI) und trägt die Network-Advantage-Lizenz für Layer-3-Routing (OSPF, BGP, IS-IS und EIGRP sowie SD-Access Fabric Edge, BGP-EVPN und TrustSec); MACsec-256, TSN-Frame-Preemption (802.1Qbu) und PTP IEEE-1588v2 sind integriert.</p><p>Robust ausgelegt arbeitet der IE-3500H-24T-A lüfterlos von −40 bis +75 °C (IP66/IP67 nach IEC 60529, Type 4X, M12 D-/X-kodiert) bei Wandmontage ohne Schaltschrank. Für ausfallsichere Topologien bietet der IE-3500H-24T-A Ring-Redundanz nach REP und MRP. Mit Cisco Cyber Vision, IOx und ThousandEyes ist der IE-3500H-24T-A als aktuelles Modell für Machine-Vision- und KI-Edge-Netze als ungebrauchte Original-Hardware verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ie-3500h-24t-a;6,30;7,10;IE-3500H-24T-A;Cisco;standard;Stk;Cisco IE-3500H-24T-A IP67-Industrie-Switch | Hexwaren;Original Cisco IE-3500H-24T-A (Industrial-Ethernet-IE3500H): lüfterloser IP67/IP66 Layer-3-Industrie-Switch, M12, 24× GE-M12, -40/+75 °C. Cisco IOS XE, MACsec-256, Wandmontage ohne Schaltschrank.;Netzwerk & Infrastruktur;Switches;Industrie-Switch;TRUE;Y;Y
IE-3500H-12FT4T-E;Cisco IE-3500H-12FT4T-E Industrial-Ethernet-IE3500H lüfterloser IP67 Layer-3-Industrie-Switch (Cisco IOS XE, M12) – 12× FE-M12 + 4× GE-M12;<p>Der Cisco IE-3500H-12FT4T-E ist ein lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-IE3500H-Heavy-Duty-Serie für die Wandmontage ohne Schaltschrank mit 12× FE-M12 + 4× GE-M12 (M12). Der IE-3500H-12FT4T-E läuft unter Cisco IOS XE mit Network-Essentials-Lizenz und ist für −40 bis +75 °C ausgelegt.</p><p>Der IE-3500H-12FT4T-E bietet MACsec-256, TSN-Frame-Preemption, Ring-Redundanz (REP und MRP), PTP IEEE-1588v2, Cyber Vision, IOx und ThousandEyes – aktuelles Modell.</p>;"<p>Der Cisco IE-3500H-12FT4T-E ist ein gehärteter, lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-Industrial-Ethernet-IE3500H-Heavy-Duty-Familie für die Wandmontage ohne Schaltschrank in rauen, staub- und wasserbelasteten OT-Umgebungen – 12× FE-M12 + 4× GE-M12 mit M12-Steckverbindern.</p><p>Mit 16 Ports erreicht der IE-3500H-12FT4T-E eine nicht-blockierende Line-Rate-Weiterleitung über alle Ports und Paketgrößen. PoE wird nicht unterstützt. Der IE-3500H-12FT4T-E läuft unter Cisco IOS XE (Secure Boot, Trust Anchor, SUDI) und trägt die Network-Essentials-Lizenz für Layer-3-Routing (OSPF, OSPFv3, RIP und PBR); MACsec-256, TSN-Frame-Preemption (802.1Qbu) und PTP IEEE-1588v2 sind integriert.</p><p>Robust ausgelegt arbeitet der IE-3500H-12FT4T-E lüfterlos von −40 bis +75 °C (IP66/IP67 nach IEC 60529, Type 4X, M12 D-/X-kodiert) bei Wandmontage ohne Schaltschrank. Für ausfallsichere Topologien bietet der IE-3500H-12FT4T-E Ring-Redundanz nach REP und MRP. Mit Cisco Cyber Vision, IOx und ThousandEyes ist der IE-3500H-12FT4T-E als aktuelles Modell für Machine-Vision- und KI-Edge-Netze als ungebrauchte Original-Hardware verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ie-3500h-12ft4t-e;5,10;5,90;IE-3500H-12FT4T-E;Cisco;standard;Stk;Cisco IE-3500H-12FT4T-E IP67-Industrie-Switch | Hexwaren;Original Cisco IE-3500H-12FT4T-E (Industrial-Ethernet-IE3500H): lüfterloser IP67/IP66 Layer-3-Industrie-Switch, M12, 12× FE-M12 + 4× GE-M12, -40/+75 °C. Cisco IOS XE, MACsec-256, Wandmontage ohne ….;Netzwerk & Infrastruktur;Switches;Industrie-Switch;TRUE;Y;Y
IE-3500H-12FT4T-A;Cisco IE-3500H-12FT4T-A Industrial-Ethernet-IE3500H lüfterloser IP67 Layer-3-Industrie-Switch (Cisco IOS XE, M12) – 12× FE-M12 + 4× GE-M12;<p>Der Cisco IE-3500H-12FT4T-A ist ein lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-IE3500H-Heavy-Duty-Serie für die Wandmontage ohne Schaltschrank mit 12× FE-M12 + 4× GE-M12 (M12). Der IE-3500H-12FT4T-A läuft unter Cisco IOS XE mit Network-Advantage-Lizenz und ist für −40 bis +75 °C ausgelegt.</p><p>Der IE-3500H-12FT4T-A bietet MACsec-256, TSN-Frame-Preemption, Ring-Redundanz (REP und MRP), PTP IEEE-1588v2, Cyber Vision, IOx und ThousandEyes – aktuelles Modell.</p>;"<p>Der Cisco IE-3500H-12FT4T-A ist ein gehärteter, lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-Industrial-Ethernet-IE3500H-Heavy-Duty-Familie für die Wandmontage ohne Schaltschrank in rauen, staub- und wasserbelasteten OT-Umgebungen – 12× FE-M12 + 4× GE-M12 mit M12-Steckverbindern.</p><p>Mit 16 Ports erreicht der IE-3500H-12FT4T-A eine nicht-blockierende Line-Rate-Weiterleitung über alle Ports und Paketgrößen. PoE wird nicht unterstützt. Der IE-3500H-12FT4T-A läuft unter Cisco IOS XE (Secure Boot, Trust Anchor, SUDI) und trägt die Network-Advantage-Lizenz für Layer-3-Routing (OSPF, BGP, IS-IS und EIGRP sowie SD-Access Fabric Edge, BGP-EVPN und TrustSec); MACsec-256, TSN-Frame-Preemption (802.1Qbu) und PTP IEEE-1588v2 sind integriert.</p><p>Robust ausgelegt arbeitet der IE-3500H-12FT4T-A lüfterlos von −40 bis +75 °C (IP66/IP67 nach IEC 60529, Type 4X, M12 D-/X-kodiert) bei Wandmontage ohne Schaltschrank. Für ausfallsichere Topologien bietet der IE-3500H-12FT4T-A Ring-Redundanz nach REP und MRP. Mit Cisco Cyber Vision, IOx und ThousandEyes ist der IE-3500H-12FT4T-A als aktuelles Modell für Machine-Vision- und KI-Edge-Netze als ungebrauchte Original-Hardware verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ie-3500h-12ft4t-a;5,10;5,90;IE-3500H-12FT4T-A;Cisco;standard;Stk;Cisco IE-3500H-12FT4T-A IP67-Industrie-Switch | Hexwaren;Original Cisco IE-3500H-12FT4T-A (Industrial-Ethernet-IE3500H): lüfterloser IP67/IP66 Layer-3-Industrie-Switch, M12, 12× FE-M12 + 4× GE-M12, -40/+75 °C. Cisco IOS XE, MACsec-256, Wandmontage ohne ….;Netzwerk & Infrastruktur;Switches;Industrie-Switch;TRUE;Y;Y
IE-3500H-20FT4T-E;Cisco IE-3500H-20FT4T-E Industrial-Ethernet-IE3500H lüfterloser IP67 Layer-3-Industrie-Switch (Cisco IOS XE, M12) – 20× FE-M12 + 4× GE-M12;<p>Der Cisco IE-3500H-20FT4T-E ist ein lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-IE3500H-Heavy-Duty-Serie für die Wandmontage ohne Schaltschrank mit 20× FE-M12 + 4× GE-M12 (M12). Der IE-3500H-20FT4T-E läuft unter Cisco IOS XE mit Network-Essentials-Lizenz und ist für −40 bis +75 °C ausgelegt.</p><p>Der IE-3500H-20FT4T-E bietet MACsec-256, TSN-Frame-Preemption, Ring-Redundanz (REP und MRP), PTP IEEE-1588v2, Cyber Vision, IOx und ThousandEyes – aktuelles Modell.</p>;"<p>Der Cisco IE-3500H-20FT4T-E ist ein gehärteter, lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-Industrial-Ethernet-IE3500H-Heavy-Duty-Familie für die Wandmontage ohne Schaltschrank in rauen, staub- und wasserbelasteten OT-Umgebungen – 20× FE-M12 + 4× GE-M12 mit M12-Steckverbindern.</p><p>Mit 24 Ports erreicht der IE-3500H-20FT4T-E eine nicht-blockierende Line-Rate-Weiterleitung über alle Ports und Paketgrößen. PoE wird nicht unterstützt. Der IE-3500H-20FT4T-E läuft unter Cisco IOS XE (Secure Boot, Trust Anchor, SUDI) und trägt die Network-Essentials-Lizenz für Layer-3-Routing (OSPF, OSPFv3, RIP und PBR); MACsec-256, TSN-Frame-Preemption (802.1Qbu) und PTP IEEE-1588v2 sind integriert.</p><p>Robust ausgelegt arbeitet der IE-3500H-20FT4T-E lüfterlos von −40 bis +75 °C (IP66/IP67 nach IEC 60529, Type 4X, M12 D-/X-kodiert) bei Wandmontage ohne Schaltschrank. Für ausfallsichere Topologien bietet der IE-3500H-20FT4T-E Ring-Redundanz nach REP und MRP. Mit Cisco Cyber Vision, IOx und ThousandEyes ist der IE-3500H-20FT4T-E als aktuelles Modell für Machine-Vision- und KI-Edge-Netze als ungebrauchte Original-Hardware verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ie-3500h-20ft4t-e;6,30;7,10;IE-3500H-20FT4T-E;Cisco;standard;Stk;Cisco IE-3500H-20FT4T-E IP67-Industrie-Switch | Hexwaren;Original Cisco IE-3500H-20FT4T-E (Industrial-Ethernet-IE3500H): lüfterloser IP67/IP66 Layer-3-Industrie-Switch, M12, 20× FE-M12 + 4× GE-M12, -40/+75 °C. Cisco IOS XE, MACsec-256, Wandmontage ohne ….;Netzwerk & Infrastruktur;Switches;Industrie-Switch;TRUE;Y;Y
IE-3500H-20FT4T-A;Cisco IE-3500H-20FT4T-A Industrial-Ethernet-IE3500H lüfterloser IP67 Layer-3-Industrie-Switch (Cisco IOS XE, M12) – 20× FE-M12 + 4× GE-M12;<p>Der Cisco IE-3500H-20FT4T-A ist ein lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-IE3500H-Heavy-Duty-Serie für die Wandmontage ohne Schaltschrank mit 20× FE-M12 + 4× GE-M12 (M12). Der IE-3500H-20FT4T-A läuft unter Cisco IOS XE mit Network-Advantage-Lizenz und ist für −40 bis +75 °C ausgelegt.</p><p>Der IE-3500H-20FT4T-A bietet MACsec-256, TSN-Frame-Preemption, Ring-Redundanz (REP und MRP), PTP IEEE-1588v2, Cyber Vision, IOx und ThousandEyes – aktuelles Modell.</p>;"<p>Der Cisco IE-3500H-20FT4T-A ist ein gehärteter, lüfterloser IP67/IP66-Layer-3-Industrie-Switch der Cisco-Industrial-Ethernet-IE3500H-Heavy-Duty-Familie für die Wandmontage ohne Schaltschrank in rauen, staub- und wasserbelasteten OT-Umgebungen – 20× FE-M12 + 4× GE-M12 mit M12-Steckverbindern.</p><p>Mit 24 Ports erreicht der IE-3500H-20FT4T-A eine nicht-blockierende Line-Rate-Weiterleitung über alle Ports und Paketgrößen. PoE wird nicht unterstützt. Der IE-3500H-20FT4T-A läuft unter Cisco IOS XE (Secure Boot, Trust Anchor, SUDI) und trägt die Network-Advantage-Lizenz für Layer-3-Routing (OSPF, BGP, IS-IS und EIGRP sowie SD-Access Fabric Edge, BGP-EVPN und TrustSec); MACsec-256, TSN-Frame-Preemption (802.1Qbu) und PTP IEEE-1588v2 sind integriert.</p><p>Robust ausgelegt arbeitet der IE-3500H-20FT4T-A lüfterlos von −40 bis +75 °C (IP66/IP67 nach IEC 60529, Type 4X, M12 D-/X-kodiert) bei Wandmontage ohne Schaltschrank. Für ausfallsichere Topologien bietet der IE-3500H-20FT4T-A Ring-Redundanz nach REP und MRP. Mit Cisco Cyber Vision, IOx und ThousandEyes ist der IE-3500H-20FT4T-A als aktuelles Modell für Machine-Vision- und KI-Edge-Netze als ungebrauchte Original-Hardware verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ie-3500h-20ft4t-a;6,30;7,10;IE-3500H-20FT4T-A;Cisco;standard;Stk;Cisco IE-3500H-20FT4T-A IP67-Industrie-Switch | Hexwaren;Original Cisco IE-3500H-20FT4T-A (Industrial-Ethernet-IE3500H): lüfterloser IP67/IP66 Layer-3-Industrie-Switch, M12, 20× FE-M12 + 4× GE-M12, -40/+75 °C. Cisco IOS XE, MACsec-256, Wandmontage ohne ….;Netzwerk & Infrastruktur;Switches;Industrie-Switch;TRUE;Y;Y
