Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
IE-3500H-8T-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-3500H-8T-A,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-3500H-16T-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-3500H-16T-A,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-3500H-24T-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-3500H-24T-A,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-3500H-12FT4T-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-3500H-12FT4T-A,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-3500H-20FT4T-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-3500H-20FT4T-A,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-3500H-14P2T-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-3500H-14P2T-A,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-3500H-12P2MU2XE,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-3500H-12P2MU2XA,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-3505H-16T-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
IE-3505H-16T-A,,condition,Funktionsattribut,Wertliste,Deutsch,new
