Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
IE-3500H-8T-E,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-ie3500-rugged-series/ie3500-heavy-duty-series-ds.html,datasheet,2026-06-27T18:32:07Z
IE-3500H-8T-E,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-ie3500-rugged-series/ie3500-heavy-duty-series-ds.html,datasheet,2026-06-27T18:32:07Z
IE-3500H-8T-E,Portanzahl,8,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-ie3500-rugged-series/ie3500-heavy-duty-series-ds.html,datasheet,2026-06-27T18:32:07Z
IE-3500H-8T-E,Port-Konfiguration,"8× GE-M12 (X-kodiert, 10/100/1000)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-ie3500-rugged-series/ie3500-heavy-duty-series-ds.html,datasheet,2026-06-27T18:32:07Z
IE-3500H-8T-E,Port-Geschwindigkeit,100M/1G,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-ie3500-rugged-series/ie3500-heavy-duty-series-ds.html,datasheet,2026-06-27T18:32:07Z
IE-3500H-8T-E,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-ie3500-rugged-series/ie3500-heavy-duty-series-ds.html,datasheet,2026-06-27T18:32:07Z
IE-3500H-8T-E,Switching-Kapazität,Line-Rate (nicht-blockierend),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-ie3500-rugged-series/ie3500-heavy-duty-series-ds.html,datasheet,2026-06-27T18:32:07Z
IE-3500H-8T-E,Durchsatz,Line-Rate,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-ie3500-rugged-series/ie3500-heavy-duty-series-ds.html,datasheet,2026-06-27T18:32:07Z
IE-3500H-8T-E,Bauform,"Wandmontage (IP67/IP66, M12, lüfterlos)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-ie3500-rugged-series/ie3500-heavy-duty-series-ds.html,datasheet,2026-06-27T18:32:07Z
IE-3500H-8T-E,Stromversorgung,"Einzelne Stromquelle (Mini-Change-Anschluss, 12–48 VDC; PoE-Modelle 12–54 VDC); IP67-Netzteile separat (PWR-IE-67-Serie)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-ie3500-rugged-series/ie3500-heavy-duty-series-ds.html,datasheet,2026-06-27T18:32:07Z
