Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
DS-C9706,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
DS-C9706,,Switch,Switching-Kapazität,12 Tbit/s,8,Wertliste,Attribut
DS-C9706,,Switch,Bauform,"Modularer Director-Chassis (4 Linecard-Slots, 9 HE)",10,Wertliste,Attribut
DS-C9706,,Switch,Stromversorgung,"Bis zu 4× Hot-Swap-Netzteil (3000 W AC/DC), Grid-redundant",11,Wertliste,Attribut
DS-C9706,,Switch,Kühlung,"Aktiv (3 Hot-Swap-Lüftermodule, front-to-back)",12,Wertliste,Attribut
DS-C9706,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
DS-C9706,,Switch,Anwendung,SAN / Storage-Networking (Fibre Channel),15,Wertliste,Attribut
DS-C9710,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
DS-C9710,,Switch,Switching-Kapazität,24 Tbit/s,8,Wertliste,Attribut
DS-C9710,,Switch,Bauform,"Modularer Director-Chassis (8 Linecard-Slots, 14 HE)",10,Wertliste,Attribut
DS-C9710,,Switch,Stromversorgung,"Bis zu 8× Hot-Swap-Netzteil (3000 W AC/DC), Grid-redundant",11,Wertliste,Attribut
DS-C9710,,Switch,Kühlung,"Aktiv (3 Hot-Swap-Lüftermodule, front-to-back)",12,Wertliste,Attribut
DS-C9710,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
DS-C9710,,Switch,Anwendung,SAN / Storage-Networking (Fibre Channel),15,Wertliste,Attribut
DS-C9718,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
DS-C9718,,Switch,Switching-Kapazität,48 Tbit/s,8,Wertliste,Attribut
DS-C9718,,Switch,Bauform,"Modularer Director-Chassis (16 Linecard-Slots, 26 HE)",10,Wertliste,Attribut
DS-C9718,,Switch,Stromversorgung,"Bis zu 16× Hot-Swap-Netzteil (3000 W AC/DC), Grid-redundant",11,Wertliste,Attribut
DS-C9718,,Switch,Kühlung,"Aktiv (3 Hot-Swap-Lüftermodule, front-to-back)",12,Wertliste,Attribut
DS-C9718,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
DS-C9718,,Switch,Anwendung,SAN / Storage-Networking (Fibre Channel),15,Wertliste,Attribut
