Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
DS-C9132T-MEK9,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
DS-C9132T-MEK9,,Switch,Portanzahl,16,3,Wertliste,Attribut
DS-C9132T-MEK9,,Switch,Port-Konfiguration,16× Fibre-Channel-Ports (SFP+),4,Wertliste,Attribut
DS-C9132T-MEK9,,Switch,Port-Geschwindigkeit,4/8/16/32 Gbit/s FC (autosensing),5,Wertliste,Attribut
DS-C9132T-MEK9,,Switch,PoE,Nein,7,Wertliste,Attribut
DS-C9132T-MEK9,,Switch,Switching-Kapazität,"1,024 Tbit/s",8,Wertliste,Attribut
DS-C9132T-MEK9,,Switch,Bauform,Rack-Montage (1 HE),10,Wertliste,Attribut
DS-C9132T-MEK9,,Switch,Stromversorgung,"Redundant (2× Hot-Swap-Netzteil, 650 W)",11,Wertliste,Attribut
DS-C9132T-MEK9,,Switch,Kühlung,"Aktiv (Hot-Swap-Lüfter, bidirektional)",12,Wertliste,Attribut
DS-C9132T-MEK9,,Switch,Stacking,Nein,13,Wertliste,Attribut
DS-C9132T-MEK9,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
DS-C9132T-MEK9,,Switch,Anwendung,SAN / Storage-Networking (Fibre Channel),15,Wertliste,Attribut
DS-C9148T-24EK9,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
DS-C9148T-24EK9,,Switch,Portanzahl,48,3,Wertliste,Attribut
DS-C9148T-24EK9,,Switch,Port-Konfiguration,48× Fibre-Channel-Ports (SFP+),4,Wertliste,Attribut
DS-C9148T-24EK9,,Switch,Port-Geschwindigkeit,4/8/16/32 Gbit/s FC (autosensing),5,Wertliste,Attribut
DS-C9148T-24EK9,,Switch,PoE,Nein,7,Wertliste,Attribut
DS-C9148T-24EK9,,Switch,Switching-Kapazität,"1,5 Tbit/s",8,Wertliste,Attribut
DS-C9148T-24EK9,,Switch,Bauform,Rack-Montage (1 HE),10,Wertliste,Attribut
DS-C9148T-24EK9,,Switch,Stromversorgung,"Redundant (2× Hot-Swap-Netzteil, 650 W)",11,Wertliste,Attribut
DS-C9148T-24EK9,,Switch,Kühlung,"Aktiv (Hot-Swap-Lüfter, bidirektional)",12,Wertliste,Attribut
DS-C9148T-24EK9,,Switch,Stacking,Nein,13,Wertliste,Attribut
DS-C9148T-24EK9,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
DS-C9148T-24EK9,,Switch,Anwendung,SAN / Storage-Networking (Fibre Channel),15,Wertliste,Attribut
DS-C9396T-48EK9,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
DS-C9396T-48EK9,,Switch,Portanzahl,96,3,Wertliste,Attribut
DS-C9396T-48EK9,,Switch,Port-Konfiguration,96× Fibre-Channel-Ports (SFP+),4,Wertliste,Attribut
DS-C9396T-48EK9,,Switch,Port-Geschwindigkeit,4/8/16/32 Gbit/s FC (autosensing),5,Wertliste,Attribut
DS-C9396T-48EK9,,Switch,PoE,Nein,7,Wertliste,Attribut
DS-C9396T-48EK9,,Switch,Switching-Kapazität,3 Tbit/s,8,Wertliste,Attribut
DS-C9396T-48EK9,,Switch,Bauform,Rack-Montage (2 HE),10,Wertliste,Attribut
DS-C9396T-48EK9,,Switch,Stromversorgung,"Redundant (2× Hot-Swap-Netzteil, 1200 W)",11,Wertliste,Attribut
DS-C9396T-48EK9,,Switch,Kühlung,"Aktiv (Hot-Swap-Lüfter, bidirektional)",12,Wertliste,Attribut
DS-C9396T-48EK9,,Switch,Stacking,Nein,13,Wertliste,Attribut
DS-C9396T-48EK9,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
DS-C9396T-48EK9,,Switch,Anwendung,SAN / Storage-Networking (Fibre Channel),15,Wertliste,Attribut
