Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
MS125-24-HW,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
MS125-24-HW,,Switch,Layer,L2,2,Wertliste,Attribut
MS125-24-HW,,Switch,Portanzahl,24,3,Wertliste,Attribut
MS125-24-HW,,Switch,Port-Konfiguration,24× 1G-RJ45,4,Wertliste,Attribut
MS125-24-HW,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
MS125-24-HW,,Switch,Uplink-Ports,4× SFP+ (10G),6,Wertliste,Attribut
MS125-24-HW,,Switch,PoE,Nein,7,Wertliste,Attribut
MS125-24-HW,,Switch,Switching-Kapazität,128 Gbit/s,8,Wertliste,Attribut
MS125-24-HW,,Switch,Durchsatz,95 Mpps,9,Wertliste,Attribut
MS125-24-HW,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
MS125-24-HW,,Switch,Stromversorgung,Internes Netzteil,11,Wertliste,Attribut
MS125-24-HW,,Switch,Kühlung,Passiv (lüfterlos),12,Wertliste,Attribut
MS125-24-HW,,Switch,Stacking,Nein,13,Wertliste,Attribut
MS125-24-HW,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
MS125-24-HW,,Switch,Anwendung,"Cloud-gemanagter Enterprise-/Campus-Zugang (Gigabit-Ethernet mit 10G-Uplinks, Layer 2); Switch mit 24× 1G-RJ45 und 4× SFP+ (10G); verwaltet über das Cisco Meraki Dashboard (Meraki OS); Lizenz separat erforderlich",15,Wertliste,Attribut
MS125-24P-HW,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
MS125-24P-HW,,Switch,Layer,L2,2,Wertliste,Attribut
MS125-24P-HW,,Switch,Portanzahl,24,3,Wertliste,Attribut
MS125-24P-HW,,Switch,Port-Konfiguration,24× 1G-RJ45 (PoE),4,Wertliste,Attribut
MS125-24P-HW,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
MS125-24P-HW,,Switch,Uplink-Ports,4× SFP+ (10G),6,Wertliste,Attribut
MS125-24P-HW,,Switch,PoE,"Ja – PoE+ (IEEE 802.3at, bis 30 W/Port), 370 W",7,Wertliste,Attribut
MS125-24P-HW,,Switch,Switching-Kapazität,128 Gbit/s,8,Wertliste,Attribut
MS125-24P-HW,,Switch,Durchsatz,95 Mpps,9,Wertliste,Attribut
MS125-24P-HW,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
MS125-24P-HW,,Switch,Stromversorgung,Internes Netzteil,11,Wertliste,Attribut
MS125-24P-HW,,Switch,Kühlung,Aktiv (temperaturgeregelte Lüfter),12,Wertliste,Attribut
MS125-24P-HW,,Switch,Stacking,Nein,13,Wertliste,Attribut
MS125-24P-HW,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
MS125-24P-HW,,Switch,Anwendung,"Cloud-gemanagter Enterprise-/Campus-Zugang (Gigabit-Ethernet mit 10G-Uplinks, Layer 2); Switch mit 24× 1G-RJ45 (PoE) und 4× SFP+ (10G); verwaltet über das Cisco Meraki Dashboard (Meraki OS); PoE-Versorgung für IP-Telefone, Access-Points und Kameras; Lizenz separat erforderlich",15,Wertliste,Attribut
MS125-48-HW,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
