Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
MS130R-8P-HW,Switch-Typ,Managed,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,Layer,L2,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,Portanzahl,8,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,Port-Konfiguration,8× 1G-RJ45 (PoE),https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,Port-Geschwindigkeit,1G,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,Uplink-Ports,2× SFP (1G),https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,PoE,"Ja  PoE (IEEE 802.3bt, bis 30 W/Port), 240 W",https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,Switching-Kapazität,20 Gbit/s,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,Durchsatz,Line-Rate (nicht-blockierend),https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,Bauform,"Kompakt-Industriegehäuse (DIN-Schienenmontage, lüfterlos)",https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,Stromversorgung,Externes 54-VDC-Netzteil (separat),https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,Kühlung,Passiv (lüfterlos),https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,Stacking,Nein,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,Betriebstemperatur,-40 bis +70 °C,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,Anwendung,"Cloud-gemanagter Enterprise-/Campus-Zugang (Gigabit (gehärtet, industriell, IP30), Layer 2); Switch mit 8× 1G-RJ45 (PoE) und 2× SFP (1G); verwaltet über das Cisco Meraki Dashboard (Meraki OS); PoE-Versorgung für IP-Telefone, Access-Points und Kameras; Lizenz separat erforderlich",https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,MS130R-8P-HW,Status,Cisco Meraki MS130R-8P-HW – AKTUELL/lieferbar (nicht abgekündigt); ungebrauchte Original-Hardware.,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,MS130R-8P-HW,Verwaltung/OS,Cisco Meraki MS130R-8P-HW: cloud-gemanagt über das Cisco Meraki Dashboard (Meraki OS); KEINE klassische Cisco-Switch-Software/IOS-XE (Meraki-Plattform). Die IOS-XE-Invariante wird NICHT angewendet.,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,MS130R-8P-HW,Lizenz,Cisco-Meraki-Enterprise-Lizenz (1/3/5/7/10 Jahre) separat erforderlich — Gerät ohne aktive Lizenz nicht betriebsbereit. In Beschreibung + FAQ prominent ausgewiesen.,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,MS130R-8P-HW,Switching-Kapazität,20 Gbit/s / Line-Rate (nicht-blockierend): verbatim Meraki-MS130R-Datenblatt.,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,2026-06-28T14:58:49Z
MS130R-8P-HW,MS130R-8P-HW,Gewicht,"0,96 kg: Meraki-MS130R-Datenblatt (per-PID gegroundet). Versandgewicht = +2,5 kg Verpackung.",https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet,2026-06-28T14:58:49Z
