Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
N7K-SUP1,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
N7K-SUP1,,Switch,Kompatible Serie,Nexus 7000,20,Wertliste,Attribut
N7K-SUP2,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
N7K-SUP2,,Switch,Kompatible Serie,Nexus 7000,20,Wertliste,Attribut
N7K-SUP2E,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
N7K-SUP2E,,Switch,Kompatible Serie,Nexus 7000,20,Wertliste,Attribut
N77-SUP2E,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
N77-SUP2E,,Switch,Kompatible Serie,Nexus 7700,20,Wertliste,Attribut
N77-SUP3E,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
N77-SUP3E,,Switch,Kompatible Serie,Nexus 7700,20,Wertliste,Attribut
N7K-C7010-FAB-1,,Switch,Switching-Kapazität,46 Gbit/s je Steckplatz je Fabric-1-Modul,8,Wertliste,Attribut
N7K-C7010-FAB-1,,Switch,Modultyp,Fabric-Module,19,Wertliste,Attribut
N7K-C7010-FAB-1,,Switch,Kompatible Serie,Nexus 7000,20,Wertliste,Attribut
N7K-C7018-FAB-1,,Switch,Switching-Kapazität,46 Gbit/s je Steckplatz je Fabric-1-Modul,8,Wertliste,Attribut
N7K-C7018-FAB-1,,Switch,Modultyp,Fabric-Module,19,Wertliste,Attribut
N7K-C7018-FAB-1,,Switch,Kompatible Serie,Nexus 7000,20,Wertliste,Attribut
N7K-C7009-FAB-2,,Switch,Switching-Kapazität,110 Gbit/s je Steckplatz je Fabric-2-Modul,8,Wertliste,Attribut
N7K-C7009-FAB-2,,Switch,Modultyp,Fabric-Module,19,Wertliste,Attribut
N7K-C7009-FAB-2,,Switch,Kompatible Serie,Nexus 7000,20,Wertliste,Attribut
N7K-C7010-FAB-2,,Switch,Switching-Kapazität,110 Gbit/s je Steckplatz je Fabric-2-Modul,8,Wertliste,Attribut
N7K-C7010-FAB-2,,Switch,Modultyp,Fabric-Module,19,Wertliste,Attribut
N7K-C7010-FAB-2,,Switch,Kompatible Serie,Nexus 7000,20,Wertliste,Attribut
N7K-C7018-FAB-2,,Switch,Switching-Kapazität,110 Gbit/s je Steckplatz je Fabric-2-Modul,8,Wertliste,Attribut
N7K-C7018-FAB-2,,Switch,Modultyp,Fabric-Module,19,Wertliste,Attribut
N7K-C7018-FAB-2,,Switch,Kompatible Serie,Nexus 7000,20,Wertliste,Attribut
N77-C7706-FAB-2,,Switch,Switching-Kapazität,220 Gbit/s je Steckplatz je Fabric-2-Modul,8,Wertliste,Attribut
N77-C7706-FAB-2,,Switch,Modultyp,Fabric-Module,19,Wertliste,Attribut
N77-C7706-FAB-2,,Switch,Kompatible Serie,Nexus 7700,20,Wertliste,Attribut
N77-C7710-FAB-2,,Switch,Switching-Kapazität,220 Gbit/s je Steckplatz je Fabric-2-Modul,8,Wertliste,Attribut
N77-C7710-FAB-2,,Switch,Modultyp,Fabric-Module,19,Wertliste,Attribut
N77-C7710-FAB-2,,Switch,Kompatible Serie,Nexus 7700,20,Wertliste,Attribut
N77-C7718-FAB-2,,Switch,Switching-Kapazität,220 Gbit/s je Steckplatz je Fabric-2-Modul,8,Wertliste,Attribut
N77-C7718-FAB-2,,Switch,Modultyp,Fabric-Module,19,Wertliste,Attribut
N77-C7718-FAB-2,,Switch,Kompatible Serie,Nexus 7700,20,Wertliste,Attribut
N77-C7706-FAB-3,,Switch,Switching-Kapazität,464 Gbit/s je Steckplatz je Fabric-3-Modul,8,Wertliste,Attribut
N77-C7706-FAB-3,,Switch,Modultyp,Fabric-Module,19,Wertliste,Attribut
N77-C7706-FAB-3,,Switch,Kompatible Serie,Nexus 7700,20,Wertliste,Attribut
N77-C7710-FAB-3,,Switch,Switching-Kapazität,464 Gbit/s je Steckplatz je Fabric-3-Modul,8,Wertliste,Attribut
N77-C7710-FAB-3,,Switch,Modultyp,Fabric-Module,19,Wertliste,Attribut
N77-C7710-FAB-3,,Switch,Kompatible Serie,Nexus 7700,20,Wertliste,Attribut
N7K-M132XP-12,,Switch,Portanzahl,32,3,Wertliste,Attribut
N7K-M132XP-12,,Switch,Port-Konfiguration,32× 10G-SFP+,4,Wertliste,Attribut
N7K-M132XP-12,,Switch,Switching-Kapazität,80 Gbit/s,8,Wertliste,Attribut
N7K-M132XP-12,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
N7K-M132XP-12,,Switch,Kompatible Serie,Nexus 7000,20,Wertliste,Attribut
N7K-M132XP-12L,,Switch,Portanzahl,32,3,Wertliste,Attribut
N7K-M132XP-12L,,Switch,Port-Konfiguration,32× 10G-SFP+,4,Wertliste,Attribut
N7K-M132XP-12L,,Switch,Switching-Kapazität,80 Gbit/s,8,Wertliste,Attribut
N7K-M132XP-12L,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
N7K-M132XP-12L,,Switch,Kompatible Serie,Nexus 7000,20,Wertliste,Attribut
N7K-M148GT-11,,Switch,Portanzahl,48,3,Wertliste,Attribut
N7K-M148GT-11,,Switch,Port-Konfiguration,48× 10/100/1000-RJ45,4,Wertliste,Attribut
N7K-M148GT-11,,Switch,Switching-Kapazität,46 Gbit/s,8,Wertliste,Attribut
N7K-M148GT-11,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
N7K-M148GT-11,,Switch,Kompatible Serie,Nexus 7000,20,Wertliste,Attribut
N7K-M148GT-11L,,Switch,Portanzahl,48,3,Wertliste,Attribut
N7K-M148GT-11L,,Switch,Port-Konfiguration,48× 10/100/1000-RJ45,4,Wertliste,Attribut
N7K-M148GT-11L,,Switch,Switching-Kapazität,46 Gbit/s,8,Wertliste,Attribut
N7K-M148GT-11L,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
N7K-M148GT-11L,,Switch,Kompatible Serie,Nexus 7000,20,Wertliste,Attribut
N7K-M148GS-11,,Switch,Portanzahl,48,3,Wertliste,Attribut
N7K-M148GS-11,,Switch,Port-Konfiguration,48× 1G-SFP,4,Wertliste,Attribut
