Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
N7K-SUP1,"300,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Cisco-Nexus-7000/7700-Modul (Class B, Chassis separat), neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
N7K-SUP2,"800,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Cisco-Nexus-7000/7700-Modul (Class B, Chassis separat), neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
N7K-SUP2E,"1200,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Cisco-Nexus-7000/7700-Modul (Class B, Chassis separat), neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
N77-SUP2E,"1500,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Cisco-Nexus-7000/7700-Modul (Class B, Chassis separat), neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
N77-SUP3E,"2500,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Cisco-Nexus-7000/7700-Modul (Class B, Chassis separat), neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
N7K-C7010-FAB-1,"200,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Cisco-Nexus-7000/7700-Modul (Class B, Chassis separat), neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
N7K-C7018-FAB-1,"300,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Cisco-Nexus-7000/7700-Modul (Class B, Chassis separat), neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
N7K-C7009-FAB-2,"500,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Cisco-Nexus-7000/7700-Modul (Class B, Chassis separat), neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
N7K-C7010-FAB-2,"500,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Cisco-Nexus-7000/7700-Modul (Class B, Chassis separat), neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
N7K-C7018-FAB-2,"700,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Cisco-Nexus-7000/7700-Modul (Class B, Chassis separat), neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
N77-C7706-FAB-2,"800,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Cisco-Nexus-7000/7700-Modul (Class B, Chassis separat), neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
N77-C7710-FAB-2,"1200,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Cisco-Nexus-7000/7700-Modul (Class B, Chassis separat), neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
