Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
N9K-C92348GC-X,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-X,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-X,Portanzahl,54,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-X,Port-Konfiguration,48× 100M/1G-RJ45 (BASE-T) + 4× 1/10/25G-SFP28 + 2× 40/100G-QSFP28,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-X,Port-Geschwindigkeit,"100 Mbit/s / 1 GbE (Access), bis 100 GbE (Uplink)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-X,Uplink-Ports,4× 1/10/25G-SFP28 + 2× 40/100G-QSFP28,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-X,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-X,Switching-Kapazität,696 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-X,Durchsatz,517 Mpps,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-X,Bauform,19-Zoll-Rackmontage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-X,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); 400 W AC / 400 W·350 W DC,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-X,Kühlung,"Hot-Swap-Lüfter (N+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-X,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-X,Betriebstemperatur,0 bis 40 °C,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-X,Anwendung,Data-Center Gigabit-Management-/OOB-Top-of-Rack mit lokalem Switching; NX-OS-Programmierbarkeit und vPC-Hochverfügbarkeit,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-FX3,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-FX3,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-FX3,Portanzahl,54,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-FX3,Port-Konfiguration,48× 10M/100M/1G-RJ45 (BASE-T) + 4× 1/10/25G-SFP28 + 2× 40/100G-QSFP28,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-FX3,Port-Geschwindigkeit,"10/100 Mbit/s / 1 GbE (Access), bis 100 GbE (Uplink)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-FX3,Uplink-Ports,4× 1/10/25G-SFP28 + 2× 40/100G-QSFP28,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-FX3,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-FX3,Switching-Kapazität,696 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-FX3,Durchsatz,517 Mpps,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-FX3,Bauform,19-Zoll-Rackmontage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-FX3,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); 350 W AC / 440 W DC / 350 W HVAC·HVDC,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-FX3,Kühlung,"Hot-Swap-Lüfter (N+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-FX3,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-FX3,Betriebstemperatur,0 bis 40 °C,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92348GC-FX3,Anwendung,Data-Center Gigabit-Management-/OOB-Top-of-Rack mit lokalem Switching; NX-OS-Programmierbarkeit und vPC-Hochverfügbarkeit,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92160YC-X,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92160YC-X,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92160YC-X,Portanzahl,54,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92160YC-X,Port-Konfiguration,48× 1/10/25G-SFP28 + 6× 40/100G-QSFP28,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92160YC-X,Port-Geschwindigkeit,"1/10/25 GbE (Access), bis 100 GbE (Uplink)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92160YC-X,Uplink-Ports,"6× 40/100G-QSFP28 (4× bis 100G, 2× 40G)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92160YC-X,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92160YC-X,Switching-Kapazität,"3,2 Tbit/s",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92160YC-X,Durchsatz,"2,5 Bpps",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92160YC-X,Bauform,19-Zoll-Rackmontage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92160YC-X,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); 650 W AC / 930 W DC / 1200 W AC·HVDC,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92160YC-X,Kühlung,"Hot-Swap-Lüfter (N+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92160YC-X,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92160YC-X,Betriebstemperatur,0 bis 40 °C,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92160YC-X,Anwendung,Data-Center 25-Gigabit-Server-Access als ToR/Leaf; programmierbare VXLAN-BGP-EVPN-Fabric (ACI-ready) mit vPC-Hochverfügbarkeit,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92300YC,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92300YC,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92300YC,Portanzahl,66,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92300YC,Port-Konfiguration,48× 1/10/25G-SFP28 + 18× 40/100G-QSFP28,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92300YC,Port-Geschwindigkeit,"1/10/25 GbE (Access), 40/100 GbE (Uplink)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92300YC,Uplink-Ports,18× 40/100G-QSFP28,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
N9K-C92300YC,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-735989.html,datasheet,2026-06-29T03:57:23Z
