Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
N9K-C93180YC-EX,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N9K-C93180YC-EX,,Switch,Layer,L3,2,Wertliste,Attribut
N9K-C93180YC-EX,,Switch,Portanzahl,54,3,Wertliste,Attribut
N9K-C93180YC-EX,,Switch,Port-Konfiguration,48× 1/10/25G-SFP28 + 6× 40/100G-QSFP28,4,Wertliste,Attribut
N9K-C93180YC-EX,,Switch,Port-Geschwindigkeit,"1/10/25 GbE (Access), 40/100 GbE (Uplink)",5,Wertliste,Attribut
N9K-C93180YC-EX,,Switch,Uplink-Ports,6× 40/100G-QSFP28,6,Wertliste,Attribut
N9K-C93180YC-EX,,Switch,PoE,Nein,7,Wertliste,Attribut
N9K-C93180YC-EX,,Switch,Switching-Kapazität,"3,6 Tbit/s",8,Wertliste,Attribut
N9K-C93180YC-EX,,Switch,Durchsatz,"2,6 Bpps",9,Wertliste,Attribut
N9K-C93180YC-EX,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
N9K-C93180YC-EX,,Switch,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); 500/650 W AC / 930 W DC / 1200 W HVAC·HVDC,11,Wertliste,Attribut
N9K-C93180YC-EX,,Switch,Kühlung,"Hot-Swap-Lüfter (N+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N9K-C93180YC-EX,,Switch,Stacking,Nein,13,Wertliste,Attribut
N9K-C93180YC-EX,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N9K-C93180YC-EX,,Switch,Anwendung,Data-Center 25-Gigabit-Fiber-Leaf/ToR; programmierbare VXLAN-BGP-EVPN-Fabric (ACI-ready) mit vPC-Hochverfügbarkeit und Intelligent Buffer,15,Wertliste,Attribut
N9K-C93108TC-EX,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N9K-C93108TC-EX,,Switch,Layer,L3,2,Wertliste,Attribut
N9K-C93108TC-EX,,Switch,Portanzahl,54,3,Wertliste,Attribut
N9K-C93108TC-EX,,Switch,Port-Konfiguration,48× 100M/1/10G-RJ45 (BASE-T) + 6× 40/100G-QSFP28,4,Wertliste,Attribut
N9K-C93108TC-EX,,Switch,Port-Geschwindigkeit,"100 Mbit/s / 1/10 GbE BASE-T (Access), 40/100 GbE (Uplink)",5,Wertliste,Attribut
N9K-C93108TC-EX,,Switch,Uplink-Ports,6× 40/100G-QSFP28,6,Wertliste,Attribut
N9K-C93108TC-EX,,Switch,PoE,Nein,7,Wertliste,Attribut
N9K-C93108TC-EX,,Switch,Switching-Kapazität,"2,16 Tbit/s",8,Wertliste,Attribut
N9K-C93108TC-EX,,Switch,Durchsatz,"1,6 Bpps",9,Wertliste,Attribut
N9K-C93108TC-EX,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
N9K-C93108TC-EX,,Switch,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); 500/650 W AC / 930 W DC / 1200 W HVAC·HVDC,11,Wertliste,Attribut
N9K-C93108TC-EX,,Switch,Kühlung,"Hot-Swap-Lüfter (N+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N9K-C93108TC-EX,,Switch,Stacking,Nein,13,Wertliste,Attribut
N9K-C93108TC-EX,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N9K-C93108TC-EX,,Switch,Anwendung,Data-Center 10-Gigabit-BASE-T-Leaf/ToR; programmierbare VXLAN-BGP-EVPN-Fabric (ACI-ready) mit vPC-Hochverfügbarkeit und Intelligent Buffer,15,Wertliste,Attribut
N9K-C93180LC-EX,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N9K-C93180LC-EX,,Switch,Layer,L3,2,Wertliste,Attribut
N9K-C93180LC-EX,,Switch,Portanzahl,32,3,Wertliste,Attribut
N9K-C93180LC-EX,,Switch,Port-Konfiguration,32× 40/50G-QSFP+,4,Wertliste,Attribut
N9K-C93180LC-EX,,Switch,Port-Geschwindigkeit,40/50 GbE (flexibles Gearbox-Layout),5,Wertliste,Attribut
N9K-C93180LC-EX,,Switch,PoE,Nein,7,Wertliste,Attribut
N9K-C93180LC-EX,,Switch,Switching-Kapazität,"3,6 Tbit/s",8,Wertliste,Attribut
N9K-C93180LC-EX,,Switch,Durchsatz,"2,6 Bpps",9,Wertliste,Attribut
N9K-C93180LC-EX,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
N9K-C93180LC-EX,,Switch,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); 500 W AC / 930 W DC / 1200 W HVAC·HVDC,11,Wertliste,Attribut
N9K-C93180LC-EX,,Switch,Kühlung,"Hot-Swap-Lüfter (N+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N9K-C93180LC-EX,,Switch,Stacking,Nein,13,Wertliste,Attribut
N9K-C93180LC-EX,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N9K-C93180LC-EX,,Switch,Anwendung,Data-Center 50/100-Gigabit-Spine (Industry-first 50G); programmierbare VXLAN-BGP-EVPN-Fabric (ACI-ready) mit vPC-Hochverfügbarkeit und Intelligent Buffer,15,Wertliste,Attribut
N9K-C93180YC-FX,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N9K-C93180YC-FX,,Switch,Layer,L3,2,Wertliste,Attribut
N9K-C93180YC-FX,,Switch,Portanzahl,54,3,Wertliste,Attribut
N9K-C93180YC-FX,,Switch,Port-Konfiguration,48× 1/10/25G-SFP28 + 6× 40/100G-QSFP28,4,Wertliste,Attribut
N9K-C93180YC-FX,,Switch,Port-Geschwindigkeit,"1/10/25 GbE (Access), 40/100 GbE (Uplink)",5,Wertliste,Attribut
N9K-C93180YC-FX,,Switch,Uplink-Ports,6× 40/100G-QSFP28,6,Wertliste,Attribut
N9K-C93180YC-FX,,Switch,PoE,Nein,7,Wertliste,Attribut
N9K-C93180YC-FX,,Switch,Switching-Kapazität,"3,6 Tbit/s",8,Wertliste,Attribut
N9K-C93180YC-FX,,Switch,Durchsatz,"1,2 Bpps",9,Wertliste,Attribut
N9K-C93180YC-FX,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
N9K-C93180YC-FX,,Switch,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); 500 W AC / 930 W DC / 1200 W HVAC·HVDC,11,Wertliste,Attribut
N9K-C93180YC-FX,,Switch,Kühlung,"Hot-Swap-Lüfter (N+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N9K-C93180YC-FX,,Switch,Stacking,Nein,13,Wertliste,Attribut
N9K-C93180YC-FX,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N9K-C93180YC-FX,,Switch,Anwendung,Data-Center 25-Gigabit-Fiber-Leaf/ToR mit SAN-Konvergenz; programmierbare VXLAN-BGP-EVPN-Fabric (ACI-ready) mit vPC-Hochverfügbarkeit und Intelligent Buffer,15,Wertliste,Attribut
N9K-C93108TC-FX,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N9K-C93108TC-FX,,Switch,Layer,L3,2,Wertliste,Attribut
N9K-C93108TC-FX,,Switch,Portanzahl,54,3,Wertliste,Attribut
N9K-C93108TC-FX,,Switch,Port-Konfiguration,48× 100M/1/10G-RJ45 (BASE-T) + 6× 40/100G-QSFP28,4,Wertliste,Attribut
N9K-C93108TC-FX,,Switch,Port-Geschwindigkeit,"100 Mbit/s / 1/10 GbE BASE-T (Access), 40/100 GbE (Uplink)",5,Wertliste,Attribut
N9K-C93108TC-FX,,Switch,Uplink-Ports,6× 40/100G-QSFP28,6,Wertliste,Attribut
N9K-C93108TC-FX,,Switch,PoE,Nein,7,Wertliste,Attribut
N9K-C93108TC-FX,,Switch,Switching-Kapazität,"2,16 Tbit/s",8,Wertliste,Attribut
N9K-C93108TC-FX,,Switch,Durchsatz,"1,25 Bpps",9,Wertliste,Attribut
N9K-C93108TC-FX,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
N9K-C93108TC-FX,,Switch,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); 500 W AC / 930 W DC / 1200 W HVAC·HVDC,11,Wertliste,Attribut
N9K-C93108TC-FX,,Switch,Kühlung,"Hot-Swap-Lüfter (N+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N9K-C93108TC-FX,,Switch,Stacking,Nein,13,Wertliste,Attribut
N9K-C93108TC-FX,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N9K-C93108TC-FX,,Switch,Anwendung,Data-Center 10-Gigabit-BASE-T-Leaf/ToR mit MACsec; programmierbare VXLAN-BGP-EVPN-Fabric (ACI-ready) mit vPC-Hochverfügbarkeit und Intelligent Buffer,15,Wertliste,Attribut
N9K-C9348GC-FXP,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N9K-C9348GC-FXP,,Switch,Layer,L3,2,Wertliste,Attribut
N9K-C9348GC-FXP,,Switch,Portanzahl,54,3,Wertliste,Attribut
