Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
N9K-C93180YC-EX,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742283.html,datasheet,2026-06-21T22:52:31Z
N9K-C93180YC-EX,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742283.html,datasheet,2026-06-21T22:52:31Z
N9K-C93180YC-EX,Portanzahl,54,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742283.html,datasheet,2026-06-21T22:52:31Z
N9K-C93180YC-EX,Port-Konfiguration,48× 1/10/25G-SFP28 + 6× 40/100G-QSFP28,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742283.html,datasheet,2026-06-21T22:52:31Z
N9K-C93180YC-EX,Port-Geschwindigkeit,"1/10/25 GbE (Access), 40/100 GbE (Uplink)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742283.html,datasheet,2026-06-21T22:52:31Z
N9K-C93180YC-EX,Uplink-Ports,6× 40/100G-QSFP28,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742283.html,datasheet,2026-06-21T22:52:31Z
N9K-C93180YC-EX,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742283.html,datasheet,2026-06-21T22:52:31Z
N9K-C93180YC-EX,Switching-Kapazität,"3,6 Tbit/s",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742283.html,datasheet,2026-06-21T22:52:31Z
N9K-C93180YC-EX,Durchsatz,"2,6 Bpps",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742283.html,datasheet,2026-06-21T22:52:31Z
N9K-C93180YC-EX,Bauform,19-Zoll-Rackmontage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742283.html,datasheet,2026-06-21T22:52:31Z
N9K-C93180YC-EX,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); 500/650 W AC / 930 W DC / 1200 W HVAC·HVDC,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742283.html,datasheet,2026-06-21T22:52:31Z
N9K-C93180YC-EX,Kühlung,"Hot-Swap-Lüfter (N+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742283.html,datasheet,2026-06-21T22:52:31Z
