Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
N9K-C9336C-FX2,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N9K-C9336C-FX2,,Switch,Layer,L3,2,Wertliste,Attribut
N9K-C9336C-FX2,,Switch,Portanzahl,36,3,Wertliste,Attribut
N9K-C9336C-FX2,,Switch,Port-Konfiguration,36× 40/100G-QSFP28,4,Wertliste,Attribut
N9K-C9336C-FX2,,Switch,Port-Geschwindigkeit,40/100 GbE,5,Wertliste,Attribut
N9K-C9336C-FX2,,Switch,PoE,Nein,7,Wertliste,Attribut
N9K-C9336C-FX2,,Switch,Switching-Kapazität,"7,2 Tbit/s",8,Wertliste,Attribut
N9K-C9336C-FX2,,Switch,Durchsatz,"2,4 Bpps",9,Wertliste,Attribut
N9K-C9336C-FX2,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
N9K-C9336C-FX2,,Switch,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); 750/1100 W AC / 1100 W DC / 1100 W HVAC·HVDC,11,Wertliste,Attribut
N9K-C9336C-FX2,,Switch,Kühlung,"Hot-Swap-Lüfter (N+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N9K-C9336C-FX2,,Switch,Stacking,Nein,13,Wertliste,Attribut
N9K-C9336C-FX2,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N9K-C9336C-FX2,,Switch,Anwendung,"Data-Center kompakter 100-Gigabit-Spine/Aggregation; programmierbare VXLAN-BGP-EVPN-Fabric (ACI-ready) mit vPC-Hochverfügbarkeit, Intelligent Buffer und RoCE/RDMA",15,Wertliste,Attribut
N9K-C9336C-FX2-E,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N9K-C9336C-FX2-E,,Switch,Layer,L3,2,Wertliste,Attribut
N9K-C9336C-FX2-E,,Switch,Portanzahl,36,3,Wertliste,Attribut
N9K-C9336C-FX2-E,,Switch,Port-Konfiguration,36× 40/100G-QSFP28,4,Wertliste,Attribut
N9K-C9336C-FX2-E,,Switch,Port-Geschwindigkeit,1/10/25/40/50/100 GbE (flexible Portgeschwindigkeit),5,Wertliste,Attribut
N9K-C9336C-FX2-E,,Switch,PoE,Nein,7,Wertliste,Attribut
N9K-C9336C-FX2-E,,Switch,Switching-Kapazität,"7,2 Tbit/s",8,Wertliste,Attribut
N9K-C9336C-FX2-E,,Switch,Durchsatz,"2,4 Bpps",9,Wertliste,Attribut
N9K-C9336C-FX2-E,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
N9K-C9336C-FX2-E,,Switch,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); 1100 W AC / 1100 W DC / 1100 W HVAC·HVDC,11,Wertliste,Attribut
N9K-C9336C-FX2-E,,Switch,Kühlung,"Hot-Swap-Lüfter (N+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N9K-C9336C-FX2-E,,Switch,Stacking,Nein,13,Wertliste,Attribut
N9K-C9336C-FX2-E,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N9K-C9336C-FX2-E,,Switch,Anwendung,"Data-Center 100-Gigabit-Spine mit SAN-Konvergenz; programmierbare VXLAN-BGP-EVPN-Fabric (ACI-ready) mit vPC-Hochverfügbarkeit, Intelligent Buffer und RoCE/RDMA",15,Wertliste,Attribut
N9K-C93240YC-FX2,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N9K-C93240YC-FX2,,Switch,Layer,L3,2,Wertliste,Attribut
N9K-C93240YC-FX2,,Switch,Portanzahl,60,3,Wertliste,Attribut
N9K-C93240YC-FX2,,Switch,Port-Konfiguration,48× 1/10/25G-SFP28 + 12× 40/100G-QSFP28,4,Wertliste,Attribut
N9K-C93240YC-FX2,,Switch,Port-Geschwindigkeit,"1/10/25 GbE (Access), 40/100 GbE (Uplink)",5,Wertliste,Attribut
N9K-C93240YC-FX2,,Switch,Uplink-Ports,12× 40/100G-QSFP28,6,Wertliste,Attribut
N9K-C93240YC-FX2,,Switch,PoE,Nein,7,Wertliste,Attribut
N9K-C93240YC-FX2,,Switch,Switching-Kapazität,"4,8 Tbit/s",8,Wertliste,Attribut
N9K-C93240YC-FX2,,Switch,Durchsatz,"2,5 Bpps",9,Wertliste,Attribut
N9K-C93240YC-FX2,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
N9K-C93240YC-FX2,,Switch,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); 750/1100 W AC / 1100 W DC / 1100 W HVAC·HVDC,11,Wertliste,Attribut
N9K-C93240YC-FX2,,Switch,Kühlung,"Hot-Swap-Lüfter (N+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N9K-C93240YC-FX2,,Switch,Stacking,Nein,13,Wertliste,Attribut
N9K-C93240YC-FX2,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N9K-C93240YC-FX2,,Switch,Anwendung,"Data-Center nicht-oversubscribed 25-Gigabit-Leaf/ToR (kompakt); programmierbare VXLAN-BGP-EVPN-Fabric (ACI-ready) mit vPC-Hochverfügbarkeit, Intelligent Buffer und RoCE/RDMA",15,Wertliste,Attribut
