Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
N9K-C9316D-GX,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N9K-C9316D-GX,,Switch,Layer,L3,2,Wertliste,Attribut
N9K-C9316D-GX,,Switch,Portanzahl,16,3,Wertliste,Attribut
N9K-C9316D-GX,,Switch,Port-Konfiguration,16× 400/100/40G-QSFP-DD,4,Wertliste,Attribut
N9K-C9316D-GX,,Switch,Port-Geschwindigkeit,40/100/400 GbE (QSFP-DD),5,Wertliste,Attribut
N9K-C9316D-GX,,Switch,PoE,Nein,7,Wertliste,Attribut
N9K-C9316D-GX,,Switch,Switching-Kapazität,"12,8 Tbit/s",8,Wertliste,Attribut
N9K-C9316D-GX,,Switch,Durchsatz,"4,3 Bpps",9,Wertliste,Attribut
N9K-C9316D-GX,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
N9K-C9316D-GX,,Switch,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); 1100 W AC / 1100 W DC / 1100 W HVAC·HVDC,11,Wertliste,Attribut
N9K-C9316D-GX,,Switch,Kühlung,"Hot-Swap-Lüfter (N+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N9K-C9316D-GX,,Switch,Stacking,Nein,13,Wertliste,Attribut
N9K-C9316D-GX,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N9K-C9316D-GX,,Switch,Anwendung,"Data-Center kompakter 400-Gigabit-Spine (16× 400G QSFP-DD); 400G-VXLAN-BGP-EVPN-Fabric (Single-Chip-ACI-Spine/-Leaf) mit vPC-Hochverfügbarkeit, Segment Routing (SR/SRv6) und AI/ML-Fabric (RoCE/RDMA)",15,Wertliste,Attribut
N9K-C93600CD-GX,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N9K-C93600CD-GX,,Switch,Layer,L3,2,Wertliste,Attribut
N9K-C93600CD-GX,,Switch,Portanzahl,36,3,Wertliste,Attribut
N9K-C93600CD-GX,,Switch,Port-Konfiguration,28× 40/100G-QSFP28 + 8× 400/100G-QSFP-DD,4,Wertliste,Attribut
N9K-C93600CD-GX,,Switch,Port-Geschwindigkeit,"40/100 GbE (Downlink), bis 400 GbE QSFP-DD (Uplink)",5,Wertliste,Attribut
N9K-C93600CD-GX,,Switch,Uplink-Ports,8× 400/100G-QSFP-DD,6,Wertliste,Attribut
N9K-C93600CD-GX,,Switch,PoE,Nein,7,Wertliste,Attribut
N9K-C93600CD-GX,,Switch,Switching-Kapazität,12 Tbit/s,8,Wertliste,Attribut
N9K-C93600CD-GX,,Switch,Durchsatz,"4,0 Bpps",9,Wertliste,Attribut
N9K-C93600CD-GX,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
N9K-C93600CD-GX,,Switch,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); 1100 W AC / 1100 W DC / 1100 W HVAC·HVDC,11,Wertliste,Attribut
N9K-C93600CD-GX,,Switch,Kühlung,"Hot-Swap-Lüfter (N+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N9K-C93600CD-GX,,Switch,Stacking,Nein,13,Wertliste,Attribut
N9K-C93600CD-GX,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N9K-C93600CD-GX,,Switch,Anwendung,"Data-Center 400-Gigabit-Spine+Leaf (28× 100G-Downlinks + 8× 400G-Uplinks); 400G-VXLAN-BGP-EVPN-Fabric (Single-Chip-ACI-Spine/-Leaf) mit vPC-Hochverfügbarkeit, Segment Routing (SR/SRv6) und AI/ML-Fabric (RoCE/RDMA)",15,Wertliste,Attribut
N9K-C9364C-GX,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N9K-C9364C-GX,,Switch,Layer,L3,2,Wertliste,Attribut
N9K-C9364C-GX,,Switch,Portanzahl,64,3,Wertliste,Attribut
N9K-C9364C-GX,,Switch,Port-Konfiguration,64× 40/100G-QSFP28,4,Wertliste,Attribut
N9K-C9364C-GX,,Switch,Port-Geschwindigkeit,40/100 GbE (QSFP28),5,Wertliste,Attribut
N9K-C9364C-GX,,Switch,PoE,Nein,7,Wertliste,Attribut
N9K-C9364C-GX,,Switch,Switching-Kapazität,"12,8 Tbit/s",8,Wertliste,Attribut
N9K-C9364C-GX,,Switch,Durchsatz,"4,3 Bpps",9,Wertliste,Attribut
N9K-C9364C-GX,,Switch,Bauform,19-Zoll-Rackmontage (2 HE),10,Wertliste,Attribut
N9K-C9364C-GX,,Switch,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); 2000 W AC / 2000 W DC / 2000 W HVAC·HVDC,11,Wertliste,Attribut
N9K-C9364C-GX,,Switch,Kühlung,"Hot-Swap-Lüfter (N+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N9K-C9364C-GX,,Switch,Stacking,Nein,13,Wertliste,Attribut
N9K-C9364C-GX,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N9K-C9364C-GX,,Switch,Anwendung,"Data-Center High-Density-100-Gigabit-Spine (64× 100G QSFP28); 400G-VXLAN-BGP-EVPN-Fabric (Single-Chip-ACI-Spine/-Leaf) mit vPC-Hochverfügbarkeit, Segment Routing (SR/SRv6) und AI/ML-Fabric (RoCE/RDMA)",15,Wertliste,Attribut
