Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
N9K-C9316D-GX,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
N9K-C9316D-GX,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
N9K-C9316D-GX,Portanzahl,16,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
N9K-C9316D-GX,Port-Konfiguration,16× 400/100/40G-QSFP-DD,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
N9K-C9316D-GX,Port-Geschwindigkeit,40/100/400 GbE (QSFP-DD),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
N9K-C9316D-GX,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
N9K-C9316D-GX,Switching-Kapazität,"12,8 Tbit/s",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
N9K-C9316D-GX,Durchsatz,"4,3 Bpps",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
N9K-C9316D-GX,Bauform,19-Zoll-Rackmontage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
N9K-C9316D-GX,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); 1100 W AC / 1100 W DC / 1100 W HVAC·HVDC,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
N9K-C9316D-GX,Kühlung,"Hot-Swap-Lüfter (N+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
N9K-C9316D-GX,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
N9K-C9316D-GX,Betriebstemperatur,0 bis 40 °C,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
N9K-C9316D-GX,Anwendung,"Data-Center kompakter 400-Gigabit-Spine (16× 400G QSFP-DD); 400G-VXLAN-BGP-EVPN-Fabric (Single-Chip-ACI-Spine/-Leaf) mit vPC-Hochverfügbarkeit, Segment Routing (SR/SRv6) und AI/ML-Fabric (RoCE/RDMA)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
N9K-C93600CD-GX,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
N9K-C93600CD-GX,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
N9K-C93600CD-GX,Portanzahl,36,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,datasheet,2026-06-22T20:07:27Z
