Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
N2K-C2148T;Cisco N2K-C2148T 2148T Fabric Extender (Cisco Nexus-2000) – 48 Host-Ports, 1-HE-Gehäuse;"<p>Der Cisco N2K-C2148T ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2000-Serie mit 48× 1000BASE-T (RJ-45, Host); vier 10G-SFP+ Fabric-Uplinks. Er besitzt kein eigenes Betriebssystem und wird transparent vom Parent-Switch unter Cisco NX-OS verwaltet.</p><p>Der N2K-C2148T liefert 176 Gbit/s Hardware-Weiterleitung bei 131 Mpps (Oversubscription 1,2:1); Fabric-Anbindung über vier 10G-SFP+-Uplinks. Gen-1-FEX ohne FCoE; ausschließlich an Nexus-5000-Parents.</p>";"<p>Der Cisco N2K-C2148T ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2000-Serie, ausgelegt als Gen-1-Top-of-Rack-Fabric-Extender (1 GbE) im 1-HE-Gehäuse.</p><p>Mit 48 hostseitigen Ports (1 GbE (1000BASE-T, RJ-45)) erreicht der N2K-C2148T eine Hardware-Weiterleitungskapazität von 176 Gbit/s bei 131 Mpps; die Anbindung an den Parent-Switch erfolgt über vier 10G-SFP+-Uplinks (Oversubscription 1,2:1). Als Fabric Extender besitzt der N2K-C2148T keine eigene Steuerungsebene und kein eigenes Betriebssystem – er wird transparent wie eine entfernte Line-Card vom Parent-Switch unter Cisco NX-OS verwaltet. Der N2K-C2148T ist ein reiner Ethernet-Fabric-Extender ohne FCoE-Konvergenz.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) mit zwei redundanten Hot-Swap-Netzteilen und Hot-Swap-Lüftern (Airflow wählbar: Front-to-Back/Back-to-Front) arbeitet der N2K-C2148T im Temperaturbereich 0 bis 40 °C. Als Fabric Extender ist der N2K-C2148T mit Parent-Switches der Reihen Nexus 5000 kompatibel und als ungebrauchte Original-Hardware für Neuaufbauten, Ersatz und Bestandserweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/n2k-c2148t;8,20;10,00;N2K-C2148T;Cisco;standard;Stk;Cisco N2K-C2148T 2148T 48-Port FEX (1G) | Hexwaren;Original Cisco N2K-C2148T (2148T): Cisco-Nexus-2000 Fabric Extender, 48 Host-Ports + vier 10G-SFP+-Uplinks Fabric-Uplink, 176 Gbit/s. Vom Parent (NX-OS) verwaltet, kein eigenes OS.;Netzwerk & Infrastruktur;Switches;Cisco Nexus 2000 Switches;TRUE;Y;Y
N2K-C2224TP-1GE;Cisco N2K-C2224TP-1GE 2224TP Fabric Extender (Cisco Nexus-2000) – 24 Host-Ports, 1-HE-Gehäuse;"<p>Der Cisco N2K-C2224TP-1GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2000-Serie mit 24× 100/1000BASE-T (RJ-45, Host); zwei 10G-SFP+ Fabric-Uplinks. Er besitzt kein eigenes Betriebssystem und wird transparent vom Parent-Switch unter Cisco NX-OS verwaltet.</p><p>Der N2K-C2224TP-1GE liefert 88 Gbit/s Hardware-Weiterleitung bei 65 Mpps (Oversubscription 1,2:1); Fabric-Anbindung über zwei 10G-SFP+-Uplinks. 24-Port-1-GbE-FEX ohne FCoE.</p>";"<p>Der Cisco N2K-C2224TP-1GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2000-Serie, ausgelegt als kompakter Top-of-Rack-Fabric-Extender (1 GbE, 24 Ports) im 1-HE-Gehäuse.</p><p>Mit 24 hostseitigen Ports (100 Mbit/s–1 GbE (100/1000BASE-T, RJ-45)) erreicht der N2K-C2224TP-1GE eine Hardware-Weiterleitungskapazität von 88 Gbit/s bei 65 Mpps; die Anbindung an den Parent-Switch erfolgt über zwei 10G-SFP+-Uplinks (Oversubscription 1,2:1). Als Fabric Extender besitzt der N2K-C2224TP-1GE keine eigene Steuerungsebene und kein eigenes Betriebssystem – er wird transparent wie eine entfernte Line-Card vom Parent-Switch unter Cisco NX-OS verwaltet. Der N2K-C2224TP-1GE ist ein reiner Ethernet-Fabric-Extender ohne FCoE-Konvergenz.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) mit zwei redundanten Hot-Swap-Netzteilen und Hot-Swap-Lüftern (Airflow wählbar: Front-to-Back/Back-to-Front) arbeitet der N2K-C2224TP-1GE im Temperaturbereich 0 bis 40 °C. Als Fabric Extender ist der N2K-C2224TP-1GE mit Parent-Switches der Reihen Nexus 5000/6000/7000/9000 kompatibel und als ungebrauchte Original-Hardware für Neuaufbauten, Ersatz und Bestandserweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/n2k-c2224tp-1ge;7,53;9,50;N2K-C2224TP-1GE;Cisco;standard;Stk;Cisco N2K-C2224TP-1GE 2224TP 24-Port FEX (1G) | Hexwaren;Original Cisco N2K-C2224TP-1GE (2224TP): Cisco-Nexus-2000 Fabric Extender, 24 Host-Ports + zwei 10G-SFP+-Uplinks Fabric-Uplink, 88 Gbit/s. Vom Parent (NX-OS) verwaltet, kein eigenes OS.;Netzwerk & Infrastruktur;Switches;Cisco Nexus 2000 Switches;TRUE;Y;Y
N2K-C2248TP-1GE;Cisco N2K-C2248TP-1GE 2248TP Fabric Extender (Cisco Nexus-2000) – 48 Host-Ports, 1-HE-Gehäuse;"<p>Der Cisco N2K-C2248TP-1GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2000-Serie mit 48× 100/1000BASE-T (RJ-45, Host); vier 10G-SFP+ Fabric-Uplinks. Er besitzt kein eigenes Betriebssystem und wird transparent vom Parent-Switch unter Cisco NX-OS verwaltet.</p><p>Der N2K-C2248TP-1GE liefert 176 Gbit/s Hardware-Weiterleitung bei 131 Mpps (Oversubscription 1,2:1); Fabric-Anbindung über vier 10G-SFP+-Uplinks. 48-Port-1-GbE-FEX ohne FCoE.</p>";"<p>Der Cisco N2K-C2248TP-1GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2000-Serie, ausgelegt als Top-of-Rack-Fabric-Extender (1 GbE, 48 Ports) im 1-HE-Gehäuse.</p><p>Mit 48 hostseitigen Ports (100 Mbit/s–1 GbE (100/1000BASE-T, RJ-45)) erreicht der N2K-C2248TP-1GE eine Hardware-Weiterleitungskapazität von 176 Gbit/s bei 131 Mpps; die Anbindung an den Parent-Switch erfolgt über vier 10G-SFP+-Uplinks (Oversubscription 1,2:1). Als Fabric Extender besitzt der N2K-C2248TP-1GE keine eigene Steuerungsebene und kein eigenes Betriebssystem – er wird transparent wie eine entfernte Line-Card vom Parent-Switch unter Cisco NX-OS verwaltet. Der N2K-C2248TP-1GE ist ein reiner Ethernet-Fabric-Extender ohne FCoE-Konvergenz.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) mit zwei redundanten Hot-Swap-Netzteilen und Hot-Swap-Lüftern (Airflow wählbar: Front-to-Back/Back-to-Front) arbeitet der N2K-C2248TP-1GE im Temperaturbereich 0 bis 40 °C. Als Fabric Extender ist der N2K-C2248TP-1GE mit Parent-Switches der Reihen Nexus 5000/6000/7000/9000 kompatibel und als ungebrauchte Original-Hardware für Neuaufbauten, Ersatz und Bestandserweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/n2k-c2248tp-1ge;8,00;10,00;N2K-C2248TP-1GE;Cisco;standard;Stk;Cisco N2K-C2248TP-1GE 2248TP 48-Port FEX (1G) | Hexwaren;Original Cisco N2K-C2248TP-1GE (2248TP): Cisco-Nexus-2000 Fabric Extender, 48 Host-Ports + vier 10G-SFP+-Uplinks Fabric-Uplink, 176 Gbit/s. Vom Parent (NX-OS) verwaltet, kein eigenes OS.;Netzwerk & Infrastruktur;Switches;Cisco Nexus 2000 Switches;TRUE;Y;Y
N2K-C2248TP-E-1GE;Cisco N2K-C2248TP-E-1GE 2248TP-E Fabric Extender (Cisco Nexus-2000) – 48 Host-Ports, 1-HE-Gehäuse;"<p>Der Cisco N2K-C2248TP-E-1GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2000-Serie mit 48× 100/1000BASE-T (RJ-45, Host); vier 10G-SFP+ Fabric-Uplinks. Er besitzt kein eigenes Betriebssystem und wird transparent vom Parent-Switch unter Cisco NX-OS verwaltet.</p><p>Der N2K-C2248TP-E-1GE liefert 176 Gbit/s Hardware-Weiterleitung bei 131 Mpps (Oversubscription 1,2:1); Fabric-Anbindung über vier 10G-SFP+-Uplinks. 48-Port-1-GbE-FEX mit 32-MB-Puffer (Mikroburst-Schutz).</p>";"<p>Der Cisco N2K-C2248TP-E-1GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2000-Serie, ausgelegt als Top-of-Rack-Fabric-Extender (1 GbE, 48 Ports, Deep-Buffer) im 1-HE-Gehäuse.</p><p>Mit 48 hostseitigen Ports (100 Mbit/s–1 GbE (100/1000BASE-T, RJ-45)) erreicht der N2K-C2248TP-E-1GE eine Hardware-Weiterleitungskapazität von 176 Gbit/s bei 131 Mpps; die Anbindung an den Parent-Switch erfolgt über vier 10G-SFP+-Uplinks (Oversubscription 1,2:1). Als Fabric Extender besitzt der N2K-C2248TP-E-1GE keine eigene Steuerungsebene und kein eigenes Betriebssystem – er wird transparent wie eine entfernte Line-Card vom Parent-Switch unter Cisco NX-OS verwaltet. Der N2K-C2248TP-E-1GE ist ein reiner Ethernet-Fabric-Extender ohne FCoE-Konvergenz. Ein 32-MB-Puffer im N2K-C2248TP-E-1GE entschärft Mikroburst-Lasten.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) mit zwei redundanten Hot-Swap-Netzteilen und Hot-Swap-Lüftern (Airflow wählbar: Front-to-Back/Back-to-Front) arbeitet der N2K-C2248TP-E-1GE im Temperaturbereich 0 bis 40 °C. Als Fabric Extender ist der N2K-C2248TP-E-1GE mit Parent-Switches der Reihen Nexus 5000/6000/7000/9000 kompatibel und als ungebrauchte Original-Hardware für Neuaufbauten, Ersatz und Bestandserweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/n2k-c2248tp-e-1ge;8,00;10,00;N2K-C2248TP-E-1GE;Cisco;standard;Stk;Cisco N2K-C2248TP-E-1GE 2248TP-E Deep-Buffer FEX | Hexwaren;Original Cisco N2K-C2248TP-E-1GE (2248TP-E): Cisco-Nexus-2000 Fabric Extender, 48 Host-Ports + vier 10G-SFP+-Uplinks Fabric-Uplink, 176 Gbit/s. Vom Parent (NX-OS) verwaltet, kein eigenes OS.;Netzwerk & Infrastruktur;Switches;Cisco Nexus 2000 Switches;TRUE;Y;Y
N2K-C2232PP-10GE;Cisco N2K-C2232PP-10GE 2232PP Fabric Extender (Cisco Nexus-2000) – 32 Host-Ports, 1-HE-Gehäuse;"<p>Der Cisco N2K-C2232PP-10GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2000-Serie mit 32× 1/10G-SFP+ (Host); acht 10G-SFP+ Fabric-Uplinks. Er besitzt kein eigenes Betriebssystem und wird transparent vom Parent-Switch unter Cisco NX-OS verwaltet.</p><p>Der N2K-C2232PP-10GE liefert 800 Gbit/s Hardware-Weiterleitung bei 595 Mpps (Oversubscription 4:1); Fabric-Anbindung über acht 10G-SFP+-Uplinks. 32× 10G-SFP+ mit FCoE-Konvergenz.</p>";"<p>Der Cisco N2K-C2232PP-10GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2000-Serie, ausgelegt als 10-Gigabit-Top-of-Rack-Fabric-Extender (FCoE) im 1-HE-Gehäuse.</p><p>Mit 32 hostseitigen Ports (1/10 GbE (SFP+)) erreicht der N2K-C2232PP-10GE eine Hardware-Weiterleitungskapazität von 800 Gbit/s bei 595 Mpps; die Anbindung an den Parent-Switch erfolgt über acht 10G-SFP+-Uplinks (Oversubscription 4:1). Als Fabric Extender besitzt der N2K-C2232PP-10GE keine eigene Steuerungsebene und kein eigenes Betriebssystem – er wird transparent wie eine entfernte Line-Card vom Parent-Switch unter Cisco NX-OS verwaltet. Der N2K-C2232PP-10GE unterstützt FCoE.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) mit zwei redundanten Hot-Swap-Netzteilen und Hot-Swap-Lüftern (Airflow wählbar: Front-to-Back/Back-to-Front) arbeitet der N2K-C2232PP-10GE im Temperaturbereich 0 bis 40 °C. Als Fabric Extender ist der N2K-C2232PP-10GE mit Parent-Switches der Reihen Nexus 5000/6000/7000/9000 kompatibel und als ungebrauchte Original-Hardware für Neuaufbauten, Ersatz und Bestandserweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/n2k-c2232pp-10ge;8,30;10,30;N2K-C2232PP-10GE;Cisco;standard;Stk;Cisco N2K-C2232PP-10GE 2232PP 32-Port 10G FEX | Hexwaren;Original Cisco N2K-C2232PP-10GE (2232PP): Cisco-Nexus-2000 Fabric Extender, 32 Host-Ports + acht 10G-SFP+-Uplinks Fabric-Uplink, 800 Gbit/s. Vom Parent (NX-OS) verwaltet, kein eigenes OS.;Netzwerk & Infrastruktur;Switches;Cisco Nexus 2000 Switches;TRUE;Y;Y
N2K-C2248PQ-10GE;Cisco N2K-C2248PQ-10GE 2248PQ Fabric Extender (Cisco Nexus-2000) – 48 Host-Ports, 1-HE-Gehäuse;"<p>Der Cisco N2K-C2248PQ-10GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2000-Serie mit 48× 1/10G-SFP+ (Host); vier 40G-QSFP+ Fabric-Uplinks. Er besitzt kein eigenes Betriebssystem und wird transparent vom Parent-Switch unter Cisco NX-OS verwaltet.</p><p>Der N2K-C2248PQ-10GE liefert 1280 Gbit/s Hardware-Weiterleitung bei 952 Mpps (Oversubscription 3:1); Fabric-Anbindung über vier 40G-QSFP+-Uplinks. 48× 10G-SFP+ mit 40G-QSFP+-Fabric, FCoE/DCB.</p>";"<p>Der Cisco N2K-C2248PQ-10GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2000-Serie, ausgelegt als 10-Gigabit-Top-of-Rack-Fabric-Extender mit 40G-Fabric (FCoE/DCB) im 1-HE-Gehäuse.</p><p>Mit 48 hostseitigen Ports (1/10 GbE (SFP+)) erreicht der N2K-C2248PQ-10GE eine Hardware-Weiterleitungskapazität von 1280 Gbit/s bei 952 Mpps; die Anbindung an den Parent-Switch erfolgt über vier 40G-QSFP+-Uplinks (Oversubscription 3:1). Als Fabric Extender besitzt der N2K-C2248PQ-10GE keine eigene Steuerungsebene und kein eigenes Betriebssystem – er wird transparent wie eine entfernte Line-Card vom Parent-Switch unter Cisco NX-OS verwaltet. Der N2K-C2248PQ-10GE unterstützt FCoE (inkl. DCB).</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) mit zwei redundanten Hot-Swap-Netzteilen und Hot-Swap-Lüftern (Airflow wählbar: Front-to-Back/Back-to-Front) arbeitet der N2K-C2248PQ-10GE im Temperaturbereich 0 bis 40 °C. Als Fabric Extender ist der N2K-C2248PQ-10GE mit Parent-Switches der Reihen Nexus 5500/6000/7000/9000 (nicht 5010/5020) kompatibel und als ungebrauchte Original-Hardware für Neuaufbauten, Ersatz und Bestandserweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/n2k-c2248pq-10ge;8,00;10,00;N2K-C2248PQ-10GE;Cisco;standard;Stk;Cisco N2K-C2248PQ-10GE 2248PQ 48-Port 10G FEX | Hexwaren;Original Cisco N2K-C2248PQ-10GE (2248PQ): Cisco-Nexus-2000 Fabric Extender, 48 Host-Ports + vier 40G-QSFP+-Uplinks Fabric-Uplink, 1280 Gbit/s. Vom Parent (NX-OS) verwaltet, kein eigenes OS.;Netzwerk & Infrastruktur;Switches;Cisco Nexus 2000 Switches;TRUE;Y;Y
N2K-C2232TM-10GE;Cisco N2K-C2232TM-10GE 2232TM Fabric Extender (Cisco Nexus-2000) – 32 Host-Ports, 1-HE-Gehäuse;"<p>Der Cisco N2K-C2232TM-10GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2000-Serie mit 32× 100M/1/10GBASE-T (RJ-45, Host); acht 10G-SFP+ über Uplink-Modul. Er besitzt kein eigenes Betriebssystem und wird transparent vom Parent-Switch unter Cisco NX-OS verwaltet.</p><p>Der N2K-C2232TM-10GE liefert 800 Gbit/s Hardware-Weiterleitung bei 595 Mpps (Oversubscription 4:1); Fabric-Anbindung über acht 10G-SFP+ (Uplink-Modul). 32× 10GBASE-T mit Uplink-Modul-Fabric.</p>";"<p>Der Cisco N2K-C2232TM-10GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2000-Serie, ausgelegt als 10GBASE-T-Top-of-Rack-Fabric-Extender im 1-HE-Gehäuse.</p><p>Mit 32 hostseitigen Ports (100 Mbit/s–10 GbE (100M/1/10GBASE-T, RJ-45)) erreicht der N2K-C2232TM-10GE eine Hardware-Weiterleitungskapazität von 800 Gbit/s bei 595 Mpps; die Anbindung an den Parent-Switch erfolgt über acht 10G-SFP+ (Uplink-Modul) (Oversubscription 4:1). Als Fabric Extender besitzt der N2K-C2232TM-10GE keine eigene Steuerungsebene und kein eigenes Betriebssystem – er wird transparent wie eine entfernte Line-Card vom Parent-Switch unter Cisco NX-OS verwaltet. Der N2K-C2232TM-10GE ist ein reiner Ethernet-Fabric-Extender ohne FCoE-Konvergenz.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) mit zwei redundanten Hot-Swap-Netzteilen und Hot-Swap-Lüftern (Airflow wählbar: Front-to-Back/Back-to-Front) arbeitet der N2K-C2232TM-10GE im Temperaturbereich 0 bis 40 °C. Als Fabric Extender ist der N2K-C2232TM-10GE mit Parent-Switches der Reihen Nexus 5000/6000/7000/9000 kompatibel und als ungebrauchte Original-Hardware für Neuaufbauten, Ersatz und Bestandserweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/n2k-c2232tm-10ge;8,40;10,40;N2K-C2232TM-10GE;Cisco;standard;Stk;Cisco N2K-C2232TM-10GE 2232TM 10GBASE-T FEX | Hexwaren;Original Cisco N2K-C2232TM-10GE (2232TM): Cisco-Nexus-2000 Fabric Extender, 32 Host-Ports + acht 10G-SFP+ (Uplink-Modul) Fabric-Uplink, 800 Gbit/s. Vom Parent (NX-OS) verwaltet, kein eigenes OS.;Netzwerk & Infrastruktur;Switches;Cisco Nexus 2000 Switches;TRUE;Y;Y
N2K-C2232TM-E-10GE;Cisco N2K-C2232TM-E-10GE 2232TM-E Fabric Extender (Cisco Nexus-2000) – 32 Host-Ports, 1-HE-Gehäuse;"<p>Der Cisco N2K-C2232TM-E-10GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2000-Serie mit 32× 100M/1/10GBASE-T (RJ-45, Host); acht 10G-SFP+ über Uplink-Modul. Er besitzt kein eigenes Betriebssystem und wird transparent vom Parent-Switch unter Cisco NX-OS verwaltet.</p><p>Der N2K-C2232TM-E-10GE liefert 800 Gbit/s Hardware-Weiterleitung bei 595 Mpps (Oversubscription 4:1); Fabric-Anbindung über acht 10G-SFP+ (Uplink-Modul). 32× 10GBASE-T mit FCoE (bis 30 m Cat-6a/7).</p>";"<p>Der Cisco N2K-C2232TM-E-10GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2000-Serie, ausgelegt als 10GBASE-T-Top-of-Rack-Fabric-Extender (FCoE) im 1-HE-Gehäuse.</p><p>Mit 32 hostseitigen Ports (100 Mbit/s–10 GbE (100M/1/10GBASE-T, RJ-45)) erreicht der N2K-C2232TM-E-10GE eine Hardware-Weiterleitungskapazität von 800 Gbit/s bei 595 Mpps; die Anbindung an den Parent-Switch erfolgt über acht 10G-SFP+ (Uplink-Modul) (Oversubscription 4:1). Als Fabric Extender besitzt der N2K-C2232TM-E-10GE keine eigene Steuerungsebene und kein eigenes Betriebssystem – er wird transparent wie eine entfernte Line-Card vom Parent-Switch unter Cisco NX-OS verwaltet. Der N2K-C2232TM-E-10GE unterstützt FCoE (bis 30 m über Cat-6a/7).</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) mit zwei redundanten Hot-Swap-Netzteilen und Hot-Swap-Lüftern (Airflow wählbar: Front-to-Back/Back-to-Front) arbeitet der N2K-C2232TM-E-10GE im Temperaturbereich 0 bis 40 °C. Als Fabric Extender ist der N2K-C2232TM-E-10GE mit Parent-Switches der Reihen Nexus 5000/6000/7000/9000 kompatibel und als ungebrauchte Original-Hardware für Neuaufbauten, Ersatz und Bestandserweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/n2k-c2232tm-e-10ge;8,40;10,40;N2K-C2232TM-E-10GE;Cisco;standard;Stk;Cisco N2K-C2232TM-E-10GE 2232TM-E 10GBASE-T FEX | Hexwaren;Original Cisco N2K-C2232TM-E-10GE (2232TM-E): Cisco-Nexus-2000 Fabric Extender, 32 Host-Ports + acht 10G-SFP+ (Uplink-Modul) Fabric-Uplink, 800 Gbit/s. Vom Parent (NX-OS) verwaltet, kein eigenes OS.;Netzwerk & Infrastruktur;Switches;Cisco Nexus 2000 Switches;TRUE;Y;Y
N2K-C2348UPQ-10GE;Cisco N2K-C2348UPQ-10GE 2348UPQ Fabric Extender (Cisco Nexus-2300) – 48 Host-Ports, 1-HE-Gehäuse;"<p>Der Cisco N2K-C2348UPQ-10GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2300-Serie mit 48× 1/10G Unified-SFP+ (Host); sechs 40G-QSFP+ Fabric-Uplinks. Er besitzt kein eigenes Betriebssystem und wird transparent vom Parent-Switch unter Cisco NX-OS verwaltet.</p><p>Der N2K-C2348UPQ-10GE liefert 1440 Gbit/s Hardware-Weiterleitung bei 2160 Mpps (Oversubscription bis 2:1); Fabric-Anbindung über sechs 40G-QSFP+-Uplinks. 48× Unified-SFP+ (Eth/FCoE/FC) mit 40G-Fabric, 32-MB-Puffer.</p>";"<p>Der Cisco N2K-C2348UPQ-10GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2300-Serie, ausgelegt als 10-Gigabit-Top-of-Rack-Fabric-Extender mit Unified Ports (Deep-Buffer) im 1-HE-Gehäuse.</p><p>Mit 48 hostseitigen Ports (1/10 GbE (Unified SFP+)) erreicht der N2K-C2348UPQ-10GE eine Hardware-Weiterleitungskapazität von 1440 Gbit/s bei 2160 Mpps; die Anbindung an den Parent-Switch erfolgt über sechs 40G-QSFP+-Uplinks (Oversubscription bis 2:1). Als Fabric Extender besitzt der N2K-C2348UPQ-10GE keine eigene Steuerungsebene und kein eigenes Betriebssystem – er wird transparent wie eine entfernte Line-Card vom Parent-Switch unter Cisco NX-OS verwaltet. Der N2K-C2348UPQ-10GE unterstützt FCoE. Ein 32-MB-Puffer im N2K-C2348UPQ-10GE entschärft Mikroburst-Lasten. Die Host-Ports sind Unified Ports: an einem Nexus-5600-Parent (ab NX-OS 7.3(0)N1(1)) auch natives Fibre Channel 2/4/8/16G (24 Ports bei 16G), sonst 1/10 GbE plus FCoE.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) mit zwei redundanten Hot-Swap-Netzteilen und Hot-Swap-Lüftern (Airflow wählbar: Front-to-Back/Back-to-Front) arbeitet der N2K-C2348UPQ-10GE im Temperaturbereich 0 bis 55 °C. Als Fabric Extender ist der N2K-C2348UPQ-10GE mit Parent-Switches der Reihen Nexus 5500/5600/6000/7000/7700/9300/9500 kompatibel und als ungebrauchte Original-Hardware für Neuaufbauten, Ersatz und Bestandserweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/n2k-c2348upq-10ge;7,00;9,00;N2K-C2348UPQ-10GE;Cisco;standard;Stk;Cisco N2K-C2348UPQ-10GE 2348UPQ Unified FEX | Hexwaren;Original Cisco N2K-C2348UPQ-10GE (2348UPQ): Cisco-Nexus-2300 Fabric Extender, 48 Host-Ports + sechs 40G-QSFP+-Uplinks Fabric-Uplink, 1440 Gbit/s. Vom Parent (NX-OS) verwaltet, kein eigenes OS.;Netzwerk & Infrastruktur;Switches;Cisco Nexus 2000 Switches;TRUE;Y;Y
N2K-C2348TQ-10GE;Cisco N2K-C2348TQ-10GE 2348TQ Fabric Extender (Cisco Nexus-2300) – 48 Host-Ports, 1-HE-Gehäuse;"<p>Der Cisco N2K-C2348TQ-10GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2300-Serie mit 48× 100M/1/10GBASE-T (RJ-45, Host); sechs 40G-QSFP+ Fabric-Uplinks. Er besitzt kein eigenes Betriebssystem und wird transparent vom Parent-Switch unter Cisco NX-OS verwaltet.</p><p>Der N2K-C2348TQ-10GE liefert 1440 Gbit/s Hardware-Weiterleitung bei 2160 Mpps (Oversubscription bis 2:1); Fabric-Anbindung über sechs 40G-QSFP+-Uplinks. 48× 10GBASE-T mit 40G-QSFP+-Fabric, FCoE.</p>";"<p>Der Cisco N2K-C2348TQ-10GE ist ein Fabric Extender (Remote-Line-Card) der Cisco-Nexus-2300-Serie, ausgelegt als 10GBASE-T-Top-of-Rack-Fabric-Extender mit 40G-Fabric (FCoE) im 1-HE-Gehäuse.</p><p>Mit 48 hostseitigen Ports (100 Mbit/s–10 GbE (100M/1/10GBASE-T, RJ-45)) erreicht der N2K-C2348TQ-10GE eine Hardware-Weiterleitungskapazität von 1440 Gbit/s bei 2160 Mpps; die Anbindung an den Parent-Switch erfolgt über sechs 40G-QSFP+-Uplinks (Oversubscription bis 2:1). Als Fabric Extender besitzt der N2K-C2348TQ-10GE keine eigene Steuerungsebene und kein eigenes Betriebssystem – er wird transparent wie eine entfernte Line-Card vom Parent-Switch unter Cisco NX-OS verwaltet. Der N2K-C2348TQ-10GE unterstützt FCoE (10GBASE-T bis 30 m).</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) mit zwei redundanten Hot-Swap-Netzteilen und Hot-Swap-Lüftern (Airflow wählbar: Front-to-Back/Back-to-Front) arbeitet der N2K-C2348TQ-10GE im Temperaturbereich 0 bis 55 °C. Als Fabric Extender ist der N2K-C2348TQ-10GE mit Parent-Switches der Reihen Nexus 5500/5600/6000/7000/7700/9300/9500 kompatibel und als ungebrauchte Original-Hardware für Neuaufbauten, Ersatz und Bestandserweiterung verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/n2k-c2348tq-10ge;8,00;10,00;N2K-C2348TQ-10GE;Cisco;standard;Stk;Cisco N2K-C2348TQ-10GE 2348TQ 10GBASE-T FEX | Hexwaren;Original Cisco N2K-C2348TQ-10GE (2348TQ): Cisco-Nexus-2300 Fabric Extender, 48 Host-Ports + sechs 40G-QSFP+-Uplinks Fabric-Uplink, 1440 Gbit/s. Vom Parent (NX-OS) verwaltet, kein eigenes OS.;Netzwerk & Infrastruktur;Switches;Cisco Nexus 2000 Switches;TRUE;Y;Y
