Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
N2K-C2148T,"250,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoL-Nexus-Fabric-Extender, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
N2K-C2224TP-1GE,"350,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoL-Nexus-Fabric-Extender, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
N2K-C2248TP-1GE,"450,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoL-Nexus-Fabric-Extender, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
N2K-C2248TP-E-1GE,"600,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoL-Nexus-Fabric-Extender, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
N2K-C2232PP-10GE,"700,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoL-Nexus-Fabric-Extender, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
N2K-C2248PQ-10GE,"900,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoL-Nexus-Fabric-Extender, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
N2K-C2232TM-10GE,"700,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoL-Nexus-Fabric-Extender, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
N2K-C2232TM-E-10GE,"800,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoL-Nexus-Fabric-Extender, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
N2K-C2348UPQ-10GE,"1200,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoL-Nexus-Fabric-Extender, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
N2K-C2348TQ-10GE,"1100,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoL-Nexus-Fabric-Extender, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
N2K-C2332TQ-10GE,"800,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoL-Nexus-Fabric-Extender, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
N2K-C2348TQ-E-10GE,"1200,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoL-Nexus-Fabric-Extender, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
