Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
N3K-C3064PQ-10GX,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N3K-C3064PQ-10GX,,Switch,Layer,L3,2,Wertliste,Attribut
N3K-C3064PQ-10GX,,Switch,Portanzahl,52,3,Wertliste,Attribut
N3K-C3064PQ-10GX,,Switch,Port-Konfiguration,48× 1/10G-SFP+ + 4× 40G-QSFP+,4,Wertliste,Attribut
N3K-C3064PQ-10GX,,Switch,Port-Geschwindigkeit,"1/10 GbE (SFP+, Access), 40 GbE (QSFP+, Uplink)",5,Wertliste,Attribut
N3K-C3064PQ-10GX,,Switch,Uplink-Ports,4× 40G-QSFP+,6,Wertliste,Attribut
N3K-C3064PQ-10GX,,Switch,PoE,Nein,7,Wertliste,Attribut
N3K-C3064PQ-10GX,,Switch,Switching-Kapazität,"1,28 Tbit/s",8,Wertliste,Attribut
N3K-C3064PQ-10GX,,Switch,Durchsatz,950 Mpps,9,Wertliste,Attribut
N3K-C3064PQ-10GX,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
N3K-C3064PQ-10GX,,Switch,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); AC (100–240 V) oder DC (−40 bis −72 V),11,Wertliste,Attribut
N3K-C3064PQ-10GX,,Switch,Kühlung,"Hot-Swap-Lüftermodul (redundante Lüfter, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N3K-C3064PQ-10GX,,Switch,Stacking,Nein,13,Wertliste,Attribut
N3K-C3064PQ-10GX,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N3K-C3064PQ-10GX,,Switch,Anwendung,"Data-Center 10-Gigabit-Top-of-Rack (Layer 2/3, Line-Rate, niedrige Latenz) – 48× 1/10-Gigabit-SFP+ (Glasfaser/DAC) plus 4× 40G-QSFP+-Uplinks; Cisco NX-OS mit vPC-Hochverfügbarkeit und 64-Wege-ECMP; Base-Lizenz (L2 + Basis-L3) erweiterbar per LAN-Enterprise (OSPF/EIGRP/BGP/VRF-lite); Jumbo-Frames bis 9216",15,Wertliste,Attribut
N3K-C3064TQ-10GT,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N3K-C3064TQ-10GT,,Switch,Layer,L3,2,Wertliste,Attribut
N3K-C3064TQ-10GT,,Switch,Portanzahl,52,3,Wertliste,Attribut
N3K-C3064TQ-10GT,,Switch,Port-Konfiguration,48× 100M/1/10G-BASE-T (RJ-45) + 4× 40G-QSFP+,4,Wertliste,Attribut
N3K-C3064TQ-10GT,,Switch,Port-Geschwindigkeit,"100M/1/10 GbE (10GBASE-T, Access), 40 GbE (QSFP+, Uplink)",5,Wertliste,Attribut
N3K-C3064TQ-10GT,,Switch,Uplink-Ports,4× 40G-QSFP+,6,Wertliste,Attribut
N3K-C3064TQ-10GT,,Switch,PoE,Nein,7,Wertliste,Attribut
N3K-C3064TQ-10GT,,Switch,Switching-Kapazität,"1,28 Tbit/s",8,Wertliste,Attribut
N3K-C3064TQ-10GT,,Switch,Durchsatz,950 Mpps,9,Wertliste,Attribut
N3K-C3064TQ-10GT,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
N3K-C3064TQ-10GT,,Switch,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); AC (100–240 V),11,Wertliste,Attribut
N3K-C3064TQ-10GT,,Switch,Kühlung,"Hot-Swap-Lüftermodul (redundante Lüfter, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N3K-C3064TQ-10GT,,Switch,Stacking,Nein,13,Wertliste,Attribut
N3K-C3064TQ-10GT,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N3K-C3064TQ-10GT,,Switch,Anwendung,"Data-Center 10-Gigabit-Top-of-Rack (Layer 2/3, Line-Rate, niedrige Latenz) – 48× 10-Gigabit-BASE-T (Kupfer, RJ-45) plus 4× 40G-QSFP+-Uplinks; Cisco NX-OS mit vPC-Hochverfügbarkeit und 64-Wege-ECMP; Base-Lizenz (L2 + Basis-L3) erweiterbar per LAN-Enterprise (OSPF/EIGRP/BGP/VRF-lite); Jumbo-Frames bis 9216",15,Wertliste,Attribut
N3K-C3064TQ-32T,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N3K-C3064TQ-32T,,Switch,Layer,L3,2,Wertliste,Attribut
N3K-C3064TQ-32T,,Switch,Portanzahl,32,3,Wertliste,Attribut
N3K-C3064TQ-32T,,Switch,Port-Konfiguration,32× 100M/1/10G-BASE-T (RJ-45; 32 von 48 lizenziert) + vier feste 40G-QSFP+-Uplinks,4,Wertliste,Attribut
N3K-C3064TQ-32T,,Switch,Port-Geschwindigkeit,"100M/1/10 GbE (10GBASE-T, Access), 40 GbE (QSFP+, Uplink)",5,Wertliste,Attribut
N3K-C3064TQ-32T,,Switch,Uplink-Ports,4× 40G-QSFP+,6,Wertliste,Attribut
N3K-C3064TQ-32T,,Switch,PoE,Nein,7,Wertliste,Attribut
N3K-C3064TQ-32T,,Switch,Switching-Kapazität,"1,28 Tbit/s",8,Wertliste,Attribut
N3K-C3064TQ-32T,,Switch,Durchsatz,950 Mpps,9,Wertliste,Attribut
N3K-C3064TQ-32T,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
N3K-C3064TQ-32T,,Switch,Stromversorgung,Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); AC (100–240 V),11,Wertliste,Attribut
N3K-C3064TQ-32T,,Switch,Kühlung,"Hot-Swap-Lüftermodul (redundante Lüfter, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N3K-C3064TQ-32T,,Switch,Stacking,Nein,13,Wertliste,Attribut
N3K-C3064TQ-32T,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N3K-C3064TQ-32T,,Switch,Anwendung,"Data-Center 10-Gigabit-Top-of-Rack (Layer 2/3, Line-Rate, niedrige Latenz) – 32 von 48 lizenzierte 10-Gigabit-BASE-T (Kupfer, RJ-45) plus 4× 40G-QSFP+-Uplinks; Cisco NX-OS mit vPC-Hochverfügbarkeit und 64-Wege-ECMP; Base-Lizenz (L2 + Basis-L3) erweiterbar per LAN-Enterprise (OSPF/EIGRP/BGP/VRF-lite); Jumbo-Frames bis 9216",15,Wertliste,Attribut
