Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
N3K-C3132Q-40GE,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,Portanzahl,32,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,Port-Konfiguration,"32× 40G-QSFP+ (Port 1 alternativ vier 10G-SFP+, gemultiplext)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,Port-Geschwindigkeit,40 GbE (QSFP+; 40G nativ oder 10G-Breakout),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,Switching-Kapazität,"2,5 Tbit/s",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,Durchsatz,1400 Mpps,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,Bauform,19-Zoll-Rackmontage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,Stromversorgung,"AC (100–240 V) oder DC (−40 bis −72 V), N+1-redundant",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,Kühlung,"3+1-redundant, Airflow wählbar: Port-side Intake/Exhaust",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,Betriebstemperatur,0 bis 40 °C,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,Anwendung,"Data-Center 40-Gigabit-Spine/Top-of-Rack (einheitliche 32× 40G-QSFP+, ohne Access/Uplink-Trennung; 40G nativ oder 10G-Breakout) – Layer 2/3, Line-Rate; Cisco NX-OS mit vPC-Hochverfügbarkeit, 64-Wege-ECMP und VXLAN (LAN-Enterprise-Lizenz); Jumbo-Frames bis 9216",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,N3K-C3132Q-40GE,EoL,"Cisco Nexus 3100-Plattform End-of-Sale (18-Jan-2023) – informativ als Original-Ersatz-/Bestands-Spare geführt, nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,N3K-C3132Q-40GE,PID,"Ordering-PID N3K-C3132Q-40GE verbatim aus der Courier-Transkription des Cisco-Datenblatts c78-729482 (Ordering-Section; nur Basis-Chassis-PID gebankt, nicht die FA/BA/FD/BD-Airflow-/Power-Bundles; deckt sich mit Ciscos Standard-PID).",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,N3K-C3132Q-40GE,Switching-Kapazität,"2,5 Tbit/s: Cisco-Angabe (c78-729482 Table 3) übernommen, NICHT verdoppelt.",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,N3K-C3132Q-40GE,Versandgewicht,"10,80 (geschätzt: Artikelgewicht + Standard-Paketverpackung; 1 HE, Paketversand).",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,2026-06-29T03:57:30Z
N3K-C3132Q-40GE,N3K-C3132Q-40GE,Portanzahl,"Portanzahl = 32: die 4× SFP+ sind intern mit QSFP-Port 1 gemultiplext (stehlen dessen Cage), NICHT additiv – daher 32, nicht 36. Multiplex in Port-Konfiguration dokumentiert.",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,Portanzahl,32,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,Port-Konfiguration,"32× 40G-QSFP+ (Port 1 alternativ vier 10G-SFP+, gemultiplext)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,Port-Geschwindigkeit,40 GbE (QSFP+; 40G nativ oder 10G-Breakout),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,Switching-Kapazität,"2,5 Tbit/s",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,Durchsatz,1400 Mpps,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,Bauform,19-Zoll-Rackmontage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,Stromversorgung,"AC (100–240 V) oder DC (−40 bis −72 V), N+1-redundant",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,Kühlung,"3+1-redundant, Airflow wählbar: Port-side Intake/Exhaust",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,Betriebstemperatur,0 bis 40 °C,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,Anwendung,"Data-Center 40-Gigabit-Spine/Top-of-Rack (einheitliche 32× 40G-QSFP+, ohne Access/Uplink-Trennung; 40G nativ oder 10G-Breakout) – Layer 2/3, Line-Rate; Cisco NX-OS mit vPC-Hochverfügbarkeit, 64-Wege-ECMP und VXLAN (LAN-Enterprise-Lizenz); Jumbo-Frames bis 9216",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,N3K-C3132Q-40GX,EoL,"Cisco Nexus 3100-Plattform End-of-Sale (18-Jan-2023) – informativ als Original-Ersatz-/Bestands-Spare geführt, nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,N3K-C3132Q-40GX,PID,"Ordering-PID N3K-C3132Q-40GX verbatim aus der Courier-Transkription des Cisco-Datenblatts c78-729482 (Ordering-Section; nur Basis-Chassis-PID gebankt, nicht die FA/BA/FD/BD-Airflow-/Power-Bundles; deckt sich mit Ciscos Standard-PID).",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,N3K-C3132Q-40GX,Switching-Kapazität,"2,5 Tbit/s: Cisco-Angabe (c78-729482 Table 3) übernommen, NICHT verdoppelt.",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,N3K-C3132Q-40GX,Versandgewicht,"10,80 (geschätzt: Artikelgewicht + Standard-Paketverpackung; 1 HE, Paketversand).",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,2026-06-29T03:57:30Z
N3K-C3132Q-40GX,N3K-C3132Q-40GX,Portanzahl,"Portanzahl = 32: die 4× SFP+ sind intern mit QSFP-Port 1 gemultiplext (stehlen dessen Cage), NICHT additiv – daher 32, nicht 36. Multiplex in Port-Konfiguration dokumentiert.",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,2026-06-29T03:57:30Z
N3K-C3132Q-XL,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-XL,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-XL,Portanzahl,32,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-XL,Port-Konfiguration,"32× 40G-QSFP+ (Port 1 alternativ vier 10G-SFP+, gemultiplext)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-XL,Port-Geschwindigkeit,40 GbE (QSFP+; 40G nativ oder 10G-Breakout),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-XL,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-XL,Switching-Kapazität,"2,5 Tbit/s",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-XL,Durchsatz,1400 Mpps,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-XL,Bauform,19-Zoll-Rackmontage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-XL,Stromversorgung,"AC (100–240 V) oder DC (−40 bis −72 V), N+1-redundant",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-XL,Kühlung,"3+1-redundant, Airflow wählbar: Port-side Intake/Exhaust",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-XL,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-XL,Betriebstemperatur,0 bis 40 °C,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-XL,Anwendung,"Data-Center 40-Gigabit-Spine/Top-of-Rack (einheitliche 32× 40G-QSFP+, ohne Access/Uplink-Trennung; 40G nativ oder 10G-Breakout) – Layer 2/3, Line-Rate; Cisco NX-OS mit vPC-Hochverfügbarkeit, 64-Wege-ECMP und VXLAN (LAN-Enterprise-Lizenz); Jumbo-Frames bis 9216",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,datasheet,2026-06-29T03:57:30Z
N3K-C3132Q-XL,N3K-C3132Q-XL,EoL,"Cisco Nexus 3100-Plattform End-of-Sale (18-Jan-2023) – informativ als Original-Ersatz-/Bestands-Spare geführt, nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,2026-06-29T03:57:30Z
N3K-C3132Q-XL,N3K-C3132Q-XL,PID,"Ordering-PID N3K-C3132Q-XL verbatim aus der Courier-Transkription des Cisco-Datenblatts c78-729482 (Ordering-Section; nur Basis-Chassis-PID gebankt, nicht die FA/BA/FD/BD-Airflow-/Power-Bundles; deckt sich mit Ciscos Standard-PID).",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,2026-06-29T03:57:30Z
N3K-C3132Q-XL,N3K-C3132Q-XL,Switching-Kapazität,"2,5 Tbit/s: Cisco-Angabe (c78-729482 Table 3) übernommen, NICHT verdoppelt.",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-729482.html,2026-06-29T03:57:30Z
