Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
N3K-C3232C,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N3K-C3232C,,Switch,Layer,L3,2,Wertliste,Attribut
N3K-C3232C,,Switch,Portanzahl,32,3,Wertliste,Attribut
N3K-C3232C,,Switch,Port-Konfiguration,32× 100G-QSFP28 (Breakout auf 25G),4,Wertliste,Attribut
N3K-C3232C,,Switch,Port-Geschwindigkeit,"100 GbE (QSFP28; wahlweise 10/25/40/50/100G, Breakout auf 25G)",5,Wertliste,Attribut
N3K-C3232C,,Switch,PoE,Nein,7,Wertliste,Attribut
N3K-C3232C,,Switch,Switching-Kapazität,"6,4 Tbit/s",8,Wertliste,Attribut
N3K-C3232C,,Switch,Durchsatz,3300 Mpps,9,Wertliste,Attribut
N3K-C3232C,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
N3K-C3232C,,Switch,Stromversorgung,"Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); AC (100–240 V, NXA-PAC-650W)",11,Wertliste,Attribut
N3K-C3232C,,Switch,Kühlung,"Hot-Swap-Lüftermodul (3+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N3K-C3232C,,Switch,Stacking,Nein,13,Wertliste,Attribut
N3K-C3232C,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N3K-C3232C,,Switch,Anwendung,"Data-Center einheitlicher 100-Gigabit-Spine (32× 100G-QSFP28, je 10/25/40/50/100G, Breakout auf 25G; Layer 2/3, Line-Rate, ~450 ns Latenz, 1 HE) – Cisco NX-OS mit vPC-Hochverfügbarkeit, 64-Wege-ECMP und bis zu 256-Wege-EtherChannel; Enhanced-Layer-3-Lizenz N3K-LAN1K9 für OSPF/EIGRP/BGP; Jumbo-Frames bis 9216",15,Wertliste,Attribut
