Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
N3K-C3264C-E,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N3K-C3264C-E,,Switch,Layer,L3,2,Wertliste,Attribut
N3K-C3264C-E,,Switch,Portanzahl,64,3,Wertliste,Attribut
N3K-C3264C-E,,Switch,Port-Konfiguration,64× 100G-QSFP28 (16 MACsec-fähig; zwei zusätzliche 1/10G-SFP+),4,Wertliste,Attribut
N3K-C3264C-E,,Switch,Port-Geschwindigkeit,100 GbE (QSFP28; auch 10/25/40/50G; Breakout 4× 25G o. 2× 50G),5,Wertliste,Attribut
N3K-C3264C-E,,Switch,PoE,Nein,7,Wertliste,Attribut
N3K-C3264C-E,,Switch,Switching-Kapazität,"12,8 Tbit/s",8,Wertliste,Attribut
N3K-C3264C-E,,Switch,Durchsatz,4300 Mpps,9,Wertliste,Attribut
N3K-C3264C-E,,Switch,Bauform,19-Zoll-Rackmontage (2 HE),10,Wertliste,Attribut
N3K-C3264C-E,,Switch,Stromversorgung,"Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); AC (1200 W, 100–240 V) oder DC (930 W / 1200 W)",11,Wertliste,Attribut
N3K-C3264C-E,,Switch,Kühlung,"Hot-Swap-Lüftermodul (3+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N3K-C3264C-E,,Switch,Stacking,Nein,13,Wertliste,Attribut
N3K-C3264C-E,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N3K-C3264C-E,,Switch,Anwendung,"Data-Center ultra-hochdichter 100-Gigabit-Spine (64× 100G-QSFP28, davon 16 MACsec-fähig; Layer 2/3, Line-Rate, ~450 ns, 2 HE, 42 MB Deep-Buffer) – Cisco NX-OS mit vPC-Hochverfügbarkeit und 64-Wege-ECMP; LAN-Enterprise-Lizenz N3K-LAN2K9 für OSPFv2/EIGRP/BGP/VRF-Lite; Jumbo-Frames bis 9416",15,Wertliste,Attribut
