Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
N3K-C3264C-E,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740134.html,datasheet,2026-06-26T16:14:43Z
N3K-C3264C-E,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740134.html,datasheet,2026-06-26T16:14:43Z
N3K-C3264C-E,Portanzahl,64,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740134.html,datasheet,2026-06-26T16:14:43Z
N3K-C3264C-E,Port-Konfiguration,64× 100G-QSFP28 (16 MACsec-fähig; zwei zusätzliche 1/10G-SFP+),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740134.html,datasheet,2026-06-26T16:14:43Z
N3K-C3264C-E,Port-Geschwindigkeit,100 GbE (QSFP28; auch 10/25/40/50G; Breakout 4× 25G o. 2× 50G),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740134.html,datasheet,2026-06-26T16:14:43Z
N3K-C3264C-E,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740134.html,datasheet,2026-06-26T16:14:43Z
N3K-C3264C-E,Switching-Kapazität,"12,8 Tbit/s",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740134.html,datasheet,2026-06-26T16:14:43Z
N3K-C3264C-E,Durchsatz,4.300 Mpps,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740134.html,datasheet,2026-06-26T16:14:43Z
N3K-C3264C-E,Bauform,19-Zoll-Rackmontage (2 HE),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740134.html,datasheet,2026-06-26T16:14:43Z
N3K-C3264C-E,Stromversorgung,"Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); AC (1200 W, 100–240 V) oder DC (930 W / 1200 W)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740134.html,datasheet,2026-06-26T16:14:43Z
N3K-C3264C-E,Kühlung,"Hot-Swap-Lüftermodul (3+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740134.html,datasheet,2026-06-26T16:14:43Z
N3K-C3264C-E,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740134.html,datasheet,2026-06-26T16:14:43Z
N3K-C3264C-E,Betriebstemperatur,0 bis 40 °C,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740134.html,datasheet,2026-06-26T16:14:43Z
N3K-C3264C-E,Anwendung,"Data-Center ultra-hochdichter 100-Gigabit-Spine (64× 100G-QSFP28, davon 16 MACsec-fähig; Layer 2/3, Line-Rate, ~450 ns, 2 HE, 42 MB Deep-Buffer) – Cisco NX-OS mit vPC-Hochverfügbarkeit und 64-Wege-ECMP; LAN-Enterprise-Lizenz N3K-LAN2K9 für OSPFv2/EIGRP/BGP/VRF-Lite; Jumbo-Frames bis 9416",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740134.html,datasheet,2026-06-26T16:14:43Z
