Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
N3K-C3264Q,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N3K-C3264Q,,Switch,Layer,L3,2,Wertliste,Attribut
N3K-C3264Q,,Switch,Portanzahl,64,3,Wertliste,Attribut
N3K-C3264Q,,Switch,Port-Konfiguration,64× 40G-QSFP+ (zwei zusätzliche 1/10G-SFP+),4,Wertliste,Attribut
N3K-C3264Q,,Switch,Port-Geschwindigkeit,40 GbE (QSFP+; auch 40G-BiDi; QSA für 10G),5,Wertliste,Attribut
N3K-C3264Q,,Switch,PoE,Nein,7,Wertliste,Attribut
N3K-C3264Q,,Switch,Switching-Kapazität,"5,12 Tbit/s",8,Wertliste,Attribut
N3K-C3264Q,,Switch,Durchsatz,3800 Mpps,9,Wertliste,Attribut
N3K-C3264Q,,Switch,Bauform,19-Zoll-Rackmontage (2 HE),10,Wertliste,Attribut
N3K-C3264Q,,Switch,Stromversorgung,"Bis zu 2× Hot-Swap-Netzteil (N+1-redundant); AC (200–240 V, NXA-PAC-650W)",11,Wertliste,Attribut
N3K-C3264Q,,Switch,Kühlung,"Hot-Swap-Lüftermodul (3+1-redundant, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N3K-C3264Q,,Switch,Stacking,Nein,13,Wertliste,Attribut
N3K-C3264Q,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N3K-C3264Q,,Switch,Anwendung,"Data-Center ultra-hochdichter 40-Gigabit-Spine (64× 40G-QSFP+, auch 40G-BiDi; Layer 2/3, Line-Rate, 515–700 ns, 2 HE) – Cisco NX-OS mit vPC-Hochverfügbarkeit, 64-Wege-ECMP und VXLAN-Bridging/-Gateway; Enhanced-Layer-3-Lizenz N3K-LAN1K9 für OSPF/EIGRP/BGP/VXLAN; Jumbo-Frames bis 9216",15,Wertliste,Attribut
