Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
N3K-C34180YC,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:36Z
N3K-C34180YC,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:36Z
N3K-C34180YC,Portanzahl,54,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:36Z
N3K-C34180YC,Port-Konfiguration,48× 25G-SFP28 (10/25G) + 6× 100G-QSFP28,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:36Z
N3K-C34180YC,Port-Geschwindigkeit,"10/25 GbE (SFP28, Access), 40/100 GbE (QSFP28, Uplink)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:36Z
N3K-C34180YC,Uplink-Ports,6× 100G-QSFP28,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:36Z
N3K-C34180YC,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:36Z
N3K-C34180YC,Switching-Kapazität,1800 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:36Z
N3K-C34180YC,Durchsatz,1400 Mpps,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:36Z
N3K-C34180YC,Bauform,19-Zoll-Rackmontage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:36Z
N3K-C34180YC,Stromversorgung,"2× redundant; AC (500 W), DC (930 W) oder HVAC/HVDC (1200 W)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:36Z
N3K-C34180YC,Kühlung,"Hot-Swap-Lüftermodul (redundant, Airflow wählbar: Port-side Intake/Exhaust)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:36Z
N3K-C34180YC,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:36Z
N3K-C34180YC,Betriebstemperatur,0 bis 40 °C,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:36Z
N3K-C34180YC,Anwendung,"Data-Center 25-Gigabit-Leaf, programmierbar (Inband-Telemetrie) – 48× 25G-SFP28-Access plus 6× 100G-QSFP28-Uplinks; Layer 2/3, Line-Rate; NX-OS mit vPC und 32-Wege-ECMP; LAN-Enterprise-Lizenz N3K-LAN1K9 für OSPF/EIGRP/BGP; Inband Network Telemetry; Jumbo bis 9216",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:36Z
N3K-C34180YC,N3K-C34180YC,EoL,"Cisco 34180YC (Nexus-3400-Generation) – EoL/EoS-Status und genaues Datum ZU_VERIFIZIEREN (Datenblatt c78-740836 nennt keines). In scope (EoL-Generation; Hexwaren führt ungebrauchte Original-Hardware), nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,2026-06-29T03:57:36Z
N3K-C34180YC,N3K-C34180YC,PID,Ordering-PID N3K-C34180YC verbatim aus c78-740836 (nur Basis-Chassis-PID gebankt; PSUs/Lüfter/Lizenzen nicht gebankt; deckt sich mit Ciscos Standard-PID).,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,2026-06-29T03:57:36Z
N3K-C34180YC,N3K-C34180YC,Switching-Kapazität,"1800 Gbit/s: Cisco-Angabe (c78-740836, gerichtet) übernommen; die Datenblatt-Angabe 3,6 Tbit/s ist bidirektional (HW-identisch zum 36180YC-R, dessen Tabelle 1,8 nennt) -> NICHT verdoppelt.",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,2026-06-29T03:57:36Z
N3K-C34180YC,N3K-C34180YC,Versandgewicht,"10,00 (geschätzt: Artikelgewicht 8,4 kg + Standard-Paketverpackung; 1 HE).",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,2026-06-29T03:57:36Z
