Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
N3K-C3432D-S,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N3K-C3432D-S,,Switch,Layer,L3,2,Wertliste,Attribut
N3K-C3432D-S,,Switch,Portanzahl,32,3,Wertliste,Attribut
N3K-C3432D-S,,Switch,Port-Konfiguration,32× 400G-QSFP-DD (zwei zusätzliche 100M/1G-SFP),4,Wertliste,Attribut
N3K-C3432D-S,,Switch,Port-Geschwindigkeit,400 GbE (QSFP-DD; abwärtskompatibel QSFP+/28/56; Breakout auf 200G/100G/50G/25G),5,Wertliste,Attribut
N3K-C3432D-S,,Switch,PoE,Nein,7,Wertliste,Attribut
N3K-C3432D-S,,Switch,Switching-Kapazität,"25,6 Tbit/s",8,Wertliste,Attribut
N3K-C3432D-S,,Switch,Durchsatz,bis 10000 Mpps,9,Wertliste,Attribut
N3K-C3432D-S,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
N3K-C3432D-S,,Switch,Stromversorgung,"2× redundant; AC (1500 W, 100–240 V)",11,Wertliste,Attribut
N3K-C3432D-S,,Switch,Kühlung,"Hot-Swap-Lüftermodul (redundant, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N3K-C3432D-S,,Switch,Stacking,Nein,13,Wertliste,Attribut
N3K-C3432D-S,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N3K-C3432D-S,,Switch,Anwendung,"Data-Center 400-Gigabit-Spine mit Deep-Analytics – 32× 400G-QSFP-DD (50G-PAM4); Layer 2/3, Line-Rate, 70 MB Deep-Buffer; NX-OS mit vPC, bis 512-Wege-ECMP und IS-IS; Essential-Lizenz N3K-ES-XF2 für OSPF/EIGRP/BGP/IS-IS/VRF-Lite; Inband Network Telemetry; Jumbo bis 9216",15,Wertliste,Attribut
