Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
N3K-C3432D-S,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,datasheet,2026-06-29T03:57:37Z
N3K-C3432D-S,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,datasheet,2026-06-29T03:57:37Z
N3K-C3432D-S,Portanzahl,32,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,datasheet,2026-06-29T03:57:37Z
N3K-C3432D-S,Port-Konfiguration,32× 400G-QSFP-DD (zwei zusätzliche 100M/1G-SFP),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,datasheet,2026-06-29T03:57:37Z
N3K-C3432D-S,Port-Geschwindigkeit,400 GbE (QSFP-DD; abwärtskompatibel QSFP+/28/56; Breakout auf 200G/100G/50G/25G),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,datasheet,2026-06-29T03:57:37Z
N3K-C3432D-S,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,datasheet,2026-06-29T03:57:37Z
N3K-C3432D-S,Switching-Kapazität,"25,6 Tbit/s",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,datasheet,2026-06-29T03:57:37Z
N3K-C3432D-S,Durchsatz,bis 10000 Mpps,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,datasheet,2026-06-29T03:57:37Z
N3K-C3432D-S,Bauform,19-Zoll-Rackmontage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,datasheet,2026-06-29T03:57:37Z
N3K-C3432D-S,Stromversorgung,"2× redundant; AC (1500 W, 100–240 V)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,datasheet,2026-06-29T03:57:37Z
N3K-C3432D-S,Kühlung,"Hot-Swap-Lüftermodul (redundant, Airflow wählbar: Port-side Intake/Exhaust)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,datasheet,2026-06-29T03:57:37Z
N3K-C3432D-S,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,datasheet,2026-06-29T03:57:37Z
N3K-C3432D-S,Betriebstemperatur,0 bis 40 °C,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,datasheet,2026-06-29T03:57:37Z
N3K-C3432D-S,Anwendung,"Data-Center 400-Gigabit-Spine mit Deep-Analytics – 32× 400G-QSFP-DD (50G-PAM4); Layer 2/3, Line-Rate, 70 MB Deep-Buffer; NX-OS mit vPC, bis 512-Wege-ECMP und IS-IS; Essential-Lizenz N3K-ES-XF2 für OSPF/EIGRP/BGP/IS-IS/VRF-Lite; Inband Network Telemetry; Jumbo bis 9216",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,datasheet,2026-06-29T03:57:37Z
N3K-C3432D-S,N3K-C3432D-S,EoL,"Cisco 3432D-S (Nexus-3400-Generation) – EoL/EoS-Status und genaues Datum ZU_VERIFIZIEREN (Datenblatt c78-741557 nennt keines). In scope (EoL-Generation; Hexwaren führt ungebrauchte Original-Hardware), nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,2026-06-29T03:57:37Z
N3K-C3432D-S,N3K-C3432D-S,PID,Ordering-PID N3K-C3432D-S verbatim aus c78-741557 (nur Basis-Chassis-PID gebankt; PSUs/Lüfter/Lizenzen nicht gebankt; deckt sich mit Ciscos Standard-PID).,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,2026-06-29T03:57:37Z
N3K-C3432D-S,N3K-C3432D-S,Switching-Kapazität,"25,6 Tbit/s: Cisco-Angabe (c78-741557 Tabelle 2, switching capacity) übernommen; der 12,8-Tbit/s-ASIC-Wert ist gerichtet -> NICHT verdoppelt.",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,2026-06-29T03:57:37Z
N3K-C3432D-S,N3K-C3432D-S,Versandgewicht,"15,50 (geschätzt: Artikelgewicht 13,6 kg + Standard-Paketverpackung; 1 HE).",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-741557.html,2026-06-29T03:57:37Z
