Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
N3K-C3464C,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:38Z
N3K-C3464C,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:38Z
N3K-C3464C,Portanzahl,64,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:38Z
N3K-C3464C,Port-Konfiguration,64× 100G-QSFP28 (zwei zusätzliche 1/10G-SFP+),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:38Z
N3K-C3464C,Port-Geschwindigkeit,100 GbE (QSFP28; auch 40G; Breakout auf 10G/25G),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:38Z
N3K-C3464C,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:38Z
N3K-C3464C,Switching-Kapazität,"12,8 Tbit/s",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:38Z
N3K-C3464C,Durchsatz,5200 Mpps,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:38Z
N3K-C3464C,Bauform,19-Zoll-Rackmontage (2 HE),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:38Z
N3K-C3464C,Stromversorgung,"2× redundant; AC (1200 W), DC (930 W) oder HVAC/HVDC (1200 W)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:38Z
N3K-C3464C,Kühlung,"Hot-Swap-Lüftermodul (redundant, Airflow wählbar: Port-side Intake/Exhaust)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:38Z
N3K-C3464C,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:38Z
N3K-C3464C,Betriebstemperatur,0 bis 40 °C,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:38Z
N3K-C3464C,Anwendung,"Data-Center 100-Gigabit-Spine, programmierbar (Inband-Telemetrie) – 64× 100G-QSFP28; Layer 2/3, Line-Rate; NX-OS mit vPC und 32-Wege-ECMP; LAN-Enterprise-Lizenz N3K-LAN2K9 für OSPF/EIGRP/BGP; Inband Network Telemetry; Jumbo bis 9216",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,datasheet,2026-06-29T03:57:38Z
N3K-C3464C,N3K-C3464C,EoL,"Cisco 3464C (Nexus-3400-Generation) – EoL/EoS-Status und genaues Datum ZU_VERIFIZIEREN (Datenblatt c78-740836 nennt keines). In scope (EoL-Generation; Hexwaren führt ungebrauchte Original-Hardware), nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,2026-06-29T03:57:38Z
N3K-C3464C,N3K-C3464C,PID,Ordering-PID N3K-C3464C verbatim aus c78-740836 (nur Basis-Chassis-PID gebankt; PSUs/Lüfter/Lizenzen nicht gebankt; deckt sich mit Ciscos Standard-PID).,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,2026-06-29T03:57:38Z
N3K-C3464C,N3K-C3464C,Switching-Kapazität,"12,8 Tbit/s: Cisco-Angabe (c78-740836; 64× 100G × 2) übernommen, NICHT verdoppelt.",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,2026-06-29T03:57:38Z
N3K-C3464C,N3K-C3464C,Versandgewicht,"18,00 (geschätzt: Artikelgewicht 16,1 kg + Standard-Paketverpackung; 2 HE).",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-740836.html,2026-06-29T03:57:38Z
