Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
N3K-C36180YC-R,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
N3K-C36180YC-R,,Switch,Layer,L3,2,Wertliste,Attribut
N3K-C36180YC-R,,Switch,Portanzahl,54,3,Wertliste,Attribut
N3K-C36180YC-R,,Switch,Port-Konfiguration,48× 25G-SFP28 (1/10/25G) + 6× 100G-QSFP28 (MACsec-fähig),4,Wertliste,Attribut
N3K-C36180YC-R,,Switch,Port-Geschwindigkeit,"1/10/25 GbE (SFP28, Access), 100 GbE (QSFP28, Uplink)",5,Wertliste,Attribut
N3K-C36180YC-R,,Switch,Uplink-Ports,6× 100G-QSFP28,6,Wertliste,Attribut
N3K-C36180YC-R,,Switch,PoE,Nein,7,Wertliste,Attribut
N3K-C36180YC-R,,Switch,Switching-Kapazität,"1,8 Tbit/s",8,Wertliste,Attribut
N3K-C36180YC-R,,Switch,Durchsatz,1.670 Mpps,9,Wertliste,Attribut
N3K-C36180YC-R,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
N3K-C36180YC-R,,Switch,Stromversorgung,"2× redundant; AC, DC oder HV-AC/DC-Option (100–240 V)",11,Wertliste,Attribut
N3K-C36180YC-R,,Switch,Kühlung,"Hot-Swap-Lüftermodul (redundant, Airflow wählbar: Port-side Intake/Exhaust)",12,Wertliste,Attribut
N3K-C36180YC-R,,Switch,Stacking,Nein,13,Wertliste,Attribut
N3K-C36180YC-R,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
N3K-C36180YC-R,,Switch,Anwendung,"Data-Center 25-Gigabit-Aggregation/Leaf (R-Serie, Deep-Buffer) – 48× 25G-SFP28-Access plus 6× 100G-QSFP28-Uplinks (MACsec-fähig); Layer 2/3, Line-Rate; NX-OS mit vPC und 64-Wege-ECMP; LAN-Enterprise-Lizenz N3K-LAN1K9 für OSPF/EIGRP/BGP; Jumbo bis 9216",15,Wertliste,Attribut
