Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
N5K-C5672UP,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-5000-series-switches/datasheet-c78-730760.html,datasheet,2026-06-29T03:57:45Z
N5K-C5672UP,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-5000-series-switches/datasheet-c78-730760.html,datasheet,2026-06-29T03:57:45Z
N5K-C5672UP,Portanzahl,54,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-5000-series-switches/datasheet-c78-730760.html,datasheet,2026-06-29T03:57:45Z
N5K-C5672UP,Port-Konfiguration,48× 1/10G-SFP+ (16 Unified Ports: 10GbE/FCoE oder 8/4/2G FC) + 6× 40G-QSFP+,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-5000-series-switches/datasheet-c78-730760.html,datasheet,2026-06-29T03:57:45Z
N5K-C5672UP,Port-Geschwindigkeit,"1/10 GbE (SFP+, Access; 16 Unified Ports auch 8/4/2G FC), 40 GbE (QSFP+, Uplink)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-5000-series-switches/datasheet-c78-730760.html,datasheet,2026-06-29T03:57:45Z
N5K-C5672UP,Uplink-Ports,6× 40G-QSFP+,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-5000-series-switches/datasheet-c78-730760.html,datasheet,2026-06-29T03:57:45Z
N5K-C5672UP,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-5000-series-switches/datasheet-c78-730760.html,datasheet,2026-06-29T03:57:45Z
N5K-C5672UP,Switching-Kapazität,1440 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-5000-series-switches/datasheet-c78-730760.html,datasheet,2026-06-29T03:57:45Z
N5K-C5672UP,Durchsatz,1071 Mpps,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-5000-series-switches/datasheet-c78-730760.html,datasheet,2026-06-29T03:57:45Z
N5K-C5672UP,Bauform,19-Zoll-Rackmontage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-5000-series-switches/datasheet-c78-730760.html,datasheet,2026-06-29T03:57:45Z
N5K-C5672UP,Stromversorgung,2× redundant (1+1); AC (typ. 650 W / max. 1100 W),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-5000-series-switches/datasheet-c78-730760.html,datasheet,2026-06-29T03:57:45Z
N5K-C5672UP,Kühlung,Hot-Swap-Lüftermodul (redundant; Airflow wählbar: Port-side/Fan-side Intake),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-5000-series-switches/datasheet-c78-730760.html,datasheet,2026-06-29T03:57:45Z
N5K-C5672UP,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-5000-series-switches/datasheet-c78-730760.html,datasheet,2026-06-29T03:57:45Z
N5K-C5672UP,Betriebstemperatur,0 bis 40 °C,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-5000-series-switches/datasheet-c78-730760.html,datasheet,2026-06-29T03:57:45Z
N5K-C5672UP,Anwendung,"Data-Center Top-of-Rack mit LAN/SAN-Konvergenz – 48× 1/10G-SFP+ (16 Unified Ports: 10GbE/FCoE oder 8/4/2G FC) plus 6× 40G-QSFP+-Uplinks; VXLAN-Bridging/-Routing line-rate; FCoE; Layer 2/3; NX-OS mit vPC, 64-Wege-ECMP und bis 24 FEX; Jumbo bis 9216",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-5000-series-switches/datasheet-c78-730760.html,datasheet,2026-06-29T03:57:45Z
