Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
JG609A,,Switch,Modultyp,MPU/Route-Processor,19,Wertliste,Attribut
JG609A,,Switch,Kompatible Serie,HPE FlexFabric 11900 (11908-V),20,Wertliste,Attribut
JG610A,,Switch,Switching-Kapazität,"1,92 Tbit/s (Fabric-Modul)",8,Wertliste,Attribut
JG610A,,Switch,Modultyp,Fabric-Modul,19,Wertliste,Attribut
JG610A,,Switch,Kompatible Serie,"HPE FlexFabric 11900, Type D (11908-V)",20,Wertliste,Attribut
JG611A,,Switch,Portanzahl,32,3,Wertliste,Attribut
JG611A,,Switch,Port-Konfiguration,32× SFP+ (10GbE),4,Wertliste,Attribut
JG611A,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
JG611A,,Switch,Kompatible Serie,"HPE FlexFabric 11900, SF-Modul",20,Wertliste,Attribut
JG612A,,Switch,Portanzahl,48,3,Wertliste,Attribut
JG612A,,Switch,Port-Konfiguration,48× SFP+ (10GbE),4,Wertliste,Attribut
JG612A,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
JG612A,,Switch,Kompatible Serie,"HPE FlexFabric 11900, SF-Modul",20,Wertliste,Attribut
JG613A,,Switch,Portanzahl,4,3,Wertliste,Attribut
JG613A,,Switch,Port-Konfiguration,4× QSFP+ (40GbE),4,Wertliste,Attribut
JG613A,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
JG613A,,Switch,Kompatible Serie,"HPE FlexFabric 11900, SF-Modul",20,Wertliste,Attribut
JG614A,,Switch,Portanzahl,8,3,Wertliste,Attribut
JG614A,,Switch,Port-Konfiguration,8× QSFP+ (40GbE),4,Wertliste,Attribut
JG614A,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
JG614A,,Switch,Kompatible Serie,"HPE FlexFabric 11900, SF-Modul",20,Wertliste,Attribut
JG615A,,Switch,Portanzahl,24,3,Wertliste,Attribut
JG615A,,Switch,Port-Konfiguration,24× 1/10GBASE-T (RJ45),4,Wertliste,Attribut
JG615A,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
JG615A,,Switch,Kompatible Serie,"HPE FlexFabric 11900, SF-Modul",20,Wertliste,Attribut
JG918A,,Switch,Portanzahl,2,3,Wertliste,Attribut
JG918A,,Switch,Port-Konfiguration,2× CFP (100GbE),4,Wertliste,Attribut
JG918A,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
JG918A,,Switch,Kompatible Serie,"HPE FlexFabric 11900, SE-Modul",20,Wertliste,Attribut
