Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
JG609A,Modultyp,MPU/Route-Processor,https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG609A,Kompatible Serie,HPE FlexFabric 11900 (11908-V),https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG610A,Switching-Kapazität,"1,92 Tbit/s (Fabric-Modul)",https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG610A,Modultyp,Fabric-Modul,https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG610A,Kompatible Serie,"HPE FlexFabric 11900, Type D (11908-V)",https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG611A,Portanzahl,32,https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG611A,Port-Konfiguration,32× SFP+ (10GbE),https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG611A,Modultyp,Linecard,https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG611A,Kompatible Serie,"HPE FlexFabric 11900, SF-Modul",https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG612A,Portanzahl,48,https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG612A,Port-Konfiguration,48× SFP+ (10GbE),https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG612A,Modultyp,Linecard,https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG612A,Kompatible Serie,"HPE FlexFabric 11900, SF-Modul",https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG613A,Portanzahl,4,https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG613A,Port-Konfiguration,4× QSFP+ (40GbE),https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG613A,Modultyp,Linecard,https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG613A,Kompatible Serie,"HPE FlexFabric 11900, SF-Modul",https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG614A,Portanzahl,8,https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG614A,Port-Konfiguration,8× QSFP+ (40GbE),https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG614A,Modultyp,Linecard,https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG614A,Kompatible Serie,"HPE FlexFabric 11900, SF-Modul",https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG615A,Portanzahl,24,https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG615A,Port-Konfiguration,24× 1/10GBASE-T (RJ45),https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG615A,Modultyp,Linecard,https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG615A,Kompatible Serie,"HPE FlexFabric 11900, SF-Modul",https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG918A,Portanzahl,2,https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG918A,Port-Konfiguration,2× CFP (100GbE),https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG918A,Modultyp,Linecard,https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
JG918A,Kompatible Serie,"HPE FlexFabric 11900, SE-Modul",https://support.hpe.com/hpsc/doc/public/display?docId=emr_na-c03801956,datasheet,2026-07-02T05:10:04Z
