Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
JH346A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH668A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R9F17A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH669A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL844A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL845A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R9F18A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JG621A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH264A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH364A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL841A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R9F14A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH257A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH362A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL842A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R9F15A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH252A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH361A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH435A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JG622A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JG623A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH357A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH359A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH360A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH422A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH425A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH045A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JQ061A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL846A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL847A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL848A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R9F19A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R9F20A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH953A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH954A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH107A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JG855A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JG856A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JG624A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JG625A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JG626A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JG857A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JG858A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH241A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH242A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH007A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH005A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH006A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH249A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH250A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JG888B,,condition,Funktionsattribut,Wertliste,Deutsch,new
JG889B,,condition,Funktionsattribut,Wertliste,Deutsch,new
JH288A,,condition,Funktionsattribut,Wertliste,Deutsch,new
