Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
JH346A,,Switch,Modultyp,MPU/Route-Processor,19,Wertliste,Attribut
JH346A,,Switch,Kompatible Serie,HPE FlexFabric 12900E (12902E),20,Wertliste,Attribut
JH668A,,Switch,Modultyp,MPU/Route-Processor,19,Wertliste,Attribut
JH668A,,Switch,Kompatible Serie,HPE FlexFabric 12900E (12904E),20,Wertliste,Attribut
R9F17A,,Switch,Modultyp,MPU/Route-Processor,19,Wertliste,Attribut
R9F17A,,Switch,Kompatible Serie,"HPE FlexFabric 12900E, Type H2 (12904E)",20,Wertliste,Attribut
JH669A,,Switch,Modultyp,MPU/Route-Processor,19,Wertliste,Attribut
JH669A,,Switch,Kompatible Serie,HPE FlexFabric 12900E (12908E/12916E),20,Wertliste,Attribut
JL844A,,Switch,Modultyp,MPU/Route-Processor,19,Wertliste,Attribut
JL844A,,Switch,Kompatible Serie,"HPE FlexFabric 12900E, Type X (12904E)",20,Wertliste,Attribut
JL845A,,Switch,Modultyp,MPU/Route-Processor,19,Wertliste,Attribut
JL845A,,Switch,Kompatible Serie,"HPE FlexFabric 12900E, Type X (12908E/12916E)",20,Wertliste,Attribut
R9F18A,,Switch,Modultyp,MPU/Route-Processor,19,Wertliste,Attribut
R9F18A,,Switch,Kompatible Serie,"HPE FlexFabric 12900E, Type H2 (12908E/12916E)",20,Wertliste,Attribut
JG621A,,Switch,Modultyp,MPU/Route-Processor,19,Wertliste,Attribut
JG621A,,Switch,Kompatible Serie,"HPE FlexFabric 12910 (Legacy 12900, JG619A)",20,Wertliste,Attribut
JH264A,,Switch,Switching-Kapazität,"2,5 Tbit/s (Fabric-Modul)",8,Wertliste,Attribut
JH264A,,Switch,Modultyp,Fabric-Modul,19,Wertliste,Attribut
JH264A,,Switch,Kompatible Serie,"HPE FlexFabric 12900E, Type F (12904E)",20,Wertliste,Attribut
JH364A,,Switch,Switching-Kapazität,"7,2 Tbit/s (Fabric-Modul)",8,Wertliste,Attribut
JH364A,,Switch,Modultyp,Fabric-Modul,19,Wertliste,Attribut
