Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
JH346A;HPE FlexFabric 12902E Main Processing Unit (JH346A) – Modul für die modularen HPE-FlexFabric-12900E-Chassis, HPE Comware;<p>Der HPE FlexFabric 12902E Main Processing Unit (JH346A) ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis unter dem HPE-Comware-Betriebssystem. Er ergänzt die Serie HPE FlexFabric 12900E (12902E) und übernimmt Steuerung, Weiterleitung beziehungsweise Ausfallsicherheit im Chassis.</p><p>Der JH346A setzt ein kompatibles Chassis mit freiem Steckplatz voraus, ist kein eigenständiger Switch.</p>;"<p>Der HPE FlexFabric 12902E Main Processing Unit (JH346A) ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis und ist mit der Serie HPE FlexFabric 12900E (12902E) kompatibel. Als das Management-Modul (MPU/Route-Processor) übernimmt der JH346A Routing, Switching-Steuerung und Chassis-Management.</p><p>Der JH346A bildet die Steuerungs- und Management-Ebene des Chassis; für Hochverfügbarkeit lassen sich zwei gleiche MPUs aktiv/standby betreiben. Die Forwarding-Leistung liegt verteilt auf den Linecards.</p><p>Kompatibel ist der JH346A mit den modularen HPE-FlexFabric-12900E-Chassis; er dient Erweiterung, Redundanz und Ersatz in bestehenden Installationen und ist kein eigenständiger Switch. Vor dem Einsatz empfiehlt sich der Abgleich von Chassis-Steckplatz, Comware-Version und Modul-Generation, um den JH346A ohne Nacharbeit in Betrieb zu nehmen. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jh346a;2,50;4,50;JH346A;HP;standard;Stk;HPE 12902E Main Processing Unit JH346A | Hexwaren;Original HPE FlexFabric 12902E Main Processing Unit (JH346A): das Management-Modul (MPU/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis unter HPE Comware. Modul – Chassis separat.;Netzwerk & Infrastruktur;Switches;HPE FlexFabric 12900E Modules;TRUE;Y;Y
JH668A;HPE FlexFabric 12904E v2 Main Processing Unit (JH668A) – Modul für die modularen HPE-FlexFabric-12900E-Chassis, HPE Comware;<p>Der HPE FlexFabric 12904E v2 Main Processing Unit (JH668A) ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis unter dem HPE-Comware-Betriebssystem. Er ergänzt die Serie HPE FlexFabric 12900E (12904E) und übernimmt Steuerung, Weiterleitung beziehungsweise Ausfallsicherheit im Chassis.</p><p>Der JH668A setzt ein kompatibles Chassis mit freiem Steckplatz voraus, ist kein eigenständiger Switch.</p>;"<p>Der HPE FlexFabric 12904E v2 Main Processing Unit (JH668A) ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis und ist mit der Serie HPE FlexFabric 12900E (12904E) kompatibel. Als das Management-Modul (MPU/Route-Processor) übernimmt der JH668A Routing, Switching-Steuerung und Chassis-Management.</p><p>Der JH668A bildet die Steuerungs- und Management-Ebene des Chassis; für Hochverfügbarkeit lassen sich zwei gleiche MPUs aktiv/standby betreiben. Die Forwarding-Leistung liegt verteilt auf den Linecards.</p><p>Kompatibel ist der JH668A mit den modularen HPE-FlexFabric-12900E-Chassis; er dient Erweiterung, Redundanz und Ersatz in bestehenden Installationen und ist kein eigenständiger Switch. Vor dem Einsatz empfiehlt sich der Abgleich von Chassis-Steckplatz, Comware-Version und Modul-Generation, um den JH668A ohne Nacharbeit in Betrieb zu nehmen. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jh668a;2,50;4,50;JH668A;HP;standard;Stk;HPE 12904E v2 Main Processing Unit JH668A | Hexwaren;Original HPE FlexFabric 12904E v2 Main Processing Unit (JH668A): das Management-Modul (MPU/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis unter HPE Comware. Modul – Chassis separat.;Netzwerk & Infrastruktur;Switches;HPE FlexFabric 12900E Modules;TRUE;Y;Y
R9F17A;HPE Networking 12904E Type H2 Main Processing Unit (R9F17A) – Modul für die modularen HPE-FlexFabric-12900E-Chassis, HPE Comware;<p>Der HPE Networking 12904E Type H2 Main Processing Unit (R9F17A) ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis unter dem HPE-Comware-Betriebssystem. Er ergänzt die Serie HPE FlexFabric 12900E, Type H2 (12904E) und übernimmt Steuerung, Weiterleitung beziehungsweise Ausfallsicherheit im Chassis.</p><p>Der R9F17A setzt ein kompatibles Chassis mit freiem Steckplatz voraus, ist kein eigenständiger Switch.</p>;"<p>Der HPE Networking 12904E Type H2 Main Processing Unit (R9F17A) ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis und ist mit der Serie HPE FlexFabric 12900E, Type H2 (12904E) kompatibel. Als das Management-Modul (MPU/Route-Processor) übernimmt der R9F17A Routing, Switching-Steuerung und Chassis-Management.</p><p>Der R9F17A bildet die Steuerungs- und Management-Ebene des Chassis; für Hochverfügbarkeit lassen sich zwei gleiche MPUs aktiv/standby betreiben. Die Forwarding-Leistung liegt verteilt auf den Linecards.</p><p>Kompatibel ist der R9F17A mit den modularen HPE-FlexFabric-12900E-Chassis; er dient Erweiterung, Redundanz und Ersatz in bestehenden Installationen und ist kein eigenständiger Switch. Vor dem Einsatz empfiehlt sich der Abgleich von Chassis-Steckplatz, Comware-Version und Modul-Generation, um den R9F17A ohne Nacharbeit in Betrieb zu nehmen. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/r9f17a;2,60;4,60;R9F17A;HP;standard;Stk;HPE 12904E Type H2 Main Processing Unit R9F17A | Hexwaren;Original HPE Networking 12904E Type H2 Main Processing Unit (R9F17A): das Management-Modul (MPU/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis unter HPE Comware. Modul – Chassis sepa;Netzwerk & Infrastruktur;Switches;HPE FlexFabric 12900E Modules;TRUE;Y;Y
JH669A;HPE FlexFabric 12900E v2 Main Processing Unit (JH669A) – Modul für die modularen HPE-FlexFabric-12900E-Chassis, HPE Comware;<p>Der HPE FlexFabric 12900E v2 Main Processing Unit (JH669A) ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis unter dem HPE-Comware-Betriebssystem. Er ergänzt die Serie HPE FlexFabric 12900E (12908E/12916E) und übernimmt Steuerung, Weiterleitung beziehungsweise Ausfallsicherheit im Chassis.</p><p>Der JH669A setzt ein kompatibles Chassis mit freiem Steckplatz voraus, ist kein eigenständiger Switch.</p>;"<p>Der HPE FlexFabric 12900E v2 Main Processing Unit (JH669A) ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis und ist mit der Serie HPE FlexFabric 12900E (12908E/12916E) kompatibel. Als das Management-Modul (MPU/Route-Processor) übernimmt der JH669A Routing, Switching-Steuerung und Chassis-Management.</p><p>Der JH669A bildet die Steuerungs- und Management-Ebene des Chassis; für Hochverfügbarkeit lassen sich zwei gleiche MPUs aktiv/standby betreiben. Die Forwarding-Leistung liegt verteilt auf den Linecards.</p><p>Kompatibel ist der JH669A mit den modularen HPE-FlexFabric-12900E-Chassis; er dient Erweiterung, Redundanz und Ersatz in bestehenden Installationen und ist kein eigenständiger Switch. Vor dem Einsatz empfiehlt sich der Abgleich von Chassis-Steckplatz, Comware-Version und Modul-Generation, um den JH669A ohne Nacharbeit in Betrieb zu nehmen. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jh669a;2,50;4,50;JH669A;HP;standard;Stk;HPE 12900E v2 Main Processing Unit JH669A | Hexwaren;Original HPE FlexFabric 12900E v2 Main Processing Unit (JH669A): das Management-Modul (MPU/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis unter HPE Comware. Modul – Chassis separat.;Netzwerk & Infrastruktur;Switches;HPE FlexFabric 12900E Modules;TRUE;Y;Y
JL844A;HPE Networking 12904E Type X Main Processing Unit (JL844A) – Modul für die modularen HPE-FlexFabric-12900E-Chassis, HPE Comware;<p>Der HPE Networking 12904E Type X Main Processing Unit (JL844A) ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis unter dem HPE-Comware-Betriebssystem. Er ergänzt die Serie HPE FlexFabric 12900E, Type X (12904E) und übernimmt Steuerung, Weiterleitung beziehungsweise Ausfallsicherheit im Chassis.</p><p>Der JL844A setzt ein kompatibles Chassis mit freiem Steckplatz voraus, ist kein eigenständiger Switch.</p>;"<p>Der HPE Networking 12904E Type X Main Processing Unit (JL844A) ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis und ist mit der Serie HPE FlexFabric 12900E, Type X (12904E) kompatibel. Als das Management-Modul (MPU/Route-Processor) übernimmt der JL844A Routing, Switching-Steuerung und Chassis-Management.</p><p>Der JL844A bildet die Steuerungs- und Management-Ebene des Chassis; für Hochverfügbarkeit lassen sich zwei gleiche MPUs aktiv/standby betreiben. Die Forwarding-Leistung liegt verteilt auf den Linecards.</p><p>Kompatibel ist der JL844A mit den modularen HPE-FlexFabric-12900E-Chassis; er dient Erweiterung, Redundanz und Ersatz in bestehenden Installationen und ist kein eigenständiger Switch. Vor dem Einsatz empfiehlt sich der Abgleich von Chassis-Steckplatz, Comware-Version und Modul-Generation, um den JL844A ohne Nacharbeit in Betrieb zu nehmen. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl844a;2,60;4,60;JL844A;HP;standard;Stk;HPE 12904E Type X Main Processing Unit JL844A | Hexwaren;Original HPE Networking 12904E Type X Main Processing Unit (JL844A): das Management-Modul (MPU/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis unter HPE Comware. Modul – Chassis separ;Netzwerk & Infrastruktur;Switches;HPE FlexFabric 12900E Modules;TRUE;Y;Y
JL845A;HPE Networking 12900E Type X Main Processing Unit (JL845A) – Modul für die modularen HPE-FlexFabric-12900E-Chassis, HPE Comware;<p>Der HPE Networking 12900E Type X Main Processing Unit (JL845A) ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis unter dem HPE-Comware-Betriebssystem. Er ergänzt die Serie HPE FlexFabric 12900E, Type X (12908E/12916E) und übernimmt Steuerung, Weiterleitung beziehungsweise Ausfallsicherheit im Chassis.</p><p>Der JL845A setzt ein kompatibles Chassis mit freiem Steckplatz voraus, ist kein eigenständiger Switch.</p>;"<p>Der HPE Networking 12900E Type X Main Processing Unit (JL845A) ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis und ist mit der Serie HPE FlexFabric 12900E, Type X (12908E/12916E) kompatibel. Als das Management-Modul (MPU/Route-Processor) übernimmt der JL845A Routing, Switching-Steuerung und Chassis-Management.</p><p>Der JL845A bildet die Steuerungs- und Management-Ebene des Chassis; für Hochverfügbarkeit lassen sich zwei gleiche MPUs aktiv/standby betreiben. Die Forwarding-Leistung liegt verteilt auf den Linecards.</p><p>Kompatibel ist der JL845A mit den modularen HPE-FlexFabric-12900E-Chassis; er dient Erweiterung, Redundanz und Ersatz in bestehenden Installationen und ist kein eigenständiger Switch. Vor dem Einsatz empfiehlt sich der Abgleich von Chassis-Steckplatz, Comware-Version und Modul-Generation, um den JL845A ohne Nacharbeit in Betrieb zu nehmen. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl845a;2,60;4,60;JL845A;HP;standard;Stk;HPE 12900E Type X Main Processing Unit JL845A | Hexwaren;Original HPE Networking 12900E Type X Main Processing Unit (JL845A): das Management-Modul (MPU/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis unter HPE Comware. Modul – Chassis separ;Netzwerk & Infrastruktur;Switches;HPE FlexFabric 12900E Modules;TRUE;Y;Y
R9F18A;HPE Networking 12900E Type H2 Main Processing Unit (R9F18A) – Modul für die modularen HPE-FlexFabric-12900E-Chassis, HPE Comware;<p>Der HPE Networking 12900E Type H2 Main Processing Unit (R9F18A) ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis unter dem HPE-Comware-Betriebssystem. Er ergänzt die Serie HPE FlexFabric 12900E, Type H2 (12908E/12916E) und übernimmt Steuerung, Weiterleitung beziehungsweise Ausfallsicherheit im Chassis.</p><p>Der R9F18A setzt ein kompatibles Chassis mit freiem Steckplatz voraus, ist kein eigenständiger Switch.</p>;"<p>Der HPE Networking 12900E Type H2 Main Processing Unit (R9F18A) ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis und ist mit der Serie HPE FlexFabric 12900E, Type H2 (12908E/12916E) kompatibel. Als das Management-Modul (MPU/Route-Processor) übernimmt der R9F18A Routing, Switching-Steuerung und Chassis-Management.</p><p>Der R9F18A bildet die Steuerungs- und Management-Ebene des Chassis; für Hochverfügbarkeit lassen sich zwei gleiche MPUs aktiv/standby betreiben. Die Forwarding-Leistung liegt verteilt auf den Linecards.</p><p>Kompatibel ist der R9F18A mit den modularen HPE-FlexFabric-12900E-Chassis; er dient Erweiterung, Redundanz und Ersatz in bestehenden Installationen und ist kein eigenständiger Switch. Vor dem Einsatz empfiehlt sich der Abgleich von Chassis-Steckplatz, Comware-Version und Modul-Generation, um den R9F18A ohne Nacharbeit in Betrieb zu nehmen. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/r9f18a;2,60;4,60;R9F18A;HP;standard;Stk;HPE 12900E Type H2 Main Processing Unit R9F18A | Hexwaren;Original HPE Networking 12900E Type H2 Main Processing Unit (R9F18A): das Management-Modul (MPU/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis unter HPE Comware. Modul – Chassis sepa;Netzwerk & Infrastruktur;Switches;HPE FlexFabric 12900E Modules;TRUE;Y;Y
JG621A;HPE FlexFabric 12910 Main Processing Unit (JG621A) – Modul für die modularen HPE-FlexFabric-12900E-Chassis, HPE Comware;<p>Der HPE FlexFabric 12910 Main Processing Unit (JG621A) ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis unter dem HPE-Comware-Betriebssystem. Er ergänzt die Serie HPE FlexFabric 12910 (Legacy 12900, JG619A) und übernimmt Steuerung, Weiterleitung beziehungsweise Ausfallsicherheit im Chassis.</p><p>Der JG621A setzt ein kompatibles Chassis mit freiem Steckplatz voraus, ist kein eigenständiger Switch.</p>;"<p>Der HPE FlexFabric 12910 Main Processing Unit (JG621A) ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis und ist mit der Serie HPE FlexFabric 12910 (Legacy 12900, JG619A) kompatibel. Als das Management-Modul (MPU/Route-Processor) übernimmt der JG621A Routing, Switching-Steuerung und Chassis-Management.</p><p>Der JG621A bildet die Steuerungs- und Management-Ebene des Chassis; für Hochverfügbarkeit lassen sich zwei gleiche MPUs aktiv/standby betreiben. Die Forwarding-Leistung liegt verteilt auf den Linecards.</p><p>Kompatibel ist der JG621A mit den modularen HPE-FlexFabric-12900E-Chassis; er dient Erweiterung, Redundanz und Ersatz in bestehenden Installationen und ist kein eigenständiger Switch. Vor dem Einsatz empfiehlt sich der Abgleich von Chassis-Steckplatz, Comware-Version und Modul-Generation, um den JG621A ohne Nacharbeit in Betrieb zu nehmen. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jg621a;2,50;4,50;JG621A;HP;standard;Stk;HPE 12910 Main Processing Unit JG621A | Hexwaren;Original HPE FlexFabric 12910 Main Processing Unit (JG621A): das Management-Modul (MPU/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis unter HPE Comware. Modul – Chassis separat.;Netzwerk & Infrastruktur;Switches;HPE FlexFabric 12900E Modules;TRUE;Y;Y
JH264A;HPE FlexFabric 12904E 2.5Tbps Type F Fabric Module (JH264A) – Modul für die modularen HPE-FlexFabric-12900E-Chassis, HPE Comware;<p>Der HPE FlexFabric 12904E 2.5Tbps Type F Fabric Module (JH264A) ist das Switch-Fabric-Modul für die modularen HPE-FlexFabric-12900E-Chassis unter dem HPE-Comware-Betriebssystem. Er ergänzt die Serie HPE FlexFabric 12900E, Type F (12904E) und übernimmt Steuerung, Weiterleitung beziehungsweise Ausfallsicherheit im Chassis.</p><p>Der JH264A setzt ein kompatibles Chassis mit freiem Steckplatz voraus, ist kein eigenständiger Switch.</p>;"<p>Der HPE FlexFabric 12904E 2.5Tbps Type F Fabric Module (JH264A) ist das Switch-Fabric-Modul für die modularen HPE-FlexFabric-12900E-Chassis und ist mit der Serie HPE FlexFabric 12900E, Type F (12904E) kompatibel. Als das Fabric-Modul übernimmt der JH264A die verteilte Weiterleitung zwischen den Linecards.</p><p>Der JH264A liefert eine Fabric-Kapazität von 2,5 Tbit/s (Fabric-Modul) und lässt sich für Ausfallsicherheit redundant mit weiteren Fabric-Modulen derselben Generation betreiben.</p><p>Kompatibel ist der JH264A mit den modularen HPE-FlexFabric-12900E-Chassis; er dient Erweiterung, Redundanz und Ersatz in bestehenden Installationen und ist kein eigenständiger Switch. Vor dem Einsatz empfiehlt sich der Abgleich von Chassis-Steckplatz, Comware-Version und Modul-Generation, um den JH264A ohne Nacharbeit in Betrieb zu nehmen. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jh264a;3,00;5,00;JH264A;HP;standard;Stk;HPE 12904E 2.5Tbps Type F Fabric JH264A | Hexwaren;Original HPE FlexFabric 12904E 2. 5Tbps Type F Fabric Module (JH264A): das Fabric-Modul für die modularen HPE-FlexFabric-12900E-Chassis unter HPE Comware. Modul – Chassis separat.;Netzwerk & Infrastruktur;Switches;HPE FlexFabric 12900E Modules;TRUE;Y;Y
JH364A;HPE FlexFabric 12904E 7.2Tbps Type H Fabric Module (JH364A) – Modul für die modularen HPE-FlexFabric-12900E-Chassis, HPE Comware;<p>Der HPE FlexFabric 12904E 7.2Tbps Type H Fabric Module (JH364A) ist das Switch-Fabric-Modul für die modularen HPE-FlexFabric-12900E-Chassis unter dem HPE-Comware-Betriebssystem. Er ergänzt die Serie HPE FlexFabric 12900E, Type H (12904E) und übernimmt Steuerung, Weiterleitung beziehungsweise Ausfallsicherheit im Chassis.</p><p>Der JH364A setzt ein kompatibles Chassis mit freiem Steckplatz voraus, ist kein eigenständiger Switch.</p>;"<p>Der HPE FlexFabric 12904E 7.2Tbps Type H Fabric Module (JH364A) ist das Switch-Fabric-Modul für die modularen HPE-FlexFabric-12900E-Chassis und ist mit der Serie HPE FlexFabric 12900E, Type H (12904E) kompatibel. Als das Fabric-Modul übernimmt der JH364A die verteilte Weiterleitung zwischen den Linecards.</p><p>Der JH364A liefert eine Fabric-Kapazität von 7,2 Tbit/s (Fabric-Modul) und lässt sich für Ausfallsicherheit redundant mit weiteren Fabric-Modulen derselben Generation betreiben.</p><p>Kompatibel ist der JH364A mit den modularen HPE-FlexFabric-12900E-Chassis; er dient Erweiterung, Redundanz und Ersatz in bestehenden Installationen und ist kein eigenständiger Switch. Vor dem Einsatz empfiehlt sich der Abgleich von Chassis-Steckplatz, Comware-Version und Modul-Generation, um den JH364A ohne Nacharbeit in Betrieb zu nehmen. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jh364a;3,00;5,00;JH364A;HP;standard;Stk;HPE 12904E 7.2Tbps Type H Fabric JH364A | Hexwaren;Original HPE FlexFabric 12904E 7. 2Tbps Type H Fabric Module (JH364A): das Fabric-Modul für die modularen HPE-FlexFabric-12900E-Chassis unter HPE Comware. Modul – Chassis separat.;Netzwerk & Infrastruktur;Switches;HPE FlexFabric 12900E Modules;TRUE;Y;Y
