Artikelnummer;Netto-VK
JH346A;6150,00
JH668A;9030,00
R9F17A;15120,00
JH669A;9560,00
JL844A;14030,00
JL845A;14560,00
R9F18A;16150,00
JG621A;6000,00
JH264A;8120,00
JH364A;14150,00
JL841A;18270,00
R9F14A;20030,00
JH257A;12180,00
JH362A;22090,00
JL842A;24300,00
R9F15A;26060,00
JH252A;18030,00
JH361A;28060,00
JH435A;40120,00
JG622A;6030,00
JG623A;7060,00
JH357A;16210,00
JH359A;12270,00
JH360A;13030,00
JH422A;18000,00
JH425A;18590,00
JH045A;9030,00
JQ061A;10240,00
JL846A;12090,00
JL847A;13120,00
JL848A;18150,00
R9F19A;34180,00
R9F20A;28270,00
JH953A;13270,00
JH954A;16300,00
JH107A;1500,00
JG855A;6270,00
JG856A;6300,00
JG624A;7090,00
JG625A;7620,00
JG626A;8150,00
JG857A;7000,00
JG858A;12030,00
JH241A;6300,00
JH242A;6000,00
JH007A;8300,00
JH005A;7240,00
JH006A;14270,00
JH249A;8710,00
JH250A;9300,00
JG888B;8150,00
JG889B;9180,00
JH288A;14300,00
