Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
JH346A,Modultyp,MPU/Route-Processor,https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
JH346A,Kompatible Serie,HPE FlexFabric 12900E (12902E),https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
JH668A,Modultyp,MPU/Route-Processor,https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
JH668A,Kompatible Serie,HPE FlexFabric 12900E (12904E),https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
R9F17A,Modultyp,MPU/Route-Processor,https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
R9F17A,Kompatible Serie,"HPE FlexFabric 12900E, Type H2 (12904E)",https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
JH669A,Modultyp,MPU/Route-Processor,https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
JH669A,Kompatible Serie,HPE FlexFabric 12900E (12908E/12916E),https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
JL844A,Modultyp,MPU/Route-Processor,https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
JL844A,Kompatible Serie,"HPE FlexFabric 12900E, Type X (12904E)",https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
JL845A,Modultyp,MPU/Route-Processor,https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
JL845A,Kompatible Serie,"HPE FlexFabric 12900E, Type X (12908E/12916E)",https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
R9F18A,Modultyp,MPU/Route-Processor,https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
R9F18A,Kompatible Serie,"HPE FlexFabric 12900E, Type H2 (12908E/12916E)",https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
JG621A,Modultyp,MPU/Route-Processor,https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
JG621A,Kompatible Serie,"HPE FlexFabric 12910 (Legacy 12900, JG619A)",https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
JH264A,Switching-Kapazität,"2,5 Tbit/s (Fabric-Modul)",https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
JH264A,Modultyp,Fabric-Modul,https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
JH264A,Kompatible Serie,"HPE FlexFabric 12900E, Type F (12904E)",https://www.hpe.com/psnow/doc/c04111378,datasheet,2026-07-02T05:10:03Z
