Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
JH951A,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
JH951A,,Switch,Layer,L3,2,Wertliste,Attribut
JH951A,,Switch,Switching-Kapazität,"9,6 Tbit/s (System-Switching-Kapazität; 5,76 Bpps Durchsatz)",8,Wertliste,Attribut
JH951A,,Switch,Bauform,19-Zoll-Rackmontage (2 HE),10,Wertliste,Attribut
JH951A,,Switch,Stromversorgung,"2 Netzteilschächte für 2400-W-AC- bzw. -48…-60-V-DC-Netzteile (mindestens 1, redundant lastverteilt; separat bestellt)",11,Wertliste,Attribut
JH951A,,Switch,Kühlung,3 Hot-Swap-Lüftertrays (Airflow front-to-back; separat bestellt) (mindestens 2),12,Wertliste,Attribut
JH951A,,Switch,Anwendung,"Kompaktes Rechenzentrums-Spine-/Core-Chassis (modularer Layer-3-Switch, HPE Comware v7) mit integrierter Fabric",15,Wertliste,Attribut
JH951A,,Switch,Steckplätze,1 I/O-Steckplatz (Switch-Fabric und MPU integriert),16,Wertliste,Attribut
JH951A,,Switch,Unterstützte Supervisor-Engines,integrierte MPU (kein separates Management-Modul),17,Wertliste,Attribut
JH951A,,Switch,Redundanz,Netzteil- und Lüfter-Redundanz (Fabric und MPU integriert),18,Wertliste,Attribut
JH345A,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
JH345A,,Switch,Layer,L3,2,Wertliste,Attribut
JH345A,,Switch,Switching-Kapazität,"19,2 Tbit/s (System-Switching-Kapazität; 11,52 Bpps Durchsatz)",8,Wertliste,Attribut
JH345A,,Switch,Bauform,19-Zoll-Rackmontage (3 HE),10,Wertliste,Attribut
JH345A,,Switch,Stromversorgung,"4 Netzteilschächte für 1800-W-AC- bzw. -48…-60-V-DC-Netzteile (mindestens 1, redundant lastverteilt; separat bestellt)",11,Wertliste,Attribut
JH345A,,Switch,Kühlung,2 Hot-Swap-Lüftertrays (Airflow front-to-back; separat bestellt),12,Wertliste,Attribut
JH345A,,Switch,Anwendung,"Rechenzentrums-Spine/Core (modularer Layer-3-Switch, HPE Comware v7)",15,Wertliste,Attribut
JH345A,,Switch,Steckplätze,2 I/O-Steckplätze + 2 integrierte Fabric-Module + 2 MPU-Steckplätze,16,Wertliste,Attribut
JH345A,,Switch,Unterstützte Supervisor-Engines,"HPE FlexFabric 12902E Main Processing Unit (JH346A), 2 Steckplätze aktiv/standby",17,Wertliste,Attribut
JH345A,,Switch,Redundanz,"Dual-MPU (1+1), integrierte Fabric, Netzteil- und Lüfter-Redundanz",18,Wertliste,Attribut
JH262A,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
JH262A,,Switch,Layer,L3,2,Wertliste,Attribut
JH262A,,Switch,Switching-Kapazität,"76,8 Tbit/s (System-Switching-Kapazität; 16 Bpps Durchsatz, mit H2-Fabric)",8,Wertliste,Attribut
JH262A,,Switch,Bauform,19-Zoll-Rackmontage (6 HE),10,Wertliste,Attribut
JH262A,,Switch,Stromversorgung,"4 Netzteilschächte für 2400-W-AC- bzw. -48…-60-V-DC-Netzteile (mindestens 1, redundant lastverteilt; separat bestellt)",11,Wertliste,Attribut
JH262A,,Switch,Kühlung,2 Hot-Swap-Lüftertrays (Airflow front-to-back; separat bestellt) (Type-H-Fabric erfordert 2 High-Speed-Lüftertrays JH448A),12,Wertliste,Attribut
JH262A,,Switch,Anwendung,"Rechenzentrums-Spine/Core (modularer Layer-3-Switch, HPE Comware v7)",15,Wertliste,Attribut
JH262A,,Switch,Steckplätze,4 I/O + 6 Switch-Fabric + 2 MPU-Steckplätze,16,Wertliste,Attribut
JH262A,,Switch,Unterstützte Supervisor-Engines,"HPE FlexFabric 12904E v2 Main Processing Unit (JH668A), 2 Steckplätze; Type-X (JL844A) bzw. Type-H2 (R9F17A) herstellerseitig zu prüfen",17,Wertliste,Attribut
JH262A,,Switch,Redundanz,"Dual-MPU (1+1), N+1-Fabric (6 Steckplätze), Netzteil- und Lüfter-Redundanz",18,Wertliste,Attribut
JH255A,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
JH255A,,Switch,Layer,L3,2,Wertliste,Attribut
JH255A,,Switch,Switching-Kapazität,"152 Tbit/s (System-Switching-Kapazität; 32 Bpps Durchsatz, mit H2-Fabric)",8,Wertliste,Attribut
JH255A,,Switch,Bauform,19-Zoll-Rackmontage (12 HE),10,Wertliste,Attribut
JH255A,,Switch,Stromversorgung,"8 Netzteilschächte für 2400-W-AC- bzw. -48…-60-V-DC-Netzteile (mindestens 1, redundant lastverteilt; separat bestellt)",11,Wertliste,Attribut
JH255A,,Switch,Kühlung,2 Hot-Swap-Lüftertrays (Airflow front-to-back; separat bestellt) (Type-H-Fabric erfordert 2 High-Speed-Lüftertrays JH424A),12,Wertliste,Attribut
JH255A,,Switch,Anwendung,"Rechenzentrums-Spine/Core (modularer Layer-3-Switch, HPE Comware v7)",15,Wertliste,Attribut
JH255A,,Switch,Steckplätze,8 I/O + 6 Switch-Fabric + 2 MPU-Steckplätze,16,Wertliste,Attribut
