Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
JC772A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JC772A,Layer,L3,https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JC772A,Portanzahl,52,https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JC772A,Port-Konfiguration,48× 1/10G SFP+ + 4× 40G QSFP+ (Uplink),https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JC772A,Port-Geschwindigkeit,"1/10 GbE (SFP+), 40 GbE (QSFP+)",https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JC772A,Uplink-Ports,4× 40G QSFP+,https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JC772A,PoE,Nein,https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JC772A,Switching-Kapazität,"1,28 Tbit/s",https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JC772A,Durchsatz,952 Mpps,https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JC772A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JC772A,Stromversorgung,"2 Hot-Swap-Netzteilschächte (mindestens 1 Netzteil erforderlich, redundant erweiterbar; AC oder DC)",https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JC772A,Kühlung,"Lüftergekühlt (Hot-Swap-Lüftertrays, Airflow front-to-back oder back-to-front wählbar)",https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JC772A,Stacking,IRF (Intelligent Resilient Framework) – Stapelung von bis zu 9 Einheiten zu einem logischen Switch,https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JC772A,Betriebstemperatur,0 bis 45 °C,https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JC772A,Anwendung,"Rechenzentrums-Top-of-Rack/-Leaf (Layer 3, HPE Comware) mit 10/40-GbE-Ports, FCoE/DCB, TRILL und IRF-Stacking",https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JG336A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JG336A,Layer,L3,https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JG336A,Portanzahl,52,https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JG336A,Port-Konfiguration,48× 1/10GBASE-T (RJ45) + 4× 40G QSFP+ (Uplink),https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JG336A,Port-Geschwindigkeit,"1/10 GbE (10GBASE-T, RJ45), 40 GbE (QSFP+)",https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JG336A,Uplink-Ports,4× 40G QSFP+,https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JG336A,PoE,Nein,https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JG336A,Switching-Kapazität,"1,28 Tbit/s",https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JG336A,Durchsatz,952 Mpps,https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
JG336A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/c04111469,datasheet,2026-07-01T23:22:11Z
