Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
JG682A,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
JG682A,,Switch,Layer,L3,2,Wertliste,Attribut
JG682A,,Switch,Switching-Kapazität,"3,8 Tbit/s (System-Switching-Kapazität)",8,Wertliste,Attribut
JG682A,,Switch,Bauform,19-Zoll-Rackmontage (2 HE),10,Wertliste,Attribut
JG682A,,Switch,Stromversorgung,2 PSR1800-56A-AC-Netzteile (N+1-Redundanz),11,Wertliste,Attribut
JG682A,,Switch,Kühlung,2 Hot-Swap-Lüftertrays (Airflow front-to-back bzw. back-to-front je Variante; separat bestellt),12,Wertliste,Attribut
JG682A,,Switch,Anwendung,"Kompaktes Rechenzentrums-Top-of-Rack/-End-of-Row-Chassis (modularer Layer-3-Switch, HPE Comware v7)",15,Wertliste,Attribut
JG682A,,Switch,Steckplätze,4 I/O-Steckplätze (Switch-Fabric und MPU im festen Management-Modul integriert),16,Wertliste,Attribut
JG682A,,Switch,Unterstützte Supervisor-Engines,"festes/integriertes Management-Modul (MIPS64-Dual-Core), nicht als separates Modul bestellbar",17,Wertliste,Attribut
JG682A,,Switch,Redundanz,Netzteil- (N+1) und Lüfter-Redundanz; festes MPU/Fabric nicht redundant,18,Wertliste,Attribut
JG841A,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
JG841A,,Switch,Layer,L3,2,Wertliste,Attribut
JG841A,,Switch,Switching-Kapazität,"9,6 Tbit/s (System-Switching-Kapazität)",8,Wertliste,Attribut
JG841A,,Switch,Bauform,19-Zoll-Rackmontage (5 HE),10,Wertliste,Attribut
JG841A,,Switch,Stromversorgung,"4 Netzteile (AC, N+1-Redundanz)",11,Wertliste,Attribut
JG841A,,Switch,Kühlung,2 Hot-Swap-Lüftertrays (Airflow front-to-back bzw. back-to-front je Variante; separat bestellt),12,Wertliste,Attribut
JG841A,,Switch,Anwendung,"Rechenzentrums-Top-of-Rack/-End-of-Row-Chassis (modularer Layer-3-Switch, HPE Comware v7)",15,Wertliste,Attribut
JG841A,,Switch,Steckplätze,10 I/O-Steckplätze + 2 Fabric/MPU-Kombi-Steckplätze,16,Wertliste,Attribut
JG841A,,Switch,Unterstützte Supervisor-Engines,"HPE FlexFabric 7910 7.2Tbps bzw. 2.4Tbps Fabric/Main Processing Unit (JG842A oder JH001A, kombiniertes Fabric/MPU-Modul), 2 Steckplätze aktiv/standby",17,Wertliste,Attribut
JG841A,,Switch,Redundanz,"Dual-Fabric/MPU (aktiv/standby), Netzteil- (N+1) und 2-fach-Lüfter-Redundanz",18,Wertliste,Attribut
JH122A,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
JH122A,,Switch,Layer,L3,2,Wertliste,Attribut
JH122A,,Switch,Switching-Kapazität,"3,8 Tbit/s (System-Switching-Kapazität)",8,Wertliste,Attribut
JH122A,,Switch,Bauform,19-Zoll-Rackmontage (2 HE),10,Wertliste,Attribut
JH122A,,Switch,Stromversorgung,2 PSR1800-56A-AC-Netzteile (N+1-Redundanz),11,Wertliste,Attribut
JH122A,,Switch,Kühlung,2 Hot-Swap-Lüftertrays (Airflow front-to-back bzw. back-to-front je Variante; separat bestellt),12,Wertliste,Attribut
JH122A,,Switch,Anwendung,"Kompaktes Rechenzentrums-Chassis (modularer Layer-3-Switch, HPE Comware v7), TAA-konform",15,Wertliste,Attribut
JH122A,,Switch,Steckplätze,4 I/O-Steckplätze (Switch-Fabric und MPU im festen Management-Modul integriert),16,Wertliste,Attribut
JH122A,,Switch,Unterstützte Supervisor-Engines,"festes/integriertes Management-Modul (MIPS64-Dual-Core), nicht als separates Modul bestellbar",17,Wertliste,Attribut
JH122A,,Switch,Redundanz,Netzteil- (N+1) und Lüfter-Redundanz; festes MPU/Fabric nicht redundant,18,Wertliste,Attribut
JH123A,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
JH123A,,Switch,Layer,L3,2,Wertliste,Attribut
JH123A,,Switch,Switching-Kapazität,"9,6 Tbit/s (System-Switching-Kapazität)",8,Wertliste,Attribut
JH123A,,Switch,Bauform,19-Zoll-Rackmontage (5 HE),10,Wertliste,Attribut
JH123A,,Switch,Stromversorgung,"4 Netzteile (AC, N+1-Redundanz)",11,Wertliste,Attribut
JH123A,,Switch,Kühlung,2 Hot-Swap-Lüftertrays (Airflow front-to-back bzw. back-to-front je Variante; separat bestellt),12,Wertliste,Attribut
JH123A,,Switch,Anwendung,"Rechenzentrums-Chassis (modularer Layer-3-Switch, HPE Comware v7), TAA-konform",15,Wertliste,Attribut
JH123A,,Switch,Steckplätze,10 I/O-Steckplätze + 2 Fabric/MPU-Kombi-Steckplätze,16,Wertliste,Attribut
JH123A,,Switch,Unterstützte Supervisor-Engines,"HPE FlexFabric 7910 7.2Tbps bzw. 2.4Tbps Fabric/Main Processing Unit (JG842A oder JH001A, kombiniertes Fabric/MPU-Modul), 2 Steckplätze aktiv/standby",17,Wertliste,Attribut
JH123A,,Switch,Redundanz,"Dual-Fabric/MPU (aktiv/standby), Netzteil- (N+1) und 2-fach-Lüfter-Redundanz",18,Wertliste,Attribut
