Artikelnummer;Netto-VK
JC614A;7270,00
JG496A;9300,00
JH198A;11300,00
JG375A;8680,00
JH206A;12000,00
JC615A;6300,00
JC751A;8000,00
JC752A;11030,00
JC753A;9060,00
JC754A;14090,00
JC749A;11210,00
JC750A;18300,00
JC617A;7030,00
JC618A;6060,00
JC619A;6590,00
JC620A;7180,00
JC621A;7210,00
JC622A;6740,00
JC623A;6270,00
JC625A;6500,00
JC626A;7030,00
JC627A;7060,00
JC628A;9090,00
JC631A;7240,00
JC755A;14120,00
JC756A;18150,00
JC757A;12180,00
JC763A;6090,00
JH191A;10090,00
JH196A;20240,00
JH192A;7120,00
JH193A;9150,00
JH194A;12180,00
JH195A;14210,00
JH197A;18270,00
JH432A;20030,00
JH433A;22060,00
JH434A;22090,00
JG392A;16150,00
JG394A;11210,00
JG396A;13270,00
JG916A;20210,00
