Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
JC614A,Modultyp,MPU/Route-Processor,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC614A,Kompatible Serie,HPE FlexNetwork 10500 (Comware v5),https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JG496A,Modultyp,MPU/Route-Processor,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JG496A,Kompatible Serie,"HPE FlexNetwork 10500, Type A (Comware v7)",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JH198A,Modultyp,MPU/Route-Processor,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JH198A,Kompatible Serie,"HPE FlexNetwork 10500, Type D (Comware v7; nur Type-B/D-Fabric)",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JG375A,Modultyp,MPU/Route-Processor,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JG375A,Kompatible Serie,"HPE FlexNetwork 10500, Type A",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JH206A,Modultyp,MPU/Route-Processor,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JH206A,Kompatible Serie,"HPE FlexNetwork 10500, Type D TAA (Comware v7)",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC615A,Switching-Kapazität,"400 Gbit/s (Type-A-Fabric, 10504)",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC615A,Modultyp,Fabric-Modul,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC615A,Kompatible Serie,"HPE FlexNetwork 10504, Type A",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC751A,Switching-Kapazität,"880 Gbit/s (Type-B-Fabric, 10504)",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC751A,Modultyp,Fabric-Modul,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC751A,Kompatible Serie,"HPE FlexNetwork 10504, Type B",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC752A,Switching-Kapazität,"1,2 Tbit/s (Type-D-Fabric, 10504)",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC752A,Modultyp,Fabric-Modul,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC752A,Kompatible Serie,"HPE FlexNetwork 10504, Type D",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC753A,Switching-Kapazität,"1,04 Tbit/s (Type-B-Fabric, 10508/-V)",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC753A,Modultyp,Fabric-Modul,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC753A,Kompatible Serie,"HPE FlexNetwork 10508 / 10508-V, Type B",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC754A,Switching-Kapazität,"2,32 Tbit/s (Type-D-Fabric, 10508/-V)",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC754A,Modultyp,Fabric-Modul,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC754A,Kompatible Serie,"HPE FlexNetwork 10508 / 10508-V, Type D",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC749A,Switching-Kapazität,"1,52 Tbit/s (Type-B-Fabric, 10512)",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC749A,Modultyp,Fabric-Modul,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC749A,Kompatible Serie,"HPE FlexNetwork 10512, Type B",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC750A,Switching-Kapazität,"3,44 Tbit/s (Type-D-Fabric, 10512)",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC750A,Modultyp,Fabric-Modul,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC750A,Kompatible Serie,"HPE FlexNetwork 10512, Type D",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC617A,Portanzahl,26,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC617A,Port-Konfiguration,16× GbE SFP + 8× GbE Combo + 2× 10GbE XFP,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC617A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC617A,Kompatible Serie,"HPE FlexNetwork 10500, SE",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC618A,Portanzahl,48,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC618A,Port-Konfiguration,48× 10/100/1000BASE-T (RJ45),https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC618A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC618A,Kompatible Serie,"HPE FlexNetwork 10500, SE",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC619A,Portanzahl,48,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC619A,Port-Konfiguration,48× GbE SFP,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC619A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC619A,Kompatible Serie,"HPE FlexNetwork 10500, SE",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC620A,Portanzahl,4,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC620A,Port-Konfiguration,4× 10GbE XFP,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC620A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC620A,Kompatible Serie,"HPE FlexNetwork 10500, SE",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC621A,Portanzahl,26,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC621A,Port-Konfiguration,16× GbE SFP + 8× GbE Combo + 2× 10GbE XFP,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC621A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC621A,Kompatible Serie,"HPE FlexNetwork 10500, EA",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC622A,Portanzahl,48,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC622A,Port-Konfiguration,48× GbE SFP,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC622A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC622A,Kompatible Serie,"HPE FlexNetwork 10500, EA",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC623A,Portanzahl,48,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC623A,Port-Konfiguration,48× 10/100/1000BASE-T (RJ45),https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC623A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC623A,Kompatible Serie,"HPE FlexNetwork 10500, EA",https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
JC625A,Portanzahl,48,https://www.hpe.com/psnow/doc/c04212581,datasheet,2026-07-02T07:15:02Z
