Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
JG932A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JG932A,,Switch,Layer,L2,2,Wertliste,Attribut
JG932A,,Switch,Portanzahl,28,3,Wertliste,Attribut
JG932A,,Switch,Port-Konfiguration,24× 10/100/1000 (RJ45) + 4× 1/10G SFP+ (Uplink),4,Wertliste,Attribut
JG932A,,Switch,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",5,Wertliste,Attribut
JG932A,,Switch,Uplink-Ports,4× 1/10G SFP+,6,Wertliste,Attribut
JG932A,,Switch,PoE,Nein,7,Wertliste,Attribut
JG932A,,Switch,Switching-Kapazität,128 Gbit/s,8,Wertliste,Attribut
JG932A,,Switch,Durchsatz,96 Mpps,9,Wertliste,Attribut
JG932A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JG932A,,Switch,Stromversorgung,Internes Festnetzteil (AC); PoE-Modelle optional über externes HPE RPS1600 absicherbar,11,Wertliste,Attribut
JG932A,,Switch,Kühlung,Lüftergekühlt (variable Lüfterdrehzahl),12,Wertliste,Attribut
JG932A,,Switch,Stacking,IRF (Intelligent Resilient Framework) – Stapelung von bis zu 9 Einheiten zu einem logischen Switch,13,Wertliste,Attribut
JG932A,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
JG932A,,Switch,Anwendung,"Gemanagter Gigabit-Campus-Access (Layer 2+, HPE Comware) mit 10-GbE-SFP+-Uplinks, statischem/RIP-Routing und IRF-Stacking",15,Wertliste,Attribut
JG933A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JG933A,,Switch,Layer,L2,2,Wertliste,Attribut
JG933A,,Switch,Portanzahl,28,3,Wertliste,Attribut
JG933A,,Switch,Port-Konfiguration,16× 100/1000 (SFP) + 8× Dual-Personality (10/100/1000 RJ45 oder 100/1000 SFP) + 4× 1/10G SFP+ (Uplink),4,Wertliste,Attribut
JG933A,,Switch,Port-Geschwindigkeit,"100/1000 Mbit/s (SFP), 10/100/1000 Mbit/s (RJ45-Combo), 1/10 GbE (SFP+)",5,Wertliste,Attribut
JG933A,,Switch,Uplink-Ports,4× 1/10G SFP+,6,Wertliste,Attribut
JG933A,,Switch,PoE,Nein,7,Wertliste,Attribut
JG933A,,Switch,Switching-Kapazität,128 Gbit/s,8,Wertliste,Attribut
JG933A,,Switch,Durchsatz,96 Mpps,9,Wertliste,Attribut
JG933A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JG933A,,Switch,Stromversorgung,Internes Festnetzteil (AC); PoE-Modelle optional über externes HPE RPS1600 absicherbar,11,Wertliste,Attribut
JG933A,,Switch,Kühlung,Lüftergekühlt (variable Lüfterdrehzahl),12,Wertliste,Attribut
JG933A,,Switch,Stacking,IRF (Intelligent Resilient Framework) – Stapelung von bis zu 9 Einheiten zu einem logischen Switch,13,Wertliste,Attribut
JG933A,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
JG933A,,Switch,Anwendung,"Gemanagter Gigabit-Campus-Access (Layer 2+, HPE Comware) mit 10-GbE-SFP+-Uplinks, statischem/RIP-Routing und IRF-Stacking",15,Wertliste,Attribut
