Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
JH323A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JH323A,,Switch,Layer,L2,2,Wertliste,Attribut
JH323A,,Switch,Portanzahl,28,3,Wertliste,Attribut
JH323A,,Switch,Port-Konfiguration,24× 10/100/1000 (RJ45) + 4× 1/10G SFP+ (Uplink),4,Wertliste,Attribut
JH323A,,Switch,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",5,Wertliste,Attribut
JH323A,,Switch,Uplink-Ports,4× 1/10G SFP+,6,Wertliste,Attribut
JH323A,,Switch,PoE,Nein,7,Wertliste,Attribut
JH323A,,Switch,Switching-Kapazität,168 Gbit/s,8,Wertliste,Attribut
JH323A,,Switch,Durchsatz,"154,8 Mpps",9,Wertliste,Attribut
JH323A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JH323A,,Switch,Stromversorgung,"2 Netzteilschächte (mindestens 1 Netzteil erforderlich, redundant erweiterbar; AC)",11,Wertliste,Attribut
JH323A,,Switch,Kühlung,Lüftergekühlt (Airflow front-to-back),12,Wertliste,Attribut
JH323A,,Switch,Stacking,IRF (Intelligent Resilient Framework) – Stapelung von bis zu 9 Einheiten zu einem logischen Switch,13,Wertliste,Attribut
JH323A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
JH323A,,Switch,Anwendung,"Gemanagter Gigabit-Campus-Access (Layer 2+, HPE Comware) mit 10-GbE-SFP+-Uplinks, Hot-Swap-Netzteilen und IRF-Stacking",15,Wertliste,Attribut
JH324A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JH324A,,Switch,Layer,L2,2,Wertliste,Attribut
JH324A,,Switch,Portanzahl,52,3,Wertliste,Attribut
JH324A,,Switch,Port-Konfiguration,48× 10/100/1000 (RJ45) + 4× 1/10G SFP+ (Uplink),4,Wertliste,Attribut
JH324A,,Switch,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",5,Wertliste,Attribut
JH324A,,Switch,Uplink-Ports,4× 1/10G SFP+,6,Wertliste,Attribut
JH324A,,Switch,PoE,Nein,7,Wertliste,Attribut
JH324A,,Switch,Switching-Kapazität,216 Gbit/s,8,Wertliste,Attribut
JH324A,,Switch,Durchsatz,"190,5 Mpps",9,Wertliste,Attribut
JH324A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JH324A,,Switch,Stromversorgung,"2 Netzteilschächte (mindestens 1 Netzteil erforderlich, redundant erweiterbar; AC)",11,Wertliste,Attribut
JH324A,,Switch,Kühlung,Lüftergekühlt (Airflow front-to-back),12,Wertliste,Attribut
JH324A,,Switch,Stacking,IRF (Intelligent Resilient Framework) – Stapelung von bis zu 9 Einheiten zu einem logischen Switch,13,Wertliste,Attribut
JH324A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
JH324A,,Switch,Anwendung,"Gemanagter Gigabit-Campus-Access (Layer 2+, HPE Comware) mit 10-GbE-SFP+-Uplinks, Hot-Swap-Netzteilen und IRF-Stacking",15,Wertliste,Attribut
