Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
JL823A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL823A,Layer,L3,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL823A,Portanzahl,28,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL823A,Port-Konfiguration,"24× 10/100/1000 (RJ45, PoE+) + 2× 1/10G SFP+ + 2× 1/2,5/5/10G Multi-Gig (RJ45) (Uplink)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL823A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 2,5/5 GbE (Multi-Gig, RJ45), 1/10 GbE (SFP+)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL823A,Uplink-Ports,"2× 1/10G SFP+ + 2× 1/2,5/5/10G Multi-Gig (RJ45)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL823A,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port, Budget 370 W)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL823A,Switching-Kapazität,128 Gbit/s,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL823A,Durchsatz,95 Mpps,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL823A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL823A,Stromversorgung,Internes Festnetzteil (AC); PoE-Modelle optional über externes HPE RPS1600 absicherbar,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL823A,Kühlung,Lüftergekühlt (variable Lüfterdrehzahl),https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL823A,Stacking,IRF (Intelligent Resilient Framework) – Stapelung von bis zu 9 Einheiten zu einem logischen Switch,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL823A,Betriebstemperatur,-5 bis 45 °C,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL823A,Anwendung,"Gemanagter Gigabit-Campus-Access (Layer 3, HPE Comware) mit 10-GbE-SFP+-Uplinks, optionalem Multi-Gigabit und IRF-Stacking",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL824A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL824A,Layer,L3,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL824A,Portanzahl,52,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL824A,Port-Konfiguration,"48× 10/100/1000 (RJ45, PoE+) + 4× 1/10G SFP+ (Uplink)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL824A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL824A,Uplink-Ports,4× 1/10G SFP+,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL824A,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port, Budget 370 W)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL824A,Switching-Kapazität,176 Gbit/s,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL824A,Durchsatz,131 Mpps,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL824A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL824A,Stromversorgung,Internes Festnetzteil (AC); PoE-Modelle optional über externes HPE RPS1600 absicherbar,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL824A,Kühlung,Lüftergekühlt (variable Lüfterdrehzahl),https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL824A,Stacking,IRF (Intelligent Resilient Framework) – Stapelung von bis zu 9 Einheiten zu einem logischen Switch,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL824A,Betriebstemperatur,-5 bis 45 °C,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL824A,Anwendung,"Gemanagter Gigabit-Campus-Access (Layer 3, HPE Comware) mit 10-GbE-SFP+-Uplinks, optionalem Multi-Gigabit und IRF-Stacking",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL825A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL825A,Layer,L3,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL825A,Portanzahl,52,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL825A,Port-Konfiguration,"48× 10/100/1000 (RJ45, PoE+) + 2× 1/10G SFP+ + 2× 1/2,5/5/10G Multi-Gig (RJ45) (Uplink)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL825A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 2,5/5 GbE (Multi-Gig, RJ45), 1/10 GbE (SFP+)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL825A,Uplink-Ports,"2× 1/10G SFP+ + 2× 1/2,5/5/10G Multi-Gig (RJ45)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL825A,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port, Budget 370 W)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL825A,Switching-Kapazität,176 Gbit/s,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL825A,Durchsatz,131 Mpps,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL825A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL825A,Stromversorgung,Internes Festnetzteil (AC); PoE-Modelle optional über externes HPE RPS1600 absicherbar,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL825A,Kühlung,Lüftergekühlt (variable Lüfterdrehzahl),https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL825A,Stacking,IRF (Intelligent Resilient Framework) – Stapelung von bis zu 9 Einheiten zu einem logischen Switch,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL825A,Betriebstemperatur,-5 bis 45 °C,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL825A,Anwendung,"Gemanagter Gigabit-Campus-Access (Layer 3, HPE Comware) mit 10-GbE-SFP+-Uplinks, optionalem Multi-Gigabit und IRF-Stacking",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL826A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL826A,Layer,L3,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL826A,Portanzahl,28,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL826A,Port-Konfiguration,16× 100/1000 (SFP) + 8× Dual-Personality (10/100/1000 RJ45 oder 100/1000 SFP) + 4× 1/10G SFP+ (Uplink),https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL826A,Port-Geschwindigkeit,"100/1000 Mbit/s (SFP), 10/100/1000 Mbit/s (RJ45-Combo), 1/10 GbE (SFP+)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL826A,Uplink-Ports,4× 1/10G SFP+,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL826A,PoE,Nein,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL826A,Switching-Kapazität,128 Gbit/s,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL826A,Durchsatz,95 Mpps,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL826A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL826A,Stromversorgung,"2 Netzteilschächte (mindestens 1 Netzteil, separat bestellbar; AC oder DC)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL826A,Kühlung,Lüftergekühlt (variable Lüfterdrehzahl),https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL826A,Stacking,IRF (Intelligent Resilient Framework) – Stapelung von bis zu 9 Einheiten zu einem logischen Switch,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL826A,Betriebstemperatur,-5 bis 45 °C,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL826A,Anwendung,"Gemanagter Gigabit-Campus-Access (Layer 3, HPE Comware) mit 10-GbE-SFP+-Uplinks, optionalem Multi-Gigabit und IRF-Stacking",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL827A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL827A,Layer,L3,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL827A,Portanzahl,28,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL827A,Port-Konfiguration,"24× 10/100/1000 (RJ45, PoE+) + 4× 1/10G SFP+ (Uplink)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL827A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL827A,Uplink-Ports,4× 1/10G SFP+,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL827A,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port, Budget 370 W)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL827A,Switching-Kapazität,128 Gbit/s,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL827A,Durchsatz,95 Mpps,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL827A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL827A,Stromversorgung,Internes Festnetzteil (AC); PoE-Modelle optional über externes HPE RPS1600 absicherbar,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL827A,Kühlung,Lüftergekühlt (variable Lüfterdrehzahl),https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL827A,Stacking,IRF (Intelligent Resilient Framework) – Stapelung von bis zu 9 Einheiten zu einem logischen Switch,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL827A,Betriebstemperatur,-5 bis 45 °C,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL827A,Anwendung,"Gemanagter Gigabit-Campus-Access (Layer 3, HPE Comware) mit 10-GbE-SFP+-Uplinks, optionalem Multi-Gigabit und IRF-Stacking",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL828A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL828A,Layer,L3,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL828A,Portanzahl,28,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL828A,Port-Konfiguration,24× 10/100/1000 (RJ45) + 4× 1/10G SFP+ (Uplink),https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL828A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL828A,Uplink-Ports,4× 1/10G SFP+,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL828A,PoE,Nein,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL828A,Switching-Kapazität,128 Gbit/s,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL828A,Durchsatz,95 Mpps,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL828A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL828A,Stromversorgung,Internes Festnetzteil (AC); PoE-Modelle optional über externes HPE RPS1600 absicherbar,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL828A,Kühlung,Lüftergekühlt (variable Lüfterdrehzahl),https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL828A,Stacking,IRF (Intelligent Resilient Framework) – Stapelung von bis zu 9 Einheiten zu einem logischen Switch,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL828A,Betriebstemperatur,-5 bis 45 °C,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL828A,Anwendung,"Gemanagter Gigabit-Campus-Access (Layer 3, HPE Comware) mit 10-GbE-SFP+-Uplinks, optionalem Multi-Gigabit und IRF-Stacking",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL829A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL829A,Layer,L3,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL829A,Portanzahl,52,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL829A,Port-Konfiguration,48× 10/100/1000 (RJ45) + 4× 1/10G SFP+ (Uplink),https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL829A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL829A,Uplink-Ports,4× 1/10G SFP+,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL829A,PoE,Nein,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL829A,Switching-Kapazität,176 Gbit/s,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL829A,Durchsatz,131 Mpps,https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
JL829A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a50002579enw,datasheet,2026-07-01T23:22:06Z
