Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
R9L61A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L61A,Layer,L3,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L61A,Portanzahl,28,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L61A,Port-Konfiguration,24× 10/100/1000 (RJ45) + 4× 1/10G SFP+ (Uplink),https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L61A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L61A,Uplink-Ports,4× 1/10G SFP+,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L61A,PoE,Nein,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L61A,Switching-Kapazität,288 Gbit/s,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L61A,Durchsatz,180 Mpps,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L61A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L61A,Stromversorgung,"2 Hot-Swap-Netzteilschächte (mindestens 1 Netzteil erforderlich, redundant erweiterbar; AC oder DC)",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L61A,Kühlung,"Lüftergekühlt (2 Lüftertrays, Airflow seitlich nach hinten)",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L61A,Stacking,IRF (Intelligent Resilient Framework) – Stapelung von bis zu 9 Einheiten zu einem logischen Switch,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L61A,Betriebstemperatur,-5 bis 45 °C,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L61A,Anwendung,"Gemanagter Gigabit-Campus-Access/-Aggregation (Layer 3, HPE Comware) mit 10-GbE-SFP+-Uplinks, vollem Routing und IRF-Stacking",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L62A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L62A,Layer,L3,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L62A,Portanzahl,52,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L62A,Port-Konfiguration,48× 10/100/1000 (RJ45) + 4× 1/10G SFP+ (Uplink),https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L62A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L62A,Uplink-Ports,4× 1/10G SFP+,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L62A,PoE,Nein,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L62A,Switching-Kapazität,336 Gbit/s,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L62A,Durchsatz,180 Mpps,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L62A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L62A,Stromversorgung,"2 Hot-Swap-Netzteilschächte (mindestens 1 Netzteil erforderlich, redundant erweiterbar; AC oder DC)",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L62A,Kühlung,"Lüftergekühlt (2 Lüftertrays, Airflow seitlich nach hinten)",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L62A,Stacking,IRF (Intelligent Resilient Framework) – Stapelung von bis zu 9 Einheiten zu einem logischen Switch,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L62A,Betriebstemperatur,-5 bis 45 °C,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L62A,Anwendung,"Gemanagter Gigabit-Campus-Access/-Aggregation (Layer 3, HPE Comware) mit 10-GbE-SFP+-Uplinks, vollem Routing und IRF-Stacking",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L63A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L63A,Layer,L3,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L63A,Portanzahl,28,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L63A,Port-Konfiguration,"24× 10/100/1000 (RJ45, PoE+) + 4× 1/10G SFP+ (Uplink)",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L63A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L63A,Uplink-Ports,4× 1/10G SFP+,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L63A,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port, Budget 720 W)",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L63A,Switching-Kapazität,288 Gbit/s,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L63A,Durchsatz,180 Mpps,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L63A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L63A,Stromversorgung,"2 Hot-Swap-Netzteilschächte (mindestens 1 Netzteil erforderlich, redundant erweiterbar; AC oder DC)",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L63A,Kühlung,"Lüftergekühlt (2 Lüftertrays, Airflow seitlich nach hinten)",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L63A,Stacking,IRF (Intelligent Resilient Framework) – Stapelung von bis zu 9 Einheiten zu einem logischen Switch,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L63A,Betriebstemperatur,-5 bis 45 °C,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L63A,Anwendung,"Gemanagter Gigabit-Campus-Access/-Aggregation (Layer 3, HPE Comware) mit 10-GbE-SFP+-Uplinks, vollem Routing und IRF-Stacking",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L64A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L64A,Layer,L3,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L64A,Portanzahl,52,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L64A,Port-Konfiguration,"48× 10/100/1000 (RJ45, PoE+) + 4× 1/10G SFP+ (Uplink)",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L64A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L64A,Uplink-Ports,4× 1/10G SFP+,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L64A,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port, Budget 1.440 W)",https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L64A,Switching-Kapazität,336 Gbit/s,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
R9L64A,Durchsatz,180 Mpps,https://www.hpe.com/psnow/doc/a50004280enw,datasheet,2026-07-02T02:35:27Z
