Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
JD242C,Switch-Typ,Modular-Chassis,https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD242C,Layer,L3,https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD242C,Switching-Kapazität,"bis 640 Gbit/s (System-Switching-Kapazität, mit zwei JH208A); Durchsatz bis 476 Mpps",https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD242C,Bauform,19-Zoll-Rackmontage (4 HE),https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD242C,Stromversorgung,"2 Netzteilschächte (mindestens 1 Netzteil, redundant; AC oder DC, separat bestellt)",https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD242C,Kühlung,"Lüftertray (1 Schacht, hot-swap; separat bestellt)",https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD242C,Anwendung,"Campus-/Rechenzentrums-Core und -Aggregation (modularer Layer-3-Multiservice-Switch, HPE Comware v7)",https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD242C,Steckplätze,2 I/O + 2 MPU-Steckplätze,https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD242C,Unterstützte Supervisor-Engines,"HPE 7502 Main Processing Unit (JH208A) oder JH207A/JH209A (Comware v7), 2 MPU-Steckplätze",https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD242C,Redundanz,Dual-MPU (2 Steckplätze) und redundante Netzteile; IRF auf dem 7502 nicht unterstützt,https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD240C,Switch-Typ,Modular-Chassis,https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD240C,Layer,L3,https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD240C,Switching-Kapazität,"bis 1.920 Gbit/s (System-Switching-Kapazität, mit zwei JH209A); Durchsatz bis 714 Mpps",https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD240C,Bauform,19-Zoll-Rackmontage (10 HE),https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD240C,Stromversorgung,"2 Netzteilschächte (mindestens 1 Netzteil, redundant; AC oder DC, separat bestellt)",https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD240C,Kühlung,"Lüftertray (1 Schacht, hot-swap; separat bestellt)",https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD240C,Anwendung,"Campus-/Rechenzentrums-Core und -Aggregation (modularer Layer-3-Multiservice-Switch, HPE Comware v7)",https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD240C,Steckplätze,3 I/O + 2 Fabric/MPU-Kombi-Steckplätze,https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD240C,Unterstützte Supervisor-Engines,"kombiniertes Fabric/Main-Processing-Unit-Modul (JH209A 2,4-Tbps-Fabric+MPU oder JH207A, Comware v7), 2 Steckplätze aktiv/standby",https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
JD240C,Redundanz,"Dual-Fabric/MPU (aktiv/standby), redundante Netzteile und Lüfter; IRF-Stacking",https://www.hpe.com/psnow/doc/c04111585,datasheet,2026-07-02T05:23:14Z
