Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
J9573A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
J9573A,,Switch,Layer,L3,2,Wertliste,Attribut
J9573A,,Switch,Portanzahl,26,3,Wertliste,Attribut
J9573A,,Switch,Port-Konfiguration,"24× 10/100/1000 (RJ45, Class 4 PoE+) + 2× SFP+ (1/10G) (Uplink)",4,Wertliste,Attribut
J9573A,,Switch,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",5,Wertliste,Attribut
J9573A,,Switch,Uplink-Ports,2× SFP+ (1/10G),6,Wertliste,Attribut
J9573A,,Switch,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung mit X312-1000-W-Netzteil)",7,Wertliste,Attribut
J9573A,,Switch,Switching-Kapazität,88 Gbit/s,8,Wertliste,Attribut
J9573A,,Switch,Durchsatz,"65,4 Mpps",9,Wertliste,Attribut
J9573A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
J9573A,,Switch,Stromversorgung,"2 Hot-Swap-Netzteilschächte (X311 400 W oder X312 1000 W; ein Netzteil enthalten, redundant erweiterbar)",11,Wertliste,Attribut
J9573A,,Switch,Kühlung,Lüftergekühlt (Airflow front-to-back),12,Wertliste,Attribut
J9573A,,Switch,Stacking,"Meshed Stacking (dediziertes Stacking-Modul J9577A, bis 10 Einheiten, bis 336 Gbit/s)",13,Wertliste,Attribut
J9573A,,Switch,Betriebstemperatur,0 bis 55 °C,14,Wertliste,Attribut
J9573A,,Switch,Anwendung,"Managed Layer-3-Campus-Aggregation (HP Networking, ProVision) mit Meshed-Stacking",15,Wertliste,Attribut
J9574A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
J9574A,,Switch,Layer,L3,2,Wertliste,Attribut
J9574A,,Switch,Portanzahl,52,3,Wertliste,Attribut
J9574A,,Switch,Port-Konfiguration,"48× 10/100/1000 (RJ45, Class 4 PoE+) + 4× SFP+ (1/10G) (Uplink)",4,Wertliste,Attribut
J9574A,,Switch,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",5,Wertliste,Attribut
J9574A,,Switch,Uplink-Ports,4× SFP+ (1/10G),6,Wertliste,Attribut
J9574A,,Switch,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung mit X312-1000-W-Netzteil)",7,Wertliste,Attribut
J9574A,,Switch,Switching-Kapazität,176 Gbit/s,8,Wertliste,Attribut
J9574A,,Switch,Durchsatz,"130,9 Mpps",9,Wertliste,Attribut
J9574A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
J9574A,,Switch,Stromversorgung,"2 Hot-Swap-Netzteilschächte (X311 400 W oder X312 1000 W; ein Netzteil enthalten, redundant erweiterbar)",11,Wertliste,Attribut
J9574A,,Switch,Kühlung,Lüftergekühlt (Airflow front-to-back),12,Wertliste,Attribut
J9574A,,Switch,Stacking,"Meshed Stacking (dediziertes Stacking-Modul J9577A, bis 10 Einheiten, bis 336 Gbit/s)",13,Wertliste,Attribut
J9574A,,Switch,Betriebstemperatur,0 bis 55 °C,14,Wertliste,Attribut
J9574A,,Switch,Anwendung,"Managed Layer-3-Campus-Aggregation (HP Networking, ProVision) mit Meshed-Stacking",15,Wertliste,Attribut
J9575A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
J9575A,,Switch,Layer,L3,2,Wertliste,Attribut
J9575A,,Switch,Portanzahl,26,3,Wertliste,Attribut
J9575A,,Switch,Port-Konfiguration,24× 10/100/1000 (RJ45) + 2× SFP+ (1/10G) (Uplink),4,Wertliste,Attribut
J9575A,,Switch,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",5,Wertliste,Attribut
J9575A,,Switch,Uplink-Ports,2× SFP+ (1/10G),6,Wertliste,Attribut
J9575A,,Switch,PoE,Nein,7,Wertliste,Attribut
J9575A,,Switch,Switching-Kapazität,88 Gbit/s,8,Wertliste,Attribut
J9575A,,Switch,Durchsatz,"65,4 Mpps",9,Wertliste,Attribut
J9575A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
J9575A,,Switch,Stromversorgung,"2 Hot-Swap-Netzteilschächte (X311 400 W oder X312 1000 W; ein Netzteil enthalten, redundant erweiterbar)",11,Wertliste,Attribut
J9575A,,Switch,Kühlung,Lüftergekühlt (Airflow front-to-back),12,Wertliste,Attribut
J9575A,,Switch,Stacking,"Meshed Stacking (dediziertes Stacking-Modul J9577A, bis 10 Einheiten, bis 336 Gbit/s)",13,Wertliste,Attribut
J9575A,,Switch,Betriebstemperatur,0 bis 55 °C,14,Wertliste,Attribut
J9575A,,Switch,Anwendung,"Managed Layer-3-Campus-Aggregation (HP Networking, ProVision) mit Meshed-Stacking",15,Wertliste,Attribut
J9576A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
J9576A,,Switch,Layer,L3,2,Wertliste,Attribut
J9576A,,Switch,Portanzahl,52,3,Wertliste,Attribut
J9576A,,Switch,Port-Konfiguration,48× 10/100/1000 (RJ45) + 4× SFP+ (1/10G) (Uplink),4,Wertliste,Attribut
J9576A,,Switch,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1/10 GbE (SFP+)",5,Wertliste,Attribut
J9576A,,Switch,Uplink-Ports,4× SFP+ (1/10G),6,Wertliste,Attribut
J9576A,,Switch,PoE,Nein,7,Wertliste,Attribut
J9576A,,Switch,Switching-Kapazität,176 Gbit/s,8,Wertliste,Attribut
