Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
J9085A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
J9085A,,Switch,Layer,L2,2,Wertliste,Attribut
J9085A,,Switch,Portanzahl,28,3,Wertliste,Attribut
J9085A,,Switch,Port-Konfiguration,24× 10/100 (RJ45) + 2× 10/100/1000 (RJ45) + 2× SFP (1G) (Uplink),4,Wertliste,Attribut
J9085A,,Switch,Port-Geschwindigkeit,"10/100 Mbit/s (RJ45, Access), 10/100/1000 Mbit/s (Uplink)",5,Wertliste,Attribut
J9085A,,Switch,Uplink-Ports,2× 10/100/1000 (RJ45) + 2× SFP (1G),6,Wertliste,Attribut
J9085A,,Switch,PoE,Nein,7,Wertliste,Attribut
J9085A,,Switch,Switching-Kapazität,"12,8 Gbit/s",8,Wertliste,Attribut
J9085A,,Switch,Durchsatz,"9,5 Mpps",9,Wertliste,Attribut
J9085A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
J9085A,,Switch,Stromversorgung,Internes Festnetzteil (optional externe RPS-/EPS-Absicherung über HP 600),11,Wertliste,Attribut
J9085A,,Switch,Kühlung,Lüfterlos (passiv gekühlt),12,Wertliste,Attribut
J9085A,,Switch,Stacking,Kein (Standalone; Single-IP-Virtual-Stacking-Verwaltung bis 16 Einheiten),13,Wertliste,Attribut
J9085A,,Switch,Betriebstemperatur,0 bis 50 °C,14,Wertliste,Attribut
J9085A,,Switch,Anwendung,Managed Layer-2-Edge-Access mit statischem IPv4-Routing (ProVision),15,Wertliste,Attribut
J9086A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
J9086A,,Switch,Layer,L2,2,Wertliste,Attribut
J9086A,,Switch,Portanzahl,28,3,Wertliste,Attribut
J9086A,,Switch,Port-Konfiguration,"12× 10/100 (RJ45, Class 3 PoE) + 12× 10/100 (RJ45) + 2× 10/100/1000 (RJ45) + 2× SFP (1G) (Uplink)",4,Wertliste,Attribut
J9086A,,Switch,Port-Geschwindigkeit,"10/100 Mbit/s (RJ45, Access), 10/100/1000 Mbit/s (Uplink)",5,Wertliste,Attribut
J9086A,,Switch,Uplink-Ports,2× 10/100/1000 (RJ45) + 2× SFP (1G),6,Wertliste,Attribut
J9086A,,Switch,PoE,"Ja (IEEE 802.3af Class 3, 15,4 W/Port, Budget 124 W an bis zu 12 Ports)",7,Wertliste,Attribut
