Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
J9145A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9145A,Layer,L3,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9145A,Portanzahl,24,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9145A,Port-Konfiguration,20× 10/100/1000 (RJ45) + 4× Dual-Personality (RJ45 oder SFP 1G),https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9145A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1 GbE (SFP)",https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9145A,Uplink-Ports,"2 Modulschächte (optional bis 4× 10-GbE über CX4-/SFP+-Module, separat)",https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9145A,PoE,Nein,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9145A,Switching-Kapazität,128 Gbit/s,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9145A,Durchsatz,95 Mpps,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9145A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9145A,Stromversorgung,Internes Netzteil (optional externe RPS über HP ProCurve 620),https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9145A,Kühlung,Lüftergekühlt,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9145A,Stacking,Kein (Standalone; Single-IP-Virtual-Stacking-Verwaltung bis 16 Einheiten),https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9145A,Betriebstemperatur,0 bis 55 °C,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9145A,Anwendung,Managed Layer-3-Lite-Campus-Access/-Aggregation (ProVision) mit optionalen 10-GbE-Uplinks,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9146A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9146A,Layer,L3,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9146A,Portanzahl,24,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9146A,Port-Konfiguration,"20× 10/100/1000 (RJ45, Class 4 PoE+) + 4× Dual-Personality (RJ45 PoE+ oder SFP 1G)",https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9146A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1 GbE (SFP)",https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9146A,Uplink-Ports,"2 Modulschächte (optional bis 4× 10-GbE über CX4-/SFP+-Module, separat)",https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9146A,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung)",https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9146A,Switching-Kapazität,128 Gbit/s,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9146A,Durchsatz,95 Mpps,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9146A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9146A,Stromversorgung,Internes Netzteil (optional externe RPS über HP ProCurve 620),https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9146A,Kühlung,Lüftergekühlt,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9146A,Stacking,Kein (Standalone; Single-IP-Virtual-Stacking-Verwaltung bis 16 Einheiten),https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9146A,Betriebstemperatur,0 bis 55 °C,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9146A,Anwendung,Managed Layer-3-Lite-Campus-Access/-Aggregation (ProVision) mit optionalen 10-GbE-Uplinks,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9147A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9147A,Layer,L3,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9147A,Portanzahl,48,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9147A,Port-Konfiguration,44× 10/100/1000 (RJ45) + 4× Dual-Personality (RJ45 oder SFP 1G),https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9147A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1 GbE (SFP)",https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9147A,Uplink-Ports,"2 Modulschächte (optional bis 4× 10-GbE über CX4-/SFP+-Module, separat)",https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9147A,PoE,Nein,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9147A,Switching-Kapazität,176 Gbit/s,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
J9147A,Durchsatz,131 Mpps,https://www.hpe.com/psnow/doc/c01844343,datasheet,2026-07-01T10:26:25Z
