Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
J9562A,Switch-Typ,Managed,https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c02051445,datasheet,2026-07-01T10:26:26Z
J9562A,Layer,L3,https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c02051445,datasheet,2026-07-01T10:26:26Z
J9562A,Portanzahl,10,https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c02051445,datasheet,2026-07-01T10:26:26Z
J9562A,Port-Konfiguration,"8× 10/100/1000 (RJ45, Class 3 PoE) + 2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G) (Uplink)",https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c02051445,datasheet,2026-07-01T10:26:26Z
J9562A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1 GbE (SFP)",https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c02051445,datasheet,2026-07-01T10:26:26Z
J9562A,Uplink-Ports,2× Dual-Personality-Ports (RJ45 10/100/1000 oder SFP 1G),https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c02051445,datasheet,2026-07-01T10:26:26Z
J9562A,PoE,"Ja (IEEE 802.3af Class 3, 15,4 W/Port, Budget 67 W)",https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c02051445,datasheet,2026-07-01T10:26:26Z
J9562A,Switching-Kapazität,20 Gbit/s,https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c02051445,datasheet,2026-07-01T10:26:26Z
J9562A,Durchsatz,"14,8 Mpps",https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c02051445,datasheet,2026-07-01T10:26:26Z
J9562A,Bauform,"Kompakt (1 HE, halbe Breite)",https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c02051445,datasheet,2026-07-01T10:26:26Z
J9562A,Stromversorgung,Internes Festnetzteil,https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c02051445,datasheet,2026-07-01T10:26:26Z
J9562A,Kühlung,Lüfterlos (passiv gekühlt),https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c02051445,datasheet,2026-07-01T10:26:26Z
J9562A,Stacking,Kein (Standalone),https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c02051445,datasheet,2026-07-01T10:26:26Z
J9562A,Betriebstemperatur,0 bis 45 °C,https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c02051445,datasheet,2026-07-01T10:26:26Z
J9562A,Anwendung,Managed Layer-3-Lite-PoE-Access (ProVision) für kleine Standorte,https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c02051445,datasheet,2026-07-01T10:26:26Z
