Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
J8697A,Switch-Typ,Modular-Chassis,https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8697A,Layer,L3,https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8697A,Switching-Kapazität,"322,8 Gbit/s (System-Switching-Kapazität, 240,2 Mpps Durchsatz)",https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8697A,Bauform,19-Zoll-Rackmontage (4 HE),https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8697A,Stromversorgung,bis 2 Hot-Swap-zl-Netzteilschächte (J8712A 875 W / J9306A 1.500 W PoE+; redundant und hot-swap; separat bestellt),https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8697A,Kühlung,"Lüftergekühlt (Lüftertray, Airflow front-to-back)",https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8697A,Anwendung,"Campus-Core/Aggregation (modularer Layer-3-Switch, ProVision)",https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8697A,Steckplätze,6 zl-Modul-Steckplätze (Management-Modul mit integrierter Fabric),https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8697A,Unterstützte Supervisor-Engines,HP ProCurve 5400zl Management Module (J8726A); Switch-Fabric im Management-Modul/Backplane integriert (kein diskretes Fabric-Modul),https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8697A,Redundanz,Netzteil-Redundanz (Hot-Swap) und Lüftertray; Management-/Fabric-Funktion im Management-Modul,https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8698A,Switch-Typ,Modular-Chassis,https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8698A,Layer,L3,https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8698A,Switching-Kapazität,"645,6 Gbit/s (System-Switching-Kapazität, 480,3 Mpps Durchsatz)",https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8698A,Bauform,19-Zoll-Rackmontage (7 HE),https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8698A,Stromversorgung,bis 4 Hot-Swap-zl-Netzteilschächte (J8712A 875 W / J9306A 1.500 W PoE+; redundant und hot-swap; separat bestellt),https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8698A,Kühlung,"Lüftergekühlt (Lüftertray, Airflow front-to-back)",https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8698A,Anwendung,"Campus-Core/Aggregation (modularer Layer-3-Switch, ProVision)",https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8698A,Steckplätze,12 zl-Modul-Steckplätze (Management-Modul mit integrierter Fabric),https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8698A,Unterstützte Supervisor-Engines,HP ProCurve 5400zl Management Module (J8726A); Switch-Fabric im Management-Modul/Backplane integriert (kein diskretes Fabric-Modul),https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8698A,Redundanz,Netzteil-Redundanz (Hot-Swap) und Lüftertray; Management-/Fabric-Funktion im Management-Modul,https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8699A,Switch-Typ,Modular-Chassis,https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8699A,Layer,L3,https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8699A,Switching-Kapazität,"322,8 Gbit/s (System-Switching-Kapazität, 240,2 Mpps Durchsatz)",https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8699A,Bauform,19-Zoll-Rackmontage (4 HE),https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8699A,Stromversorgung,bis 2 Hot-Swap-zl-Netzteilschächte (J8712A 875 W / J9306A 1.500 W PoE+; redundant und hot-swap; separat bestellt),https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8699A,Kühlung,"Lüftergekühlt (Lüftertray, Airflow front-to-back)",https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8699A,Anwendung,"Campus-Core/Aggregation (modularer Layer-3-Switch, ProVision)",https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
J8699A,Steckplätze,6 zl-Modul-Steckplätze (Management-Modul mit integrierter Fabric),https://www.ultima-computers.co.uk/documents/PDF/HP_ProCurve/5400zl_series/HP_Procurve_5400zl_Series_Switch_QuickSpecs.pdf,datasheet,2026-07-01T11:30:01Z
