Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
J8715A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J8715B,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9091A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9091B,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9639A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9641A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9475A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9477A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9638A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9640A,,condition,Funktionsattribut,Wertliste,Deutsch,new
